;Idenx original;tipo_de_accidente;responsabilidad;descripcion_del_hecho - Final
23;176;auto - auto;comprometida;circulando cristiania giro derecha tomo tokio tomarla tercero venia delante mio frena manera imprevista pesar haber frenado logro evitar contacto parte frontal vehiculo parte trasera tercero acuso sufrir golpe brazo derecho vehiculo tercero sr gomez juan carlos dnilic conducir nro emitido gcba otorgamiento vencimiento intervencion policial datos tercero robledo gladys lujan fiat idea hlx fhg federacion patronal
24;181;auto - auto;comprometida;aseg circulando independencia llegar interseccion araoz aseg embiste parte frontal lateral izquierdo tercero cruzaba araoz informa conductora informo molestias 
25;183;auto - auto;comprometida;circulaba ruta debido bache pierdo control vehiculo lateral izquierdo lateral trasero izquierdo tercero chevrolet corsa circulaba misma direccion contraria luego parte delantera parte delantera vehiculo vw amarok circulaba direccion contraria detras primer vehculo raiz vhlo chevrolet corsa manifestaba sentir dolor 
26;190;auto - auto;discutida;circulando abril cruzando interseccion sarratea prioridad paso vw bora freno logro evitar colision frente parte delantera izq ambos conductores trasladados hosp lucio melendez adrogue lesionado
27;194;auto - auto;comprometida;asegurado circulando terrero embiste parte delantera tercero circulaba mismo parte trasera desplazamientos vehiculo tercero asegurado sufren lesiones 
28;198;auto - auto;comprometida;ciculando calchaqui llegar azurduy freno transito freno igualmente toco peugeot desplazandose impactando vw ventoampliamos v asegurado cuanto hecho corrobor mecanica impacta tercero parte trasera intent frenar lleg hacerlo manifiesta rodado tercero iban ocupantes bien recuerda exacto caractersticas solo recordaba cara
29;204;auto - auto;comprometida;encontraba saliendo estacionamiento shopping tercero impacta parte delantera derecha parte delantera lesionados mas terceros datos tercero casteluccio agustin vw vento kmc federacion patronal
30;223;auto - auto;comprometida;circulando julio mexico embisto parte delantera parte trasera ero detiene marcha cambio semaforo desplazamientos lesionados
31;230;auto - auto;comprometida;aseg circulanso sourdeaux tunel debajo vias tren tercero detenido trafico misma aseg pasa tuenel salida mismo colisiona parte delnatera parte trasera tercero lesioandos desplazamien tos
32;246;auto - auto;comprometida;aseg circulando miralla mataderos llegar mataderos tercero frena golpe pasar semaforo colisionado parte trasera parte delantera aseg desplazamientos lesiones
33;254;auto - auto;comprometida;asegurado iba circulando vehiculo adelante frena repentinamente asegurado colisiona parte trasera parte delantera 
34;261;auto - auto;concurrente;aseg saladillo tercero aparece costado izquierdo ibanez aseg colisiona puerta trasera derecha trompa aseg tercero lesionado iba parte atras tercero 
35;266;auto - auto;concurrente;venia circulando espinosa cruce arengreen viniendo derecha vehculo puerta delantera derecha parte guardabarros delantero derecho luego auto subi vereda impactando pared luego choque vehiculo subi vereda termina impactando contraa pared vivienda esquina hija tercero golpe parietal derecho intervencion same tercero quizo trasladara hija hospital lesionados ros involucrados stro mas alla declarado datos tercero ana jolly volkswagen voyage jyd boston
36;275;auto - auto;comprometida;aseg circulaba bogota comenzando cruzar carrasco impactado parte delantera derecha tercero circulaba parte frontal tercero lesionesel asegurado amplio escrito original dejado oficina v cia anticipado copia 
37;288;auto - auto;comprometida;aseg circulaba embiste parte delantera parte trasera tercero renault clio gris detuvo delante producto desplaza embistiendo renault clio azul detenido delante vehculo renault clio gris result lesionado
38;295;auto - auto;nan;vehiculo asegurado circulando gral paz cort losbulones rueda rueda salio desplazada impact und vehiculo
39;300;auto - auto;comprometida;aseg saliendo reversa gge impacta parte trasera lateral izquierdo tercero detenido arriba desplazamientosel tercero inform rasp
40;303;auto - auto;comprometida;circulando casn juan llegar interseccion intenente alvear produce colision parte delantera parte lateral izquierda tercero desplazamientos tercero sufre lesiones personano 
41;308;auto - auto;discutida;aseg detenido semaforo dorrego impactado parte trasera parte delantera tercero circulaba detras desplazamientos lesionados aseg sufrio latigazo amigo novia hacen atender hospital latigazo tambien intervinientes
42;310;auto - auto;comprometida;aseg maniobra cambiar carril centenario colisiona lateral trasero derecho lateral trasero izquierdo tercero detenido misma semaforo lesinoados desplazamientos
43;316;auto - auto;discutida;redgreenlue asegurado circulaba aguero sur norte tercero circulaba aguero contramano alta velocidad invade carril asegurado mas asegurado intenta esquivarlo puede evitar tercero choque lateral derecho frente choque resulto lesiones terceroel asegurado 
44;319;auto - auto;nan;haba trafico aseg abre hacia derecha paraintentar pasar ingresando roza consu lateral aseg parte frontal lado derecho solrballesterd gmailcom
45;321;auto - auto;comprometida;vhl aseg circulando penavhl tercero circulanbdo gral belgrano asegurado indica asoma cruzarno semaforo tercero colisiona lateral derecho lateral izquierdo vhl asegurado lesiones b luis gonzalo agustin
46;326;auto - auto;comprometida;aseg estacionado comenzar marcha venia circulando coliciona frente delantero derecho danando tambien puerta delantera derecha
47;328;auto - auto;comprometida;circulando gandara llegar burela senora mira lado choca asegurado parte delantera parte delantera desplazamientos lesiones
48;330;auto - auto;comprometida;asegurado circulando monroe colisiona parte frontal parte trasera tercero detendo transito desplazamientos tercero lesionesel asegurado 
49;331;auto - auto;comprometida;asegurado circulando ruta derecha perder control auto carril poniendose manera perpendicular colisionado lateral izquierdo frente camion arrastra metros luego desplaza produce asegurado vehiculo vw amarok circulaba contraria misma ocupante vhlo vw amarok sufre golpe 
50;336;auto - auto;comprometida;asegurado circulaba pampa gato pegue volantazoy pegue paragolpes delantero auto estacionado 
51;340;auto - auto;comprometida;asegurado circulando embiste parte delantera tercero frena golpe transito tercero presenta dolor retira asistencia desplazamientos
52;345;auto - auto;comprometida;conductora asegurada llega frenar toca parte trasera auto adelante tercero conductora acusa latigazo cervical desplazamiento
53;346;auto - auto;comprometida;asegurado detenido semaforo gral hornos senalizacion mismo comenzar circular retoma marcha colisiona levemente tercero tenia delante impactando parte delantera parte trasera tercero manifestia dolores desplazamientos
54;347;auto - auto;comprometida;aseg doblaba hacia constituyentes colisionada angulo delantero izquierdo lateral derecho peugeot patente aaxp circulaba ultima caul realiza mala maniobra sobrepasando colectivo detenido semaforos lesiones desplazamientos
55;350;auto - auto;comprometida;asegurado doblaba laprida hacia centenario colisiona parte delantera izquierda peaton cruzaba ser encadilado ve peatron senora retiro propios medios 
56;354;auto - auto;concurrente;circunstancias mvil policial encontraba circulando balizas sirenas encendidas gral jose gervasio artigas llegar interseccin gral mosconi semaforo cambiando vehculo particular encontraba mencionada adelanta colisiona mvil sector acompanante producto hecho patrullero posee danos lateral derecho abarcando ambas puertas vidrio delantero guardabarros trasero hecho terceros lesionados agregan danos estacionamiento accesorios denunciados anteriormente razones serviciono participo concurri lugar hecho labrar sumariointercambiaron datos retiraron rodados ocupantes lugar
57;358;auto - auto;comprometida;circulando camioneta ford ranger alte brown semaforo trate sobrepasar lado derecho automovil fiat siena rozando parte trasera caja guardabarros delantero derecho provocandole abolladura
58;364;auto - auto;discutida;aseg circulando carril lento pasco mitad cuadra vehiculo circulaba misma gira hacia derecha invadiendo carril aseg colocar balizas aseg maniobra hacia derecha esquivarlo impacta parte delantera izquierda optica capot guardabarro paragolpe guardabarro trasero derecho tercero circulando misma presenta rectificacion amigo aseg golpes hombro lesiones tercero desplazamientos
59;373;auto - auto;comprometida;circulaba hiplito yrigoyen llegar interseccion esteban arce pude frenar colisiono conmi frente parte trasera tercero antecedia chevrolet celta lcx vez desplaza hacia adelante embistendo frente parte trasera b antecedia renault logan nkg dolor acompananate dolor celta indican lesiones asiste dirigimos cria alte brown b longchamps rodado logan lesiones dado viajabamos solos
60;378;auto - auto;comprometida;redgreenlue circulando don bosco frenar imprevistamente coche adelante produjo colisin baja velocidad frente parte posterior baden desplazamientos tercero manifest dolencias trasladado hospital escobar parte medico indico presentaba lesiones 
61;390;auto - auto;concurrente;asegurado circulando lincoln cruzando joaquin v gonzalez colisionado lateral delantero derecho parte delantera tercero circulaba joaquin v gonzalez desplazamientos lesiones
62;392;auto - auto;comprometida;encontraba detenido sarmiento nortesur abre semaforo arranco tenia adealnte avanzo tal motivo impacte frente parte trasera ro remis presentaba danos previos zona ambas opticas traseras tenia danadas paragolpe tapa baul tenia danos previos involucrados lesiones datos tercero migues nestor aldo fiat fwb amca
63;394;auto - auto;discutida;circulaba paunero cruzando coronel suarez auto circulaba ultmima gran velocidad colisiona parte delantera lateral trasero izquierdo haciendo auto gire casi grados mismo eje causa asegurado venia acompanante sufre lesiones cervical tercero negaba brindar datos base llama polica desplazamiento
64;395;auto - auto;concurrente;asegurado circulando parral llegar interseccion ambrosetti semaforo tercero colisiona parte frontal lateral derecho asegurado interv deriva policilinico central san justo interv comisaria distrital noroeste san justo cond tercero golpes desplazamientos
65;408;auto - auto;concurrente;asegurado circulaba jujuy llegar esquina colisiona tercero venia berro lesiones mas terceros involucrados
66;414;auto - auto;comprometida;asegurado circulando esteban agustin gasconal cruzar interseccion francisco bieirocuando tercero venia ultimase cruzael aseguirado llega frenar colisionacon parte delantera aseguradocontra parte trasera lateral izquierda tercerosin desplazamientoscon lesiones tercero acompanante
67;417;auto - auto;comprometida;circulando misma alcanzo frenar colisiono auto delantero frente trasera desplazamientos lesionados
68;431;auto - auto;nan;asegurado circulaba presbitero natta unidad encontraba pordelante frena causa vehculo delante detuvo repentinamenteante situacin asegurado llega frenar impacta parte traserade unidad vena adelante
69;434;auto - auto;discutida;detenido semaforo ruta asegurado colisionado tercero parte trasera luego desplaza hacia adelante asegurada rozado colectivo izquierda tambien detenido causa hecho companero iba asegurado lastima 
70;441;auto - auto;comprometida;nan
71;445;auto - auto;comprometida;asegurado detenido semaforo suelta embrague asegurado colisiona parte frontal parte trasera tercero encontraba detenido delante asegurado lesiones interv policial ambulancias
72;448;auto - auto;comprometida;encontraba circulando llegar peaje fallan frenos embisto tercero dwm parte trasera parte delantera vez desplazamiento impacta tercero ozz parte trasera parte delantera do tercero soria mendoza diego sedan toyota equios ozz mas lesionados mas terceros datos tercero corimayo alan emanuel peugeot dwm liderar seguros
73;459;auto - auto;comprometida;asegurado circulaba marcos paz colisiona parte delantera derecha parte trasera izquierda tercero acompanante b presentan dolor desplazamientos
74;461;auto - auto;comprometida;aseg circulaba sargento cabral sur norte corrientes ro venia corrientes colisiona aseg parte delantea izquierda parte derecha ro desplazamientos lesiones 
75;468;auto - auto;comprometida;asegurado circulando cristiania interseccin rp gral tercero circulando ultima impacta parte delantera izquierda lateral derecho asegurado desplazamiento acompanante tercero lesiones derivado hospital
76;470;auto - auto;comprometida;venia atras arranca arranca frena repentinamente colisionandolo parte frontal parte trasera auto desplaza hacia adelante colisiona delante
77;485;auto - auto;comprometida;circulando intendente arricau intentar cruzar gaspar campos vehculo vena daltima derecha tambien pasa colisiono frente parte delantera izquierda tercero desplazamientos lesiones
78;488;auto - auto;comprometida;venia circulando roma interseccion lacano venia ultima veo cruzando embisto lateral izquierdo parte delantera lesionado desplazamientos
79;491;auto - auto;comprometida;vhc asegurado circulando alippi colisiona parte delantera parte trasera tercero circulaba delante desplazamientos lesiones
80;500;auto - auto;comprometida;asegurado circulando dr osvaldo magnasco auto venia delante frena trafico alcorta asegurado distraido colisiona parte trasera desplazmaientos lesiones ocupantes vehiculo intervencion concurririan hospital medios
81;507;auto - auto;comprometida;circulaba jose pedro varela vehiculo adelante frena golpe colisiono parte delantera
82;509;auto - auto;comprometida;aseg circulaba cangallo interseccion san martin produce choque parte delantera derecho aseg parte izq tercero aseg desplaza termina vereda tercero manifestaba dolores causa dle siniestro 
83;517;auto - auto;comprometida;asegurado circulaba rios lentamente transito tercero circulaba delante frena golpe asegurado puede evitar chocarlo parte trasera tercero manifesto dolor llamo
84;518;auto - auto;comprometida;aseg circulaba libertador impacta parte delantera parte trasera tercero circulaba adelante detiene repente desplazamientos lesionados
85;521;auto - auto;comprometida;aseg detedino semaforo abre avanza impacta parte delantera trasera tercero circulaba adelante detiene repente transito desplazamientos lesionados
86;523;auto - auto;comprometida;arranc trafico cambio semaforo volvi frenar golpe toque paragolpe auto adelante
87;525;auto - auto;comprometida;asegurado iba circulando rivadavia dobla hacia chile colisiona vehiculo detenido transito parte trasera parte delantera lesiones desplazamientos
88;526;auto - auto;concurrente;circulando dardo rocha cruzar lincoln vehculo vena daltima derecha tambien pasa colisiona puertas derechas desplazamientos amiga dolores cervicales amiga danos derecha dolor muneca izquierda intervencin polica
89;532;auto - auto;concurrente;circ asuncion cruzar chile veh colisiono puerta trasera derecha desplazo quede veh vereda lesiones esposa amigo viajaba atras ninos
90;539;auto - auto;comprometida;vehiculo asegurado circulaba cristiania llegar semafor frena tiempo colisiona frente parte trasera vehiculo detenido alli lesiones desplazamientos
91;540;auto - auto;comprometida;aseg circulando dentro playon centro comercial ubicado monsenor bufano colisiona tercero parte delantera lateral izquierdo desplazamientosconductor tercero manifesto dolencia asistido predio trasladado
92;548;auto - auto;comprometida;aseg circulando heras doblar derecha continuar darraguira escucha ruido grito baja ve bicicleta tirada piso lado derecho auto ayuda levantarse ofrece llevarla hispotal justo pasaba patrullero llaman llevan hospital hacerle revision
93;552;auto - auto;comprometida;asegurado circulaba arce doblar hacia izquierda tomar maure produce colision tercero circulaba ultima lesionados intercambiamos datos 
94;557;auto - auto;concurrente;circulando arribenos doble habia vehiculos estacionados ambas manos vehiuclo venia contraria da paso maniobro hacia izquierda impactado pareja persona iba caminando lateral delantero derecho retrovisor lesiones desplazamientos 
95;565;auto - auto;comprometida;aseg circulaba ardoino pasa paso nivel colisiona tercero superpone delante aseg izquierda contramano frena repente parte delantera aseg parte trasera luego tercero baja golpea aseg parte delantera lesiones desplazamientossin intervencion movil policial
96;573;auto - auto;comprometida;asegurado circulaba mayo embisti frente parte trasera tercero detuvo delante cruce transversal lesiones desplazamientos
97;574;auto - auto;concurrente;circulaba flores cruzar defilippi tercero venia ultima colisona frente lateral derecho desplazamientos lesionados
98;586;auto - auto;comprometida;circulando rosario llegar interseccion plata giro derecha senor intentaba cruzar detiene retomo marcha vuelve avanzar poder evitar impactarlo
99;590;auto - auto;comprometida;redgreenlue asegurado circulando avda cramer colisionado lateral derecho tercero moto personas retiran propios medios
100;592;auto - auto;comprometida;vehculo asegurado cirulaba san martin impacta parte delantera parte trasera tercero circulaba adelante gir senalizar tomar tucuman desplazamientos vehculo tercero manifest dolor int medica int policial amplio aseguradocomenta ambos circulaban san martin quilmes hacia arco calzada iba bastante velocidad interseccion tercero ford focus dobla hacia tucuman pese frenar asegurado derrapa impacta tercero paragolpes trasero causa golpe doblaba cerrado tercero impacta frente poste 
101;598;auto - auto;comprometida;aseg circulaba bragado cruzar cosquin colisionado parte delantera derecha lateral izquierdo tercero circulaba daltima tercero presenta dolor producto desplazamientos 
102;603;auto - auto;comprometida;asegurado circulando juan b justo dobla san martin impacta tercero moto lateral izquierdo lateral derecho trasero mismo desplazamientos cae pavimento luego retira propios medios
103;624;auto - auto;comprometida;circulando esquida llegar interseccin albarinos ingreso daltima contramano retomar juan b justo anterior aguilar cortada llegar juan bjusto quiero doblar hacia izquierda tomar daltima entonces tercero circulaba juan bjusto tambien pas colisionamos parte derecha frente tercero
104;625;auto - auto;comprometida;asegurado circulando ruta colisiona parte delantera parte trasera tercero circulaba delante mismo producto desplazamiento tercero colisiona parte delantera parte trasera tercero circulaba delante mismo dio fuga lesionados
105;626;auto - auto;comprometida;circulando au panamericana au llena asegurado pierde control hace trompos colisiona guardarrail posible colision tercero colisiona tambien guardarrail aseg desconoce ocurri colision lesionado ero corte frente trasladado
106;628;auto - auto;comprometida;vehculo asegurado circulaba dr salvador sallares cruzar interseccin gral san martin detiene vehculo circulando daltima desliza raz produce parte delantera derecha parte delantera izquierda tercero desplazamientos tercero manifestaba dolores cervicales intervension policila tercero manifest dolor cervical int medica policial
107;637;auto - auto;discutida;circulaba hipolito yrigoyen voy girar hacia espana tercero venia misma contrario vio tercero colisiono rueda auxilio
108;646;auto - auto;comprometida;asegurado circulando gral belgrano colisiona extremo delantero izquierdo extremo delantero derecho tercero circulando colectorasin lesionessin desplazamientos
109;649;auto - auto;concurrente;circulaba acassuso llegar interseccin canada gomez vehiculo venia derecha frena da paso cruzando vehiculo peugeot patente sag adelanta detras vehiculo acelera colisiona lateral trasero derecho hija asegurado resulta lesiones cervicales tercero dijo staba pro estacionar da fuga ademas posee dano estacionamiento lateral izquierdo
110;653;auto - auto;comprometida;asegurado encontraba circulando asegurado directoriovh tercero directorioasegurado iba circulando carril centro vehiculo lado derecho encierra asegurado asegurado maniobrando roza vehiculo tercero vehiculo asegurado roza parte delantera izquierda causando danos lateral derecho lesionados intervencion intervencion policial desplazamiento
111;654;auto - auto;comprometida;aseg circulaba peri san martin cerrito l mirador tercero delante frena aseg choca parte trasera parte delantera lesiones despl
112;656;auto - auto;comprometida;aseg circulando virgilioal llegar interseccioncolisiona paragolpe delantero lateral delantero izquierdo terceroque circulaba mcervantessin desplazamientossin lesiones
113;657;auto - auto;comprometida;aseg circulaba conde llegar interseccion ugarte aseg venia nadie cruzando ro venia ugarte colisiona aseg lateral derecho parte delantera parte delantera ro aseg trasladado manejaba ro tambien trasladada 
114;661;auto - auto;comprometida;circulaba rosario vera penaloza vehiculo circula delante mio detiene marcha forma abrupta colisiono
115;662;auto - auto;comprometida;encontraba circulando baja velocidad repente tercero frena golpe embisto parte trasera parte delantera lesionados mas terceros datos tercero comas juan marcelo chevrolet corsa ola orbis
116;668;auto - auto;concurrente;vhc asegurado circulando au perito moreno tras cruzar zuviria embestido lateral izquierdo parte delantera tercero circulaba ultima mencionada acompanante asegurado amiga corte facial 
117;671;auto - auto;discutida;vehiculo asegurado circulaba puerto palos interseccion suarez colisionado lateral delantero izquierdo parte delantera tercero circulaba ultima raiz asegurado desplazado colisionando persiana local tercero trasladado htal argerich
118;684;auto - auto;discutida;asegurado circulando autopista embestido parte trasera derecha tercero circulaba mismo parte delantera asiste autopista tercero desplaza embiste divisor cemento habria sufrido lesiones ampliacin aseguradoel venia circulando acceso oeste altura km salida reja encontraba circulando modo crucero velocidad km hora aproximadamente desactiva modo crucero mts calzada reducia obras reduce velocidad parte trasera derecha realizo ningun movimiento cambio carril luego siniestro llamo recuerda comisaria 
119;701;auto - auto;comprometida;asegurado circulaba agosto colisiona parte delantera parte trasera tercero frena mismasin lesiones desplazamientos
120;713;auto - auto;nan;asegurada circulando cnel larrazabal llegar cruce colectora au dellepiane norte colisionada tercero circulaba ultima impacta parte delantera parte delantera derecha aseg desplazamientos lesiones d
121;723;auto - auto;comprometida;aseg circulando interseccin derecha pasa b aseg coliciona danandole parte trasera derecha frente vehi aseg mas vhs
122;728;auto - auto;comprometida;asegurada circulaba miguel cane llegar interseccin septiembre impacta parte delantera puerta delantera izquierda chevrolet corsa transitaba septiembre acompanantes chevrolet corsa result corte frente intervencin
123;729;auto - auto;comprometida;aseg circulando argerich tercero circulaba delante frena transito vhl aseg llega frenar impacta parte delantera aprte trasera tercero lesiones
124;731;auto - auto;comprometida;circulando mosconi auto tercero frena asegurado puede frenar embiste parte trasera desplamientos lesiones
125;748;auto - auto;comprometida;salgo estacionamiento circulando despacio billingurst habia kangoo adelante permitia bien inevitablemente colisiono parte delantera parte trasera mas lesionados terceros involucrados detallados datos tercero misme palomino jorge renault kangoo adwi sancor seguros
126;751;auto - auto;comprometida;mecanica hecho segun version asegurado circulando ciudad paz vehiculo adelante frena llego frenar igual toco parte delantera parte trasera lesionados terceros involucrasmecanica hecho segun tercero circulando ciudad paz freno contingencias transito vehivulo impacta atras
127;763;auto - auto;concurrente;asegurado circulando canelones colisiona frente lateral derecho trasero tercero circulaba puente inca desplazamientos lesionados
128;764;auto - auto;discutida;asegurado circulaba au mayo tercero habia perdido control colisionando guardarrail desplaza colisiona asegurado parte delantera derecha parte lateral izquierda tercero expone tocado atras perdio control vehiculo tercero sufrio lesiones dolor hombro cortes manos trasladado same hospital ramos mejia diagnostico fractura hombro dolor columna asegurado indica sufrio mareos dolores intervencion policial
129;771;auto - auto;comprometida;mecanica hecho segun version asegurado vehiculo gol trend asegurado llega frenar colisionando ford fiesta patente abuc vez impacta vw suran patente kozd mecanica hecho segun tercero denuncia dominio koz choque cadena gral paz asegurado segundo lugar choque produce venia detras dominio mju
130;772;auto - auto;concurrente;circulando betinotti terminando cruzar yerra tercero venia colisiona frente lateral trasero derecho desp
131;776;auto - auto;comprometida;asegurado inicia marcha luego semaforo embiste parte delantera aseg parte trasera tercero tercero menciona latigazo cervical desplazamiento golpe leve
132;781;auto - auto;discutida;aseg circulando warnes tercero circulando thamesal llegar interseccion colisionan ambos parte frontal causa colision impacta masetero parte frontal danando varias partes lesionados traslada tercero hospital dolores torax air bag
133;785;auto - auto;comprometida;asegurado circulando murgiondo colisiona parte trasera tercero delante detiene lesiones desplazamientos
134;791;auto - auto;concurrente;circulando roca ahora kirchner luz cuanod b venia interseccion pendas derecha llega frenar ponerse semaforo embiste parte lateral dealntera derecha moto cae piso ofreci llamar emergencia quizo solo pasamos datos retiro medios manifestar lesiones aparentes mas gterceros involucrados lesionados datos tercero cormillot ruben alexander honda nf jxi atm
135;793;auto - auto;concurrente;asegirado circulando wenceslao tata interseccion potosi impacta parte delantera derecha lateral delantero derecho lateral trasero izquierdo tercero circulaba potosi alta velocidad producto tercero vuelca calzada 
136;797;auto - auto;comprometida;asegurado toca paragolpe trasero tercero precede frena lesionados
137;825;auto - auto;comprometida;circulaba general paz rodado sobrepasa izquierda detiene marcha bruscamente intentar evitar colsion volanteo izquierda accidentalente colisiono frente sector trasero terceros involucrados lesionados terceros involucrados lesionados datos tercero kessler sebastian ezequiel fiat adre federacion patronal 
138;831;auto - auto;comprometida;aseg circulando direccion referencia llegar interseccion delfor embestida lateral derecho parte delantera ro producto aserg desplaza hacia vereda sube choca parte delantera arbol hija conductora dolencias cabezatambien lesionado tercero mareos dolor cabeza
139;835;auto - auto;comprometida;mecanica hecho segun version asegurado circulaba gaspar campos sur norte vamos doblar izquierda tupacamaru ahi siento tercero moto moldura rueda trasera coche tercero acompanante presentaron lesiones aparentes 
140;841;auto - auto;concurrente;circulando william morris auto tercero venia saladillo incorpora william morris frena choca parte delantera derecha desplazamientos lesiones
141;853;auto - auto;concurrente;mecanica hecho segun version asegurado asegurado circulaba churrinche cruzar rep argentina colisiona parte delantera delantera izquierda parte lateral trasera derecha tercero circulaba rep argentina hizo presente same nervios acompanante vehiculo tercero diagnosticaron lesiones desplazamientosd 
142;856;auto - auto;comprometida;aseg circulando hipolito yrigoyen frene impacte tercero frena transito misma parte delantera parte trasera despl tercero remis pasajeras dolores lleva hospital lavallol intervencion
143;857;auto - auto;comprometida;avanzando semaforollegando cruce peatn auto encontraba adelante frena golpe colapsando parte delantera vehiculo eros involucrados novia asegurado sufrio lesiones derecho corte arriba parpado datos tercero maria lourdes racia chevrolet kzc zurich
144;860;auto - auto;comprometida;venia hacia llegar persona querer esquivarlo volanteo realizo mala maniobra choco auto chevrolet corsa estacionado chocar auto pega moto yamaha detras rompe paragolpe trasero
145;864;auto - auto;comprometida;asegurado circulaba au panamericana impacta tercero circulaba misma baja velocidad parte trasera parte delantera desplazamientos dentro tercero acompanante dolor momento llamada encuentra lugar 
146;880;auto - auto;concurrente;vehiculo asegurado circulaba pje fernandezsiendo embestido tercero derechacon frente derecho lateral trasero derechoasegurado desplazado haciendo trompo embistiendo arbol parte traserasin mas involucradoslesionados tercero aseguradoun patrullero pasaba involucratrasladandose papa tercera hosp thompson san martintercero golpes codo derecho derecha tenia operadaaseurado latigazo hombro izquierdote asegurado
