;Unnamed: 0;Idenx original;tipo_de_accidente;responsabilidad;descripcion_del_hecho - Final;Spacy Lemma-Pos
14;14;21;auto - moto;discutida;detenido semanforo avda castanares reinicio marcha mientras avanzo tercero moto circulaba misma contrario dobla u pasandose hacia contraria yop circulaba salio imprevisto detras colectivo llegue impacta lateral izquierdo iban ocupantes caen piso ;[('detener', 'ADJ'), ('semanforo', 'PROPN'), ('avda', 'PROPN'), ('castanares', 'NOUN'), ('reinicio', 'NOUN'), ('marchar', 'NOUN'), ('mientras', 'SCONJ'), ('avanzar', 'PROPN'), ('3', 'ADJ'), ('moto', 'NOUN'), ('circular', 'AUX'), ('mismo', 'DET'), ('contrario', 'ADJ'), ('doblar', 'ADV'), ('u', 'CCONJ'), ('pasandose', 'VERB'), ('hacia', 'ADP'), ('contrario', 'ADJ'), ('yop', 'PROPN'), ('circular', 'AUX'), ('salio', 'PROPN'), ('imprevisto', 'PROPN'), ('detras', 'NOUN'), ('colectivo', 'ADJ'), ('llegar', 'VERB'), ('impactar', 'VERB'), ('lateral', 'ADJ'), ('izquierdo', 'ADJ'), ('ir', 'AUX'), ('ocupante', 'ADJ'), ('caer', 'AUX'), ('pisar', 'NOUN')]
15;15;22;auto - moto;discutida;vehiculo asegurado circulando colon momento detiene giro fines poder doblar izquierda moto circulaba detras colisiona parte trasera moto circulaba sola cae piso utilizaba ;[('vehicular', 'NOUN'), ('asegurar', 'ADJ'), ('circular', 'VERB'), ('colon', 'PROPN'), ('momento', 'NOUN'), ('detener', 'VERB'), ('girar', 'NOUN'), ('finar', 'NOUN'), ('poder', 'VERB'), ('doblar', 'VERB'), ('izquierdo', 'NOUN'), ('moto', 'PROPN'), ('circular', 'AUX'), ('detras', 'NOUN'), ('colisionar', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('moto', 'PROPN'), ('circular', 'PROPN'), ('solo', 'ADJ'), ('caer', 'VERB'), ('pisar', 'NOUN'), ('utilizar', 'AUX')]
16;16;24;auto - moto;comprometida;asegurado circulando rep guatemala altura interseccion virrey cisneros san justo bs as tercero circulaba ultima moto ocupante asegurado embisti frente derecho lateral izquierdo tercero cae pavimiento pierde conocimiento reincorpora propios medios desplazamientos ;[('asegurar', 'ADJ'), ('circular', 'VERB'), ('rep', 'PROPN'), ('guatemala', 'PROPN'), ('altura', 'PROPN'), ('interseccion', 'PROPN'), ('virrey', 'PROPN'), ('cisneros', 'PROPN'), ('santo', 'AUX'), ('justar', 'ADV'), ('bs', 'PROPN'), ('as', 'AUX'), ('3', 'ADJ'), ('circular', 'AUX'), ('ultimar', 'PROPN'), ('moto', 'NOUN'), ('ocupante', 'ADJ'), ('asegurar', 'ADJ'), ('embisti', 'ADV'), ('frente', 'ADV'), ('derecho', 'NOUN'), ('lateral', 'ADJ'), ('izquierdo', 'ADJ'), ('3', 'ADJ'), ('caer', 'VERB'), ('pavimiento', 'NOUN'), ('perder', 'VERB'), ('conocimiento', 'NOUN'), ('reincorporar', 'VERB'), ('propio', 'DET'), ('medio', 'NOUN'), ('desplazamiento', 'ADJ')]
17;17;25;auto - moto;comprometida;circulando peron moto circulaba derecha cierra repentinamente colisiona lateral derecho persoana moto cae piso llevaba levanta ;[('circular', 'VERB'), ('peron', 'VERB'), ('moto', 'NOUN'), ('circular', 'AUX'), ('derecho', 'ADJ'), ('cerrar', 'VERB'), ('repentinamente', 'ADV'), ('colisionar', 'VERB'), ('lateral', 'ADJ'), ('derecho', 'PROPN'), ('persoana', 'ADJ'), ('moto', 'PROPN'), ('caer', 'VERB'), ('pisar', 'NOUN'), ('llevar', 'AUX'), ('levantar', 'ADJ')]
18;18;26;auto - moto;comprometida;asegurado detenido pedro suarez ingresar izquierda lubricentro guino colisionado parte trasera delantera tercero moto ocupante sabe cayo cieculaba detras tercero raspon luego medios moto;[('asegurar', 'ADJ'), ('detener', 'ADJ'), ('pedro', 'PROPN'), ('suarez', 'PROPN'), ('ingresar', 'PROPN'), ('izquierdo', 'PROPN'), ('lubricentro', 'PROPN'), ('guino', 'NOUN'), ('colisionar', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('delantero', 'NOUN'), ('3', 'ADJ'), ('moto', 'NOUN'), ('ocupante', 'ADJ'), ('saber', 'VERB'), ('cayo', 'PROPN'), ('cieculaba', 'AUX'), ('detras', 'NOUN'), ('3', 'ADJ'), ('raspon', 'NOUN'), ('luego', 'ADV'), ('medio', 'NOUN'), ('moto', 'PROPN')]
19;19;27;auto - moto;discutida;circulando directorio aparentemente moto muerde vias lateral derecho moto cae intervencion same policial trasladado hospital pineyro terceros involucrados datos tercero castelar leonardo andres honda eev libra asegurado ;[('circular', 'VERB'), ('directorio', 'ADJ'), ('aparentemente', 'ADV'), ('moto', 'NOUN'), ('morder', 'VERB'), ('vias', 'NOUN'), ('lateral', 'ADJ'), ('derecho', 'PROPN'), ('moto', 'PROPN'), ('caer', 'VERB'), ('intervencion', 'PROPN'), ('same', 'ADV'), ('policial', 'ADJ'), ('trasladar', 'ADJ'), ('hospital', 'PROPN'), ('pineyro', 'VERB'), ('tercero', 'ADJ'), ('involucrar', 'ADJ'), ('dato', 'NOUN'), ('3', 'ADJ'), ('castelar', 'VERB'), ('leonardo', 'PROPN'), ('andres', 'NOUN'), ('hondo', 'PROPN'), ('eev', 'ADV'), ('librar', 'NOUN'), ('asegurar', 'ADJ')]
20;20;28;auto - moto;comprometida;redgreenlueuc vehiculo asegurado mansilla doblar martinto colisiona lateral derecho motocicleta circulaba misma moto ocupante cae piso ;[('redgreenlueuc', 'ADJ'), ('vehicular', 'NOUN'), ('asegurar', 'ADJ'), ('mansilla', 'NOUN'), ('doblar', 'VERB'), ('martinto', 'NOUN'), ('colisionar', 'VERB'), ('lateral', 'ADJ'), ('derecho', 'ADJ'), ('motocicleta', 'PROPN'), ('circular', 'AUX'), ('mismo', 'DET'), ('moto', 'NOUN'), ('ocupante', 'ADJ'), ('caer', 'VERB'), ('pisar', 'NOUN')]
21;21;29;auto - moto;comprometida;saliendo domicilio partcular marcha atras miro hacia ambos lados divisar ningdan vehiculo comienzo bajar vereda moto embiste parte trasera frente ocupante cae pavimento levanta propios medios intervine same art traslada inetrviene desplazamientos;[('salir', 'VERB'), ('domiciliar', 'NOUN'), ('partcular', 'VERB'), ('marchar', 'NOUN'), ('atras', 'ADJ'), ('mirar', 'VERB'), ('hacia', 'ADP'), ('ambos', 'NUM'), ('lado', 'NOUN'), ('divisar', 'VERB'), ('ningdan', 'AUX'), ('vehicular', 'NOUN'), ('comenzar', 'NOUN'), ('bajar', 'VERB'), ('vereda', 'PROPN'), ('moto', 'PROPN'), ('embestir', 'VERB'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('frente', 'ADV'), ('ocupante', 'ADJ'), ('caer', 'VERB'), ('pavimentar', 'PROPN'), ('levantar', 'VERB'), ('propio', 'DET'), ('medio', 'NOUN'), ('intervenir', 'VERB'), ('same', 'ADV'), ('artículo', 'PROPN'), ('trasladar', 'VERB'), ('inetrviene', 'VERB'), ('desplazamiento', 'NOUN')]
22;22;30;auto - moto;comprometida;asegurado circulando cno gral belgrano esquivar pozo habia misma colisiona tercero moto circulaba misma impactando lateral derecho lateral izquierdo asegurado iba solo ocupante moto llevaba cae levanta retira propios medios intervencion policial ambulancias desplazamientosd asegurado formaliz oficina quilmes ratific mecanica leve intervencion tercero;[('asegurar', 'ADJ'), ('circular', 'VERB'), ('cno', 'PROPN'), ('gral', 'ADJ'), ('belgrano', 'ADJ'), ('esquivar', 'PROPN'), ('pozo', 'PROPN'), ('habia', 'PROPN'), ('mismo', 'DET'), ('colisionar', 'NOUN'), ('3', 'ADJ'), ('moto', 'NOUN'), ('circular', 'AUX'), ('mismo', 'DET'), ('impactar', 'VERB'), ('lateral', 'ADJ'), ('derecho', 'NOUN'), ('lateral', 'ADJ'), ('izquierdo', 'ADJ'), ('asegurar', 'ADJ'), ('ir', 'AUX'), ('solo', 'ADV'), ('ocupante', 'ADJ'), ('moto', 'NOUN'), ('llevar', 'AUX'), ('caer', 'VERB'), ('levantar', 'NOUN'), ('retirar', 'VERB'), ('propio', 'DET'), ('medio', 'NOUN'), ('intervencion', 'PROPN'), ('policial', 'ADJ'), ('ambulancia', 'PROPN'), ('desplazamientosd', 'PROPN'), ('asegurar', 'PROPN'), ('formaliz', 'PROPN'), ('oficina', 'PROPN'), ('quilmes', 'PROPN'), ('ratific', 'PROPN'), ('mecanica', 'PROPN'), ('levar', 'ADJ'), ('intervencion', 'PROPN'), ('3', 'ADJ')]
23;23;33;auto - moto;comprometida;circulaba cabildo llegar echeverria moto intenta sobrepasarme derecha embiste parte lateral derecha cae reincorporandose inmediato propios medios ;[('circular', 'AUX'), ('cabildo', 'AUX'), ('llegar', 'VERB'), ('echeverria', 'ADJ'), ('moto', 'PROPN'), ('intentar', 'VERB'), ('sobrepasarme', 'VERB'), ('derecho', 'NOUN'), ('embestir', 'ADJ'), ('partir', 'NOUN'), ('lateral', 'ADJ'), ('derecho', 'ADJ'), ('caer', 'VERB'), ('reincorporandose', 'VERB'), ('inmediato', 'ADJ'), ('propio', 'DET'), ('medio', 'NOUN')]
24;24;34;auto - moto;comprometida;aseg encontraba circulando aguero poner luz giro girar hacia bramante iniciar maniobra aseg roza parte delantera tanque nafta moto solo ocupante cae suelo producto intervencion dolencias dedo raspon cadera intervencion muncipal bonaerense ;[('aseg', 'PROPN'), ('encontrar', 'AUX'), ('circular', 'VERB'), ('aguero', 'NOUN'), ('poner', 'VERB'), ('luz', 'NOUN'), ('girar', 'PROPN'), ('girar', 'VERB'), ('hacia', 'ADP'), ('bramante', 'ADV'), ('iniciar', 'VERB'), ('maniobrar', 'NOUN'), ('aseg', 'PROPN'), ('rozar', 'VERB'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('tanque', 'VERB'), ('nafta', 'PROPN'), ('moto', 'NOUN'), ('solo', 'ADV'), ('ocupante', 'ADJ'), ('caer', 'VERB'), ('soler', 'NOUN'), ('producto', 'PROPN'), ('intervencion', 'PROPN'), ('dolencia', 'PROPN'), ('dedo', 'PROPN'), ('raspon', 'ADJ'), ('cadera', 'PROPN'), ('intervencion', 'PROPN'), ('muncipal', 'PROPN'), ('bonaerense', 'ADJ')]
25;25;36;auto - moto;comprometida;aseg maniobraba salir gge parte delantera derecha ro moto circulaba alli moto intervencin levanta retira medios desplazamientos lesionados confirmamos asegurado cuanto meccnica tema leve sali garage hacia adelante punto poste vio tercero retiro propios medios participacin tomo tercero volvi llamar luego hecho;[('aseg', 'PROPN'), ('maniobrar', 'AUX'), ('salir', 'VERB'), ('gge', 'VERB'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('derecho', 'ADJ'), ('ro', 'ADJ'), ('moto', 'NOUN'), ('circular', 'AUX'), ('alli', 'PROPN'), ('moto', 'PROPN'), ('intervencin', 'PROPN'), ('levantar', 'VERB'), ('retirar', 'PROPN'), ('medio', 'NOUN'), ('desplazamiento', 'ADJ'), ('lesionar', 'ADJ'), ('confirmar', 'VERB'), ('asegurar', 'VERB'), ('cuanto', 'ADV'), ('meccnica', 'VERB'), ('temer', 'NOUN'), ('levar', 'ADJ'), ('sali', 'PROPN'), ('garage', 'PROPN'), ('hacia', 'ADP'), ('adelantar', 'ADV'), ('punto', 'NOUN'), ('poste', 'NOUN'), ('ver', 'VERB'), ('3', 'ADJ'), ('retirar', 'NOUN'), ('propio', 'DET'), ('medio', 'NOUN'), ('participacin', 'ADJ'), ('tomar', 'VERB'), ('3', 'ADJ'), ('volvi', 'ADJ'), ('llamar', 'VERB'), ('luego', 'ADV'), ('hacer', 'ADJ')]
26;26;37;auto - moto;comprometida;venia circulando dispongo doblar derecha armenia moto venia derecha impacta lateral trasero derecho sel moto cae ;[('venia', 'PROPN'), ('circular', 'VERB'), ('disponer', 'PROPN'), ('doblar', 'VERB'), ('derecho', 'ADJ'), ('armenio', 'PROPN'), ('moto', 'PROPN'), ('venia', 'PROPN'), ('derecho', 'ADJ'), ('impactar', 'ADJ'), ('lateral', 'ADJ'), ('trasero', 'ADJ'), ('derecho', 'PROPN'), ('sel', 'PROPN'), ('moto', 'PROPN'), ('caer', 'VERB')]
27;27;38;auto - moto;comprometida;asegurado ingresaba domicilio moto transitaba mas atras impact eel lateral trasero derecho vehuclo asegurado motociclista cay suelo tena puesto levant intercambiaron datos retir;[('asegurar', 'ADJ'), ('ingresar', 'AUX'), ('domiciliar', 'ADJ'), ('moto', 'NOUN'), ('transitar', 'AUX'), ('mas', 'ADV'), ('atras', 'NOUN'), ('impact', 'PROPN'), ('eel', 'PROPN'), ('lateral', 'ADJ'), ('trasero', 'ADJ'), ('derecho', 'PROPN'), ('vehuclo', 'PROPN'), ('asegurar', 'ADJ'), ('motociclista', 'PROPN'), ('cay', 'NOUN'), ('soler', 'NOUN'), ('tena', 'NOUN'), ('poner', 'INTJ'), ('levant', 'PROPN'), ('intercambiar', 'VERB'), ('dato', 'NOUN'), ('retir', 'VERB')]
28;28;39;auto - moto;concurrente;circulaba emilio mitre cruzar peron motociclista pasa impacta derecha momento presento solicito presencia same evaluo necesario traslado motociclista hospital;[('circular', 'AUX'), ('emilio', 'PROPN'), ('mitre', 'PROPN'), ('cruzar', 'VERB'), ('peron', 'VERB'), ('motociclista', 'PROPN'), ('paso', 'VERB'), ('impactar', 'ADJ'), ('derecho', 'ADJ'), ('momento', 'NOUN'), ('presentar', 'ADJ'), ('solicitar', 'ADJ'), ('presenciar', 'NOUN'), ('same', 'ADV'), ('evaluo', 'NOUN'), ('necesario', 'ADJ'), ('trasladar', 'ADJ'), ('motociclista', 'ADJ'), ('hospital', 'PROPN')]
