;Unnamed: 0;Idenx original;tipo_de_accidente;responsabilidad;descripcion_del_hecho - Final;Spacy Lemma-Pos
10;10;389;auto - ciclista;comprometida;asegurado detenido esperando avanzar toca rueda trasera derecha persona bicicleta ocasionandole lesiones derecho tipo raspon asegurado traslada centro medico barrio santa marta intervencion policial;[('asegurar', 'ADJ'), ('detener', 'ADJ'), ('esperar', 'AUX'), ('avanzar', 'VERB'), ('tocar', 'VERB'), ('rodar', 'NOUN'), ('trasero', 'ADJ'), ('derecho', 'NOUN'), ('personar', 'NOUN'), ('bicicleta', 'NOUN'), ('ocasionandole', 'VERB'), ('lesionar', 'NOUN'), ('derecho', 'ADJ'), ('tipo', 'NOUN'), ('raspon', 'ADJ'), ('asegurar', 'ADJ'), ('trasladar', 'VERB'), ('centrar', 'NOUN'), ('medicar', 'ADJ'), ('barrio', 'NOUN'), ('santo', 'PROPN'), ('marta', 'PROPN'), ('intervencion', 'PROPN'), ('policial', 'ADJ')]
11;11;397;auto - ciclista;comprometida;asegurado circulando esquina vergara bicicleta colisiona parte delantera rueda delantera tercero tercero presento lesiones aparentes manifesto dolencia derecha intervencion interv desplazamientos;[('asegurar', 'ADJ'), ('circular', 'VERB'), ('esquinar', 'NOUN'), ('vergara', 'ADJ'), ('bicicleta', 'NOUN'), ('colisionar', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('rodar', 'NOUN'), ('delantero', 'ADJ'), ('3', 'ADJ'), ('3', 'ADJ'), ('presentar', 'NOUN'), ('lesionar', 'NOUN'), ('aparente', 'ADJ'), ('manifesto', 'ADJ'), ('dolencia', 'NOUN'), ('derecho', 'ADJ'), ('intervencion', 'PROPN'), ('interv', 'PROPN'), ('desplazamiento', 'ADJ')]
12;12;436;auto - ciclista;comprometida;bajando vehculo puerta abierta bicicleta colision puerta delantera izquierda intervinieron polica;[('bajar', 'VERB'), ('vehculo', 'ADJ'), ('puerta', 'PROPN'), ('abrir', 'ADJ'), ('bicicleta', 'NOUN'), ('colision', 'PROPN'), ('puerta', 'PROPN'), ('delantero', 'NOUN'), ('izquierdo', 'ADJ'), ('intervenir', 'VERB'), ('polica', 'ADJ')]
13;13;447;auto - ciclista;comprometida;asegurado circulando uriarte girar izquierda loyola colisionado parte delantera tercero circulaba bicisenda izquierda asegurado contrario loyola bici recuerda tenia cayo capot luego suelo circulaba bicisenda loyola tercero trasladado same htal duran ;[('asegurar', 'ADJ'), ('circular', 'VERB'), ('uriarte', 'DET'), ('girar', 'VERB'), ('izquierdo', 'ADJ'), ('loyola', 'PROPN'), ('colisionar', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('3', 'ADJ'), ('circular', 'AUX'), ('bicisenda', 'NOUN'), ('izquierdo', 'ADJ'), ('asegurar', 'ADJ'), ('contrario', 'ADJ'), ('loyola', 'PROPN'), ('bici', 'PROPN'), ('recordar', 'VERB'), ('tenia', 'PROPN'), ('cayo', 'PROPN'), ('capot', 'PROPN'), ('luego', 'ADV'), ('soler', 'NOUN'), ('circular', 'AUX'), ('bicisenda', 'PROPN'), ('loyola', 'PROPN'), ('3', 'ADJ'), ('trasladar', 'ADJ'), ('same', 'ADV'), ('htal', 'ADJ'), ('durar', 'PROPN')]
14;14;454;auto - ciclista;comprometida;asegurado detenido semaforo heras companero trabajo iba sentado lado abre puerta trasera derecha bajar colisionado tercero bici circulaba misma bici ciclista cayeron piso llevaba asegurado traslada ciclista htal fernandez tenia lesiones aparentes;[('asegurar', 'ADJ'), ('detener', 'ADJ'), ('semaforo', 'PROPN'), ('heras', 'NOUN'), ('companero', 'ADJ'), ('trabajar', 'NOUN'), ('ir', 'VERB'), ('sentar', 'ADJ'), ('lado', 'NOUN'), ('abrir', 'VERB'), ('puerta', 'NOUN'), ('trasero', 'ADJ'), ('derecho', 'NOUN'), ('bajar', 'VERB'), ('colisionar', 'ADJ'), ('3', 'ADJ'), ('bici', 'PROPN'), ('circular', 'AUX'), ('mismo', 'DET'), ('bici', 'NOUN'), ('ciclista', 'ADJ'), ('caer', 'VERB'), ('pisar', 'NOUN'), ('llevar', 'AUX'), ('asegurar', 'ADJ'), ('trasladar', 'VERB'), ('ciclista', 'NOUN'), ('htal', 'ADJ'), ('fernandez', 'NOUN'), ('tenia', 'PROPN'), ('lesionar', 'NOUN'), ('aparente', 'ADJ')]
15;15;463;auto - ciclista;comprometida;detenido semaforo h yrigoyen acevedo laprida momento acompanante auto asegurado abre puerta momento bicicleta embiste puerta sola persona bicicleta cae pavimento lastima participa lugar quiso ser trasladado;[('detener', 'ADJ'), ('semaforo', 'PROPN'), ('hora', 'ADP'), ('yrigoyen', 'PROPN'), ('acevedo', 'PROPN'), ('laprida', 'INTJ'), ('momento', 'NOUN'), ('acompanante', 'ADJ'), ('auto', 'ADJ'), ('asegurar', 'ADJ'), ('abrir', 'VERB'), ('puerta', 'INTJ'), ('momento', 'NOUN'), ('bicicleta', 'PROPN'), ('embestir', 'ADJ'), ('puerta', 'NOUN'), ('solo', 'ADJ'), ('personar', 'NOUN'), ('bicicleta', 'NOUN'), ('caer', 'VERB'), ('pavimentar', 'PROPN'), ('lastimar', 'PROPN'), ('participar', 'VERB'), ('lugar', 'NOUN'), ('querer', 'VERB'), ('ser', 'VERB'), ('trasladar', 'VERB')]
16;16;472;auto - ciclista;comprometida;circulaba mercedes direccion lascano llegar esquina reduzco velocidad cruzar lascano colisiono ciclista venia lascano izquierda asegurado roza paragolpe izquierdo provocando caida siendo trasladado hospital alvarez interviniendo comisaria ex ahora denominada comuna;[('circular', 'AUX'), ('merced', 'PROPN'), ('direccion', 'PROPN'), ('lascano', 'ADJ'), ('llegar', 'VERB'), ('esquinar', 'PROPN'), ('reducir', 'PROPN'), ('velocidad', 'NOUN'), ('cruzar', 'VERB'), ('lascano', 'ADJ'), ('colisionar', 'NOUN'), ('ciclista', 'ADJ'), ('venia', 'PROPN'), ('lascano', 'PROPN'), ('izquierdo', 'NOUN'), ('asegurar', 'ADJ'), ('rozar', 'PROPN'), ('paragolpe', 'NOUN'), ('izquierdo', 'ADJ'), ('provocar', 'VERB'), ('caida', 'VERB'), ('ser', 'AUX'), ('trasladar', 'VERB'), ('hospital', 'PROPN'), ('alvarez', 'PROPN'), ('intervenir', 'VERB'), ('comisaria', 'NOUN'), ('ex', 'ADJ'), ('ahora', 'ADV'), ('denominar', 'ADJ'), ('comuna', 'NOUN')]
17;17;486;auto - ciclista;comprometida;encontraba circulando avalos cruzando pampa dando paso ciclista ciclovia motociclista venia pampa verme frena repentinamente provocando vuelco deslizamiento scooter llegar colicionar vehiculo acompanante tenan puesto acompanante ten chaleco refractario obligatorio retiro same datos tercero kymco hlm;[('encontrar', 'AUX'), ('circular', 'VERB'), ('avalos', 'VERB'), ('cruzar', 'VERB'), ('pampa', 'ADV'), ('dar', 'VERB'), ('pasar', 'NOUN'), ('ciclista', 'ADJ'), ('ciclovia', 'PROPN'), ('motociclista', 'PROPN'), ('venia', 'PROPN'), ('pampa', 'ADV'), ('verme', 'VERB'), ('frenar', 'VERB'), ('repentinamente', 'ADV'), ('provocar', 'VERB'), ('volcar', 'PROPN'), ('deslizamiento', 'PROPN'), ('scooter', 'VERB'), ('llegar', 'VERB'), ('colicionar', 'VERB'), ('vehicular', 'NOUN'), ('acompanante', 'ADJ'), ('tenan', 'AUX'), ('poner', 'NOUN'), ('acompanante', 'ADJ'), ('tener', 'PROPN'), ('chaleco', 'PROPN'), ('refractario', 'PROPN'), ('obligatorio', 'ADJ'), ('retirar', 'NOUN'), ('same', 'ADV'), ('dato', 'NOUN'), ('3', 'ADJ'), ('kymco', 'PROPN'), ('hlm', 'PROPN')]
18;18;487;auto - ciclista;comprometida;venia circulando waith doblar cajaraville habia autos estacionados ambos lados querer roso bicicleta propios medios;[('venia', 'PROPN'), ('circular', 'PROPN'), ('waith', 'PROPN'), ('doblar', 'VERB'), ('cajaraville', 'PROPN'), ('habia', 'PROPN'), ('auto', 'NOUN'), ('estacionar', 'ADJ'), ('ambos', 'NUM'), ('lado', 'ADJ'), ('querer', 'VERB'), ('roso', 'ADJ'), ('bicicleta', 'NOUN'), ('propio', 'DET'), ('medio', 'NOUN')]
19;19;524;auto - ciclista;comprometida;aseg circulando mexico tercero bicicleta misma sale detras container basura impacta espejo derecho tercero llega piso va andando datos intervencion lesiones visibles;[('aseg', 'PROPN'), ('circular', 'VERB'), ('mexico', 'ADJ'), ('3', 'ADJ'), ('bicicleta', 'NOUN'), ('mismo', 'DET'), ('salir', 'VERB'), ('detras', 'NOUN'), ('container', 'VERB'), ('basura', 'NOUN'), ('impactar', 'ADJ'), ('espejar', 'NOUN'), ('derecho', 'ADJ'), ('3', 'ADJ'), ('llegar', 'VERB'), ('pisar', 'NOUN'), ('ir', 'AUX'), ('andar', 'VERB'), ('dato', 'NOUN'), ('intervencion', 'ADJ'), ('lesionar', 'NOUN'), ('visible', 'ADJ')]
20;20;527;auto - ciclista;concurrente;iba ciruclnado llegar interseccion semaforo favor cruzo bicicleta solo ocupante produce colision parte delantera izquierda biciclo ciclista cae piso levantandose medios retirandose rapidamente dejar datos intervension policial manifesto dolor alguno;[('ir', 'VERB'), ('ciruclnado', 'ADJ'), ('llegar', 'VERB'), ('interseccion', 'PROPN'), ('semaforo', 'ADJ'), ('favor', 'PROPN'), ('cruzar', 'NOUN'), ('bicicleta', 'NOUN'), ('solo', 'ADV'), ('ocupante', 'ADJ'), ('producir', 'VERB'), ('colision', 'PROPN'), ('partir', 'VERB'), ('delantero', 'ADJ'), ('izquierdo', 'ADJ'), ('biciclo', 'PROPN'), ('ciclista', 'ADJ'), ('caer', 'VERB'), ('pisar', 'NOUN'), ('levantandose', 'VERB'), ('medio', 'NOUN'), ('retirandose', 'VERB'), ('rapidamente', 'ADV'), ('dejar', 'VERB'), ('dato', 'NOUN'), ('intervension', 'PROPN'), ('policial', 'ADJ'), ('manifesto', 'ADJ'), ('dolor', 'NOUN'), ('alguno', 'DET')]
21;21;549;auto - ciclista;discutida;asegurado detenido rucci maniobra girar hacia atenas impacta parte delantera tercero circulaba rucci desplazamientos bicicleta iba solo ocupante cae piso presentaba dolor brazo ;[('asegurar', 'ADJ'), ('detener', 'ADJ'), ('rucci', 'PROPN'), ('maniobrar', 'VERB'), ('girar', 'VERB'), ('hacia', 'ADP'), ('atenas', 'NOUN'), ('impactar', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('3', 'ADJ'), ('circular', 'AUX'), ('rucci', 'PROPN'), ('desplazamiento', 'NOUN'), ('bicicleta', 'PROPN'), ('ir', 'AUX'), ('solo', 'ADV'), ('ocupante', 'ADJ'), ('caer', 'VERB'), ('pisar', 'NOUN'), ('presentar', 'AUX'), ('dolor', 'NOUN'), ('brazo', 'PROPN')]
22;22;600;auto - ciclista;comprometida;asegurado circulaba garcia rio cruzar cramer frena ve bicicleta termina impactando lateral delantero izquierdo cae suelo tena corte lleva htal pirovano ;[('asegurar', 'ADJ'), ('circular', 'AUX'), ('garcia', 'PROPN'), ('rio', 'PROPN'), ('cruzar', 'VERB'), ('cramer', 'PROPN'), ('frenar', 'PROPN'), ('ver', 'VERB'), ('bicicleta', 'NOUN'), ('terminar', 'AUX'), ('impactar', 'VERB'), ('lateral', 'ADJ'), ('delantero', 'NOUN'), ('izquierdo', 'ADJ'), ('caer', 'VERB'), ('soler', 'NOUN'), ('tena', 'NOUN'), ('cortar', 'PROPN'), ('llevar', 'VERB'), ('htal', 'NOUN'), ('pirovano', 'ADJ')]
23;23;601;auto - ciclista;comprometida;asegurado saliendo posicion estacionado bicicleta circulaba misma golpea auto asegurado lateral derecho ciclista cae bicicleta suelo ;[('asegurar', 'ADJ'), ('salir', 'VERB'), ('posicion', 'PROPN'), ('estacionar', 'ADJ'), ('bicicleta', 'NOUN'), ('circular', 'AUX'), ('mismo', 'DET'), ('golpear', 'PROPN'), ('auto', 'ADJ'), ('asegurar', 'ADJ'), ('lateral', 'ADJ'), ('derecho', 'PROPN'), ('ciclista', 'ADJ'), ('caer', 'VERB'), ('bicicleta', 'NOUN'), ('soler', 'NOUN')]
24;24;612;auto - ciclista;comprometida;vehiculo estacionado motor apagado abro puerta delantera izquierda bicicleta impacta misma detras bicicleta impacta primer bicicleta ambos conductores biciclitas caen suelo sufren lesiones traslados same hospital pirovano mas involucrados cel ;[('vehicular', 'NOUN'), ('estacionar', 'ADJ'), ('motor', 'NOUN'), ('apagar', 'ADJ'), ('abrir', 'VERB'), ('puerta', 'PROPN'), ('delantero', 'NOUN'), ('izquierdo', 'ADJ'), ('bicicleta', 'NOUN'), ('impactar', 'ADJ'), ('mismo', 'DET'), ('detras', 'NOUN'), ('bicicleta', 'NOUN'), ('impactar', 'ADJ'), ('\ufeff1', 'ADJ'), ('bicicleta', 'NOUN'), ('ambos', 'NUM'), ('conductor', 'ADJ'), ('biciclitas', 'PROPN'), ('caer', 'AUX'), ('soler', 'NOUN'), ('sufrir', 'AUX'), ('lesionar', 'NOUN'), ('traslado', 'ADJ'), ('same', 'ADV'), ('hospital', 'NOUN'), ('pirovano', 'ADJ'), ('mas', 'PROPN'), ('involucrar', 'ADJ'), ('cel', 'NOUN')]
25;25;614;auto - ciclista;comprometida;estacionado rivadavia abro puerta subir vehiculo bicicleta choca puerta delantera izquierda asegurado ciclista cae piso perdida conocimiento ;[('estacionar', 'ADJ'), ('rivadavia', 'PROPN'), ('abrir', 'PROPN'), ('puerta', 'INTJ'), ('subir', 'VERB'), ('vehicular', 'NOUN'), ('bicicleta', 'NOUN'), ('chocar', 'VERB'), ('puerta', 'ADJ'), ('delantero', 'NOUN'), ('izquierdo', 'ADJ'), ('asegurar', 'ADJ'), ('ciclista', 'ADJ'), ('caer', 'VERB'), ('pisar', 'NOUN'), ('perdido', 'ADJ'), ('conocimiento', 'NOUN')]
26;26;615;auto - ciclista;comprometida;circulando corrientes freno senora venia acompanante abre puerta delantera derecha momento pasaba bici misma embiste puerta unico ocupante bici cae pavimento levanta propios medios tenia raspones altura ;[('circular', 'VERB'), ('corriente', 'PROPN'), ('frenar', 'ADJ'), ('senora', 'PROPN'), ('venia', 'PROPN'), ('acompanante', 'ADJ'), ('abrir', 'VERB'), ('puerta', 'NOUN'), ('delantero', 'ADJ'), ('derecho', 'ADJ'), ('momento', 'NOUN'), ('pasar', 'AUX'), ('bici', 'PROPN'), ('mismo', 'DET'), ('embestir', 'VERB'), ('puerta', 'NOUN'), ('unico', 'PROPN'), ('ocupante', 'ADJ'), ('bici', 'PROPN'), ('caer', 'VERB'), ('pavimentar', 'PROPN'), ('levantar', 'VERB'), ('propio', 'DET'), ('medio', 'NOUN'), ('tenia', 'PROPN'), ('raspones', 'NOUN'), ('altura', 'NOUN')]
27;27;633;auto - ciclista;comprometida;asegurada abrir puerta delantera izquierda descender estacionadoes embestido puerta ciclista pasabael ciclista caese levanta medios pudiendo inconvenientes llama mismo trabajo same siendo trasladado santoiani lesiones aparentes tercero llevaba cascoasegurada tambien llamo same;[('asegurar', 'ADJ'), ('abrir', 'VERB'), ('puerta', 'NOUN'), ('delantero', 'NOUN'), ('izquierdo', 'ADJ'), ('descender', 'VERB'), ('estacionadoes', 'NOUN'), ('embestir', 'ADJ'), ('puerta', 'NOUN'), ('ciclista', 'ADJ'), ('pasabael', 'PROPN'), ('ciclista', 'ADJ'), ('caese', 'AUX'), ('levantar', 'VERB'), ('medio', 'NOUN'), ('poder', 'VERB'), ('inconveniente', 'NOUN'), ('llamar', 'VERB'), ('mismo', 'DET'), ('trabajar', 'NOUN'), ('same', 'ADV'), ('ser', 'AUX'), ('trasladar', 'VERB'), ('santoiani', 'ADJ'), ('lesionar', 'NOUN'), ('aparente', 'ADJ'), ('3', 'ADJ'), ('llevar', 'AUX'), ('cascoasegurada', 'ADJ'), ('tambien', 'NOUN'), ('llamar', 'AUX'), ('same', 'ADV')]
28;28;640;auto - ciclista;comprometida;lugar ocurrencia valentin alsina farina montegrande circulando valentin alsina repente encierro bicicleta venia derecha rozo parte delantera derecha bicicleta iba sola persona cayo piso levanto propios medios vino;[('lugar', 'NOUN'), ('ocurrencia', 'PROPN'), ('valentin', 'PROPN'), ('alsina', 'PROPN'), ('farina', 'PROPN'), ('montegrande', 'PRON'), ('circular', 'VERB'), ('valentin', 'PROPN'), ('alsina', 'PROPN'), ('repente', 'ADJ'), ('encerrar', 'NOUN'), ('bicicleta', 'PROPN'), ('venia', 'PROPN'), ('derecho', 'ADJ'), ('rozar', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('derecho', 'ADJ'), ('bicicleta', 'NOUN'), ('ir', 'AUX'), ('solo', 'ADJ'), ('personar', 'NOUN'), ('cayo', 'ADJ'), ('pisar', 'NOUN'), ('levantar', 'ADJ'), ('propio', 'DET'), ('medio', 'NOUN'), ('venir', 'VERB')]
29;29;642;auto - ciclista;comprometida;circulaba venezuela llegar esquina corta venezuela dobla virrey liniers derecha senda peatonal bici embiste parte delantera derecha cae piso levanta solo lleva same secuestro autoasegurado ;[('circular', 'AUX'), ('venezuela', 'PROPN'), ('llegar', 'VERB'), ('esquinar', 'NOUN'), ('corto', 'PROPN'), ('venezuela', 'PROPN'), ('doblar', 'PROPN'), ('virrey', 'VERB'), ('linier', 'PROPN'), ('derecho', 'ADJ'), ('senda', 'NOUN'), ('peatonal', 'ADJ'), ('bici', 'PROPN'), ('embestir', 'VERB'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('derecho', 'ADJ'), ('caer', 'VERB'), ('pisar', 'NOUN'), ('levantar', 'VERB'), ('solo', 'ADV'), ('llevar', 'VERB'), ('same', 'ADV'), ('secuestrar', 'NOUN'), ('autoasegurado', 'ADJ')]
