;Unnamed: 0;Idenx original;tipo_de_accidente;responsabilidad;descripcion_del_hecho - Final;Spacy Lemma-Pos
13;13;110;auto - auto;comprometida;asegurado circulaba nicaragua colisiona parte delantera parte trasera tercero freno transito lesiones desplazamientos;[('asegurar', 'ADJ'), ('circular', 'AUX'), ('nicaragua', 'PROPN'), ('colisionar', 'VERB'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('3', 'ADJ'), ('frenar', 'NOUN'), ('transitar', 'NOUN'), ('lesionar', 'NOUN'), ('desplazamiento', 'ADJ')]
14;14;124;auto - auto;comprometida;aseg maniobra salir lugar estacionado yrigoyen impacta tercero circulaba lateral delantera izquierdo lateral trasero derecho lesiones desplazamiento;[('aseg', 'PROPN'), ('maniobrar', 'VERB'), ('salir', 'VERB'), ('lugar', 'NOUN'), ('estacionar', 'ADJ'), ('yrigoyen', 'PROPN'), ('impactar', 'PROPN'), ('3', 'ADJ'), ('circular', 'AUX'), ('lateral', 'ADJ'), ('delantero', 'AUX'), ('izquierdo', 'ADJ'), ('lateral', 'ADJ'), ('trasero', 'ADJ'), ('derecho', 'PROPN'), ('lesionar', 'NOUN'), ('desplazamiento', 'ADJ')]
15;15;127;auto - auto;comprometida;circulaba balbin parte delantera parte trasera tercero detiene trafico delante raiz tercero desplaza colisiona parte delantera parte trasera vehiculo datos lesiones;[('circular', 'AUX'), ('balbin', 'PROPN'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('3', 'ADJ'), ('detener', 'VERB'), ('traficar', 'ADJ'), ('delante', 'ADV'), ('raiz', 'PROPN'), ('3', 'ADJ'), ('desplazar', 'PROPN'), ('colisionar', 'VERB'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('vehicular', 'NOUN'), ('dato', 'NOUN'), ('lesionar', 'ADJ')]
16;16;132;auto - auto;concurrente;aseg circulando alvarez jonte interseccion miguel salcedo tercero circulaba ultima mencionada atraviesa aseg logra evitar colision pb delantera lateral derecho tercero asegurado personas lesionadas transportadas ;[('aseg', 'PROPN'), ('circular', 'VERB'), ('alvarez', 'PROPN'), ('jonte', 'ADV'), ('interseccion', 'PROPN'), ('miguel', 'PROPN'), ('salcedo', 'PROPN'), ('3', 'ADJ'), ('circular', 'AUX'), ('ultimar', 'PROPN'), ('mencionar', 'ADJ'), ('atravesar', 'PROPN'), ('aseg', 'PROPN'), ('lograr', 'VERB'), ('evitar', 'VERB'), ('colision', 'PROPN'), ('pb', 'PROPN'), ('delantero', 'NOUN'), ('lateral', 'ADJ'), ('derecho', 'NOUN'), ('3', 'ADJ'), ('asegurar', 'ADJ'), ('personar', 'NOUN'), ('lesionar', 'ADJ'), ('transportar', 'ADJ')]
17;17;139;auto - auto;comprometida;circulando menbrillar pasar derecha tercero chevrolet celta frena golpe puedo evitar colisionarlo tercero parte trasera derecha parte delantera izquierda desplazamiento;[('circular', 'AUX'), ('menbrillar', 'VERB'), ('pasar', 'VERB'), ('derecho', 'NOUN'), ('3', 'ADJ'), ('chevrolet', 'PROPN'), ('celta', 'PROPN'), ('frenar', 'PROPN'), ('golpe', 'PROPN'), ('poder', 'AUX'), ('evitar', 'VERB'), ('colisionarlo', 'VERB'), ('3', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('derecho', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('izquierdo', 'ADJ'), ('desplazamiento', 'PROPN')]
18;18;158;auto - auto;comprometida;aseg circulando mosconi colisiona parte delantera parte trasera tercero detuvo marcha misma tercero deslpaza colisiona misma desplaza colisiona desplaza colisiona lesionados;[('aseg', 'PROPN'), ('circular', 'VERB'), ('mosconi', 'PROPN'), ('colisionar', 'PROPN'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('3', 'ADJ'), ('detener', 'VERB'), ('marchar', 'NOUN'), ('mismo', 'DET'), ('3', 'ADJ'), ('deslpaza', 'NOUN'), ('colisionar', 'ADJ'), ('mismo', 'DET'), ('desplazar', 'NOUN'), ('colisionar', 'ADJ'), ('desplazar', 'PROPN'), ('colisionar', 'ADJ'), ('lesionar', 'ADJ')]
19;19;161;auto - auto;comprometida;vhl asegurado encontraba circulando ayacucho delante detiene tercero transito asegurado colisiona parte delantera parte trasera lesiones desplazamientos ;[('vhl', 'PROPN'), ('asegurar', 'ADJ'), ('encontrar', 'AUX'), ('circular', 'VERB'), ('ayacucho', 'ADJ'), ('delante', 'ADV'), ('detener', 'VERB'), ('3', 'ADJ'), ('transitar', 'NOUN'), ('asegurar', 'ADJ'), ('colisionar', 'VERB'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('lesionar', 'NOUN'), ('desplazamiento', 'ADJ')]
20;20;163;auto - auto;comprometida;aseg circulando avda mitre avellaneda bs as tercero circulaba misma igual delante asegurado frena semaforo ultimo embiste parte frontal parte trasera tercero lesiones intervenciones desplazamientos;[('aseg', 'PROPN'), ('circular', 'VERB'), ('avda', 'PROPN'), ('mitre', 'PROPN'), ('avellaneda', 'VERB'), ('bs', 'PROPN'), ('as', 'PROPN'), ('3', 'ADJ'), ('circular', 'AUX'), ('mismo', 'DET'), ('igual', 'ADJ'), ('delante', 'ADV'), ('asegurar', 'ADJ'), ('frenar', 'PROPN'), ('semaforo', 'NOUN'), ('ultimar', 'ADJ'), ('embestir', 'VERB'), ('partir', 'NOUN'), ('frontal', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('3', 'ADJ'), ('lesionar', 'NOUN'), ('intervención', 'NOUN'), ('desplazamiento', 'ADJ')]
21;21;171;auto - auto;comprometida;circulaba pueyrredon puedo evitar colisionar auto tenia delante parte delantera parte trasera izquierda desplazamientos lesionados;[('circular', 'AUX'), ('pueyrredon', 'PROPN'), ('poder', 'AUX'), ('evitar', 'VERB'), ('colisionar', 'VERB'), ('auto', 'NOUN'), ('tenia', 'PROPN'), ('delante', 'ADV'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('izquierdo', 'NOUN'), ('desplazamiento', 'NOUN'), ('lesionar', 'ADJ')]
22;22;172;auto - auto;comprometida;circulando venia delante mio frena tambien hago llego hacerlo completo colisiono parte delantera parte trasera parte delantera parte trasera doro datos doro chev agile gris dominiojipno terceros involucrados lesionados datos tercero ibanez julio peug etw mercantil andina;[('circular', 'VERB'), ('venia', 'PROPN'), ('delante', 'ADV'), ('mio', 'PROPN'), ('frenar', 'PROPN'), ('tambien', 'NOUN'), ('hacer', 'VERB'), ('llegar', 'INTJ'), ('hacerlo', 'VERB'), ('completar', 'ADJ'), ('colisionar', 'NOUN'), ('partir', 'VERB'), ('delantero', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('dorar', 'DET'), ('dato', 'NOUN'), ('dorar', 'ADJ'), ('chev', 'PROPN'), ('agile', 'PROPN'), ('gris', 'PROPN'), ('dominiojipno', 'PROPN'), ('tercero', 'ADJ'), ('involucrar', 'ADJ'), ('lesionar', 'ADJ'), ('dato', 'NOUN'), ('3', 'ADJ'), ('ibanez', 'PROPN'), ('julio', 'PROPN'), ('peug', 'PROPN'), ('etw', 'PROPN'), ('mercantil', 'PROPN'), ('andino', 'ADJ')]
23;23;176;auto - auto;comprometida;circulando cristiania giro derecha tomo tokio tomarla tercero venia delante mio frena manera imprevista pesar haber frenado logro evitar contacto parte frontal vehiculo parte trasera tercero acuso sufrir golpe brazo derecho vehiculo tercero sr gomez juan carlos dnilic conducir nro emitido gcba otorgamiento vencimiento intervencion policial datos tercero robledo gladys lujan fiat idea hlx fhg federacion patronal;[('circular', 'PROPN'), ('cristiania', 'PROPN'), ('girar', 'PROPN'), ('derecho', 'ADJ'), ('tomar', 'VERB'), ('tokio', 'PROPN'), ('tomarla', 'VERB'), ('3', 'ADJ'), ('venia', 'PROPN'), ('delante', 'ADV'), ('mio', 'PROPN'), ('frenar', 'PROPN'), ('manera', 'NOUN'), ('imprevisto', 'ADJ'), ('pesar', 'NOUN'), ('haber', 'VERB'), ('frenar', 'VERB'), ('lograr', 'VERB'), ('evitar', 'VERB'), ('contactar', 'NOUN'), ('partir', 'NOUN'), ('frontal', 'ADJ'), ('vehicular', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('3', 'ADJ'), ('acusar', 'ADJ'), ('sufrir', 'VERB'), ('golpe', 'NOUN'), ('brazo', 'PROPN'), ('derecho', 'ADJ'), ('vehicular', 'ADJ'), ('3', 'ADJ'), ('sr', 'PROPN'), ('gomez', 'PROPN'), ('juan', 'PROPN'), ('carlos', 'PROPN'), ('dnilic', 'PROPN'), ('conducir', 'VERB'), ('nro', 'PROPN'), ('emitir', 'ADJ'), ('gcba', 'PROPN'), ('otorgamiento', 'NOUN'), ('vencimiento', 'PROPN'), ('intervencion', 'PROPN'), ('policial', 'ADJ'), ('dato', 'NOUN'), ('3', 'ADJ'), ('robledo', 'PROPN'), ('gladys', 'PROPN'), ('lujan', 'AUX'), ('fiat', 'PROPN'), ('ideo', 'VERB'), ('hlx', 'PROPN'), ('fhg', 'PROPN'), ('federacion', 'PROPN'), ('patronal', 'ADJ')]
24;24;181;auto - auto;comprometida;aseg circulando independencia llegar interseccion araoz aseg embiste parte frontal lateral izquierdo tercero cruzaba araoz informa conductora informo molestias ;[('aseg', 'PROPN'), ('circular', 'VERB'), ('independencia', 'NOUN'), ('llegar', 'VERB'), ('interseccion', 'PROPN'), ('araoz', 'ADJ'), ('aseg', 'PROPN'), ('embestir', 'VERB'), ('partir', 'NOUN'), ('frontal', 'ADJ'), ('lateral', 'ADJ'), ('izquierdo', 'ADJ'), ('3', 'ADJ'), ('cruzar', 'AUX'), ('araoz', 'ADJ'), ('informar', 'VERB'), ('conductor', 'ADJ'), ('informar', 'PROPN'), ('molestia', 'NOUN')]
25;25;183;auto - auto;comprometida;circulaba ruta debido bache pierdo control vehiculo lateral izquierdo lateral trasero izquierdo tercero chevrolet corsa circulaba misma direccion contraria luego parte delantera parte delantera vehiculo vw amarok circulaba direccion contraria detras primer vehculo raiz vhlo chevrolet corsa manifestaba sentir dolor ;[('circular', 'AUX'), ('ruta', 'ADJ'), ('deber', 'ADJ'), ('bache', 'NOUN'), ('perder', 'ADJ'), ('control', 'NOUN'), ('vehicular', 'ADJ'), ('lateral', 'ADJ'), ('izquierdo', 'ADJ'), ('lateral', 'ADJ'), ('trasero', 'ADJ'), ('izquierdo', 'ADJ'), ('3', 'ADJ'), ('chevrolet', 'PROPN'), ('corso', 'PROPN'), ('circular', 'AUX'), ('mismo', 'DET'), ('direccion', 'PROPN'), ('contrario', 'ADJ'), ('luego', 'ADV'), ('partir', 'VERB'), ('delantero', 'ADJ'), ('partir', 'NOUN'), ('delantero', 'VERB'), ('vehicular', 'NOUN'), ('vw', 'SCONJ'), ('amarok', 'PROPN'), ('circular', 'AUX'), ('direccion', 'PROPN'), ('contrario', 'ADJ'), ('detras', 'NOUN'), ('\ufeff1', 'ADJ'), ('vehculo', 'NOUN'), ('raiz', 'PROPN'), ('vhlo', 'PROPN'), ('chevrolet', 'PROPN'), ('corso', 'PROPN'), ('manifestar', 'AUX'), ('sentir', 'VERB'), ('dolor', 'NOUN')]
26;26;190;auto - auto;discutida;circulando abril cruzando interseccion sarratea prioridad paso vw bora freno logro evitar colision frente parte delantera izq ambos conductores trasladados hosp lucio melendez adrogue lesionado;[('circular', 'VERB'), ('abril', 'NOUN'), ('cruzar', 'VERB'), ('interseccion', 'PROPN'), ('sarratea', 'PROPN'), ('prioridad', 'NOUN'), ('pasar', 'PROPN'), ('vw', 'ADV'), ('bora', 'NOUN'), ('frenar', 'ADJ'), ('lograr', 'PROPN'), ('evitar', 'VERB'), ('colision', 'PROPN'), ('frente', 'ADV'), ('partir', 'VERB'), ('delantero', 'ADJ'), ('izq', 'ADJ'), ('ambos', 'NUM'), ('conductor', 'NOUN'), ('trasladar', 'ADJ'), ('hosp', 'PROPN'), ('lucio', 'PROPN'), ('melendez', 'PROPN'), ('adrogar', 'PROPN'), ('lesionar', 'ADJ')]
27;27;194;auto - auto;comprometida;asegurado circulando terrero embiste parte delantera tercero circulaba mismo parte trasera desplazamientos vehiculo tercero asegurado sufren lesiones ;[('asegurar', 'ADJ'), ('circular', 'VERB'), ('terrero', 'NOUN'), ('embestir', 'VERB'), ('partir', 'NOUN'), ('delantero', 'ADJ'), ('3', 'ADJ'), ('circular', 'AUX'), ('mismo', 'DET'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('desplazamiento', 'NOUN'), ('vehicular', 'ADJ'), ('3', 'ADJ'), ('asegurar', 'ADJ'), ('sufrir', 'AUX'), ('lesionar', 'NOUN')]
28;28;198;auto - auto;comprometida;ciculando calchaqui llegar azurduy freno transito freno igualmente toco peugeot desplazandose impactando vw ventoampliamos v asegurado cuanto hecho corrobor mecanica impacta tercero parte trasera intent frenar lleg hacerlo manifiesta rodado tercero iban ocupantes bien recuerda exacto caractersticas solo recordaba cara;[('ciculando', 'PROPN'), ('calchaqui', 'PROPN'), ('llegar', 'VERB'), ('azurduy', 'VERB'), ('frenar', 'NOUN'), ('transitar', 'NOUN'), ('frenar', 'ADJ'), ('igualmente', 'ADV'), ('tocar', 'VERB'), ('peugeot', 'VERB'), ('desplazandose', 'VERB'), ('impactar', 'VERB'), ('vw', 'ADP'), ('ventoampliamos', 'NOUN'), ('v', 'CCONJ'), ('asegurar', 'ADJ'), ('cuanto', 'PRON'), ('hacer', 'ADJ'), ('corrobor', 'NOUN'), ('mecanica', 'ADJ'), ('impactar', 'VERB'), ('3', 'ADJ'), ('partir', 'NOUN'), ('trasero', 'ADJ'), ('intent', 'VERB'), ('frenar', 'VERB'), ('lleg', 'NOUN'), ('hacerlo', 'VERB'), ('manifiesto', 'VERB'), ('rodar', 'ADJ'), ('3', 'ADJ'), ('ir', 'VERB'), ('ocupante', 'ADJ'), ('bien', 'ADV'), ('recordar', 'VERB'), ('exacto', 'NOUN'), ('caractersticas', 'ADJ'), ('solo', 'ADV'), ('recordar', 'AUX'), ('caro', 'NOUN')]
