,Unnamed: 0,Idenx original,tipo_de_accidente,responsabilidad,descripcion_del_hecho - Final
31,31,42,auto - moto,discutida,"['redgreenlueasegurada', 'circulando', 'roca', 'gira', 'izquierda', 'tomar', 'oabrien', 'habilitada', 'semaforo', 'produce', 'colision', 'parte', 'delantera', 'moto', 'circulaba', 'roca', 'contrario', 'cruzando', 'semaforo', 'iba', 'sobrepasando', 'derecha', 'encontraban', 'detenidos', 'semaforo', 'asegurada', 'puede', 'confirmar', 'iban', 'personas', 'moton', 'caen', 'asfalto']"
32,32,43,auto - moto,comprometida,"['asegurado', 'circulaba', 'jose', 'marmol', 'girar', 'derecha', 'moto', 'quiere', 'pasar', 'izquierda', 'embiste', 'espejo', 'retrovisor', 'izquierdo', 'moto', 'iba', 'sola', 'persona', 'tenia', 'golpea', 'auto', 'estacionado', 'cae', 'suelo', 'levanta', 'llama', 'same', 'dolia', 'traslada', 'same', 'cel', 'cond', 'aseg', 'diaz', 'dario']"
33,33,44,auto - moto,comprometida,"['vehiculo', 'asegurado', 'circulaba', 'yrigoyen', 'colisionado', 'lateral', 'trasero', 'derecho', 'tercero', 'moto', 'persona', 'circulaba', 'misma', 'raiz', 'persona', 'cayo', 'asfalto', 'luego', 'intercambiar', 'datos', 'retiro', 'cuenta', 'desplazamientosd', 'asegurado']"
34,34,45,auto - moto,comprometida,"['detenida', 'semaforo', 'illia', 'desliza', 'freno', 'auto', 'desplaza', 'toco', 'frente', 'moto', 'delante', 'mio', 'moto', 'cae', 'suelo', 'llevaba', 'levanta', 'medio', 'lesiones', 'aparentes']"
35,35,46,auto - moto,comprometida,"['circulando', 'llavallol', 'cruce', 'cervantes', 'motocicleta', 'venia', 'ultima', 'mencionada', 'alta', 'velocidad', 'frena', 'colisiona', 'lateral', 'derecho', 'medio', 'auto', 'puertas', 'luego', 'desplazo', 'subo', 'vereda', 'ninguna', 'colision', 'adicional', 'mas', 'eros', 'involucrados', 'moto', 'iba', 'sola', 'persona', 'pega', 'auto', 'cae', 'suelo', 'asisto', 'sufrio', 'golpes', 'dolores', 'generales', 'visible', 'conciente', 'pocos', 'minutos', 'acude', 'trasladan', 'hospital', 'desconozco', 'vehiculo', 'queda', 'comisaria', 'cale', 'buffano', 'mas', 'involucrados', 'cel']"
36,36,47,auto - moto,comprometida,"['asegurado', 'circulando', 'tercero', 'acompanante', 'circulando', 'asegurado', 'girar', 'hacia', 'izquierda', 'luz', 'giro', 'puesta', 'entrar', 'estacionamiento', 'tercero', 'embiste', 'parte', 'asegurado', 'desconoce', 'parte', 'lateral', 'delantero', 'izquierdo', 'asegurado', 'tercero', 'acompanante', 'lesionados']"
37,37,49,auto - moto,comprometida,"['asegurado', 'circulando', 'mariano', 'castex', 'cambiar', 'carril', 'colisionado', 'lateral', 'derecho', 'moto', 'circulaba', 'detras', 'desplazamientos', 'personas', 'circulaban', 'moto', 'cayeron', 'piso']"
38,38,50,auto - moto,comprometida,"['vehiculo', 'asegurado', 'circulaba', 'gaspar', 'campos', 'ingresar', 'garage', 'hacia', 'izquierda', 'luz', 'giro', 'puesta', 'moto', 'intenta', 'sobrepasarlo', 'lado', 'colisiona', 'lateral', 'izquierdo', 'vehiculo', 'asegurado', 'motociclista', 'llevaba', 'cae', 'piso', 'tenia', 'golpe']"
39,39,51,auto - moto,comprometida,"['asegurado', 'maniobraba', 'cnel', 'juan', 'terrada', 'doblar', 'derecha', 'hacia', 'adolfo', 'pedro', 'carranza', 'colisiona', 'parte', 'lateral', 'derecha', 'moto', 'circulaba', 'cnel', 'juan', 'terrada', 'moto', 'tenia', 'ocupantes', 'ambos', 'tenian', 'cayeron', 'piso', 'presentaban', 'lesiones', 'visibles', 'retiraron', 'propios', 'medios', 'intervencion', 'medica', 'policial', 'aun']"
40,40,52,auto - moto,comprometida,"['encontraba', 'circulando', 'saenz', 'pena', 'hacia', 'plata', 'llegar', 'interseccion', 'tucuman', 'darme', 'cuenta', 'venia', 'moto', 'alta', 'velocidad', 'chocarla', 'clavo', 'freno', 'toco', 'apenas', 'lateral', 'frontal', 'hizo', 'caigan', 'piso', 'ambos', 'paso', 'datos', 'voy', 'ampliamos', 'asegurado', 'motocicleta', 'derecha', 'embiste', 'parte', 'delantera', 'derecha', 'rodado', 'motocicleta', 'vio', 'previamente', 'participo', 'd', 'llego', 'lesiones', 'visibles', 'cruzo', 'datos', 'retiraron', 'lugar']"
41,41,53,auto - moto,comprometida,"['manejaba', 'carriego', 'interseccion', 'claudio', 'alas', 'frena', 'moto', 'chica', 'personas', 'logro', 'frenar', 'tiempo', 'choco', 'atras']"
42,42,54,auto - moto,comprometida,"['aseg', 'circulando', 'aut', 'ricchieri', 'llegar', 'interseccion', 'ohiggins', 'coloca', 'luz', 'giro', 'maniobra', 'doblar', 'aparece', 'moto', 'circulaba', 'autopista', 'izquierda', 'embiste', 'lateral', 'delantero', 'izquierdo', 'moto', 'motociclista', 'cae', 'piso', 'lastimandose', 'costado', 'torax', 'brazo']"
43,43,55,auto - moto,comprometida,"['don', 'bosco', 'balizas', 'colocadas', 'teniamos', 'rueda', 'pinchada', 'moto', 'embiste', 'parte', 'delantera', 'izquierda', 'cambiamos', 'carril', 'habia', 'detenido', 'cae', 'piso', 'intervencion', 'policial', 'medica', 'levanta', 'solo', 'va', 'caminando', 'asegurado']"
44,44,56,auto - moto,comprometida,"['circulaba', 'llegar', 'giro', 'izquierda', 'momento', 'girar', 'di', 'cuenta', 'tenia', 'moto', 'lado', 'giro', 'toco', 'guardabarro']"
45,45,60,auto - moto,comprometida,"['aseg', 'circulaba', 'formosa', 'maniobrar', 'congreso', 'parte', 'lateral', 'ro', 'moto', 'circulaba', 'formosa', 'desplazamientos', 'lesionados', 'intervencion', 'medica', 'retiran']"
46,46,61,auto - moto,comprometida,"['asegurado', 'circulando', 'alem', 'doblar', 'espana', 'derecha', 'colisionado', 'guardabarro', 'delantero', 'derecho', 'llanta', 'moto', 'circulaba', 'derecha', 'gran', 'velocidad', 'moto', 'cae', 'piso', 'retiro', 'propios', 'medios']"
47,47,63,auto - moto,comprometida,"['vehiculo', 'asegurado', 'circulando', 'gral', 'paz', 'cambiar', 'carril', 'colisiona', 'lateral', 'derecho', 'motocicleta', 'circulaba', 'carril', 'derecha', 'moto', 'ocupante', 'cae', 'piso']"
48,48,64,auto - moto,comprometida,"['maniobraba', 'balizas', 'puesta', 'estacionar', 'auto', 'paralelo', 'cordon', 'derecha', 'manera', 'imprevista', 'moto', 'intenta', 'meterse', 'espacio', 'habia', 'auto', 'cordon', 'colisiona', 'ptd', 'pdd', 'motociclista', 'cae', 'suelo', 'tampoco', 'sufre', 'lesiones', 'desvanecimiento', 'terceros', 'involucradosno', 'terceros', 'involucrados', 'lesionados', 'datos', 'tercero', 'alegre', 'martin', 'benelli', 'tn', 'aswy', 'atm']"
49,49,65,auto - moto,comprometida,"['aseg', 'saliendo', 'marcha', 'atras', 'garage', 'golpea', 'moto', 'circulaba', 'irala', 'sola', 'persona', 'cae', 'asfalto', 'brazo', 'raspado', 'incorporo', 'medios', 'retiro', 'moto', 'presento', 'lugar']"
50,50,66,auto - moto,comprometida,"['detenido', 'detras', 'colectivo', 'lafuente', 'avanzaba', 'puse', 'guino', 'sobrepasarlo', 'asome', 'lateral', 'avance', 'metros', 'moto', 'venia', 'detras', 'interpreta', 'maniobra', 'impacta', 'lateral', 'delantero', 'derecho', 'unidad', 'unico', 'ocupante', 'moto', 'llevaba', 'cayo', 'piso', 'sufrio', 'lesiones', 'leves', 'dedo', 'menique', 'izq', 'asistido', 'lugar', 'trasladado', 'hospital', 'retirandose', 'propios', 'medios', 'andando', 'moto', 'vhs', 'involucrados', 'lesionados', 'formaliza', 'flores', 'datos', 'tercero', 'mora', 'horacio', 'cristian', 'bajaj', 'rowser', 'cc', 'akcc', 'atm', 'asegurado']"
51,51,67,auto - moto,discutida,"['asegurado', 'circulaba', 'necochea', 'cruce', 'rivadavia', 'tercero', 'circulaba', 'ultima', 'impacta', 'lateral', 'izquierdo', 'desplazamientos', 'moto', 'solo', 'ocupante', 'cae', 'piso', 'presentaba', 'golpe']"
52,52,68,auto - moto,comprometida,"['asegurado', 'circulaba', 'indart', 'girar', 'izquierda', 'ingresar', 'garage', 'embestido', 'lateral', 'delantero', 'derecho', 'lateral', 'izquierdo', 'tercero', 'moto', 'venia', 'contraria', 'misma', 'ocupante', 'moto', 'cay', 'asfalto', 'desplazamientos']"
53,53,69,auto - moto,concurrente,"['aseg', 'circulaba', 'vcoll', 'inter', 'matheu', 'colisionado', 'lateral', 'delantero', 'derecho', 'moto', 'circulaba', 'matheu', 'moto', 'iba', 'solo', 'ocupante', 'llevaba', 'cae', 'piso', 'presentaba', 'lesiones', 'inter', 'policial', 'ambulancias', 'retiro', 'lugar', 'propios', 'medios', 'brindar', 'datos']"
54,54,70,auto - moto,comprometida,"['venia', 'circulando', 'coletta', 'llego', 'bocacalle', 'moto', 'circulaba', 'moreno', 'impacta', 'vehiculo', 'trompa', 'vehiculod']"
55,55,72,auto - moto,comprometida,"['circulando', 'msma', 'giro', 'hacia', 'derecha', 'girar', 'siento', 'golpe', 'lateral', 'trasero', 'derecho', 'bajo', 'verifico', 'haba', 'colisionado', 'moto', 'cazco', 'persona', 'manifest', 'bien', 'presentaba', 'lesiones', 'quizo']"
56,56,73,auto - moto,comprometida,"['circulaba', 'ruta', 'llego', 'esquina', 'doblo', 'derecha', 'ahi', 'visualizo', 'motounico', 'ocupante', 'vena', 'derecha', 'realizo', 'mala', 'maniobra', 'doblo', 'abruptamente', 'terminamos', 'impactando', 'parte', 'delantera', 'parte', 'trasera', 'derechano']"
57,57,74,auto - moto,comprometida,"['circulando', 'rivadavia', 'carril', 'rapido', 'cuanao', 'repente', 'unacamin', 'sale', 'estacionado', 'volanteo', 'toco', 'cubiertad', 'elantera', 'derecha', 'moto', 'pasando', 'toco', 'tobillo', 'cae', 'paramos', 'metros', 'mas', 'adelante', 'intercambiamos', 'datos', 'retira', 'intervencion', 'asegurado']"
58,58,75,auto - moto,comprometida,"['asegurado', 'circulando', 'uruguay', 'interseccion', 'aparcero', 'colisiona', 'frente', 'derecho', 'moto', 'circulando', 'ultima', 'caen', 'piso']"
59,59,76,auto - moto,comprometida,"['aseg', 'circulando', 'davilaal', 'llegar', 'intersecciongira', 'hacia', 'derechacolisiona', 'paragolpe', 'delantero', 'izquierdo', 'parte', 'delantera', 'terceroque', 'circulaba', 'jose', 'marti', 'ocupantescon', 'cascose', 'caen', 'pisono']"
60,60,77,auto - moto,comprometida,"['vhl', 'asegurado', 'encontraba', 'circulando', 'girando', 'hacia', 'derecha', 'salia', 'garage', 'embestido', 'tercero', 'moto', 'circulaba', 'misma', 'embiste', 'lateral', 'parte', 'delantera', 'moto', 'llevaba', 'cae', 'pavimento', 'vereda', 'contraria', 'levanta', 'propios', 'medios', 'golpes', 'rodillapierna']"
61,61,78,auto - moto,comprometida,"['circulaba', 'hip', 'yrigoyen', 'falucho', 'entrar', 'estacion', 'servicio', 'moto', 'quiera', 'pasar', 'embiste', 'parte', 'trasera', 'izquierda', 'sola', 'persona', 'moto', 'cae', 'piso', 'levanta', 'solo', 'retirado']"
62,62,79,auto - moto,comprometida,"['asegurado', 'circulaba', 'laprida', 'llegar', 'inteseccion', 'alvear', 'colisiona', 'parte', 'delantera', 'moto', 'ocupantes', 'antecedia', 'detuvo', 'semaforo', 'moto', 'cae', 'piso', 'ocupantes', 'presentaban', 'lesiones', 'visibles', 'retiraron', 'propios', 'medios', 'tras', 'intercambiar', 'datos']"
63,63,80,auto - moto,comprometida,"['circulando', 'lamadrid', 'doblar', 'hacia', 'izquierda', 'tomar', 'encuentro', 'moto', 'circulaba', 'lamadrid', 'contrario', 'colisiona', 'parte', 'delantera', 'izquierda', 'farol', 'tercero', 'cae', 'piso', 'manifesto', 'lesiones', 'graviedad', 'solo', 'hospital', 'wilde', 'posibles', 'lesiones', 'dedo']"
64,64,81,auto - moto,comprometida,"['asegurado', 'iba', 'circulando', 'serrano', 'doblando', 'hacia', 'asamblea', 'izquierda', 'colisionado', 'moto', 'venia', 'serrano', 'contraria', 'lateral', 'trasero', 'derecho', 'moto', 'motociclistas', 'cayeron', 'piso', 'llevaban']"
65,65,82,auto - moto,comprometida,"['aseg', 'circulaba', 'olavarria', 'doblar', 'tomar', 'patricios', 'embiste', 'lateral', 'izquierdo', 'moto', 'realizaba', 'misma', 'accin', 'motociclista', 'utilizaba', 'caeysobre', 'pavimento', 'presentaba', 'lesiones', 'visibles', 'contaba', 'dolor', 'piernas', 'retir', 'lugar', 'propios', 'medios', 'intervinieron', 'policias', 'ambulancias']"
66,66,84,auto - moto,comprometida,"['circulando', 'colectora', 'panamericana', 'moto', 'circulaba', 'vehiculo', 'intentar', 'pasarme', 'carril', 'izquierda', 'veo', 'moto', 'continuo', 'maniobra', 'lna', 'moto', 'termina', 'impactando', 'lateral', 'izquierdo', 'paragolpes', 'trasero', 'espejo', 'retrovisor', 'intervencion', 'moto', 'circulaba', 'sola', 'persona', 'cae', 'piso', 'utilizaba']"
67,67,86,auto - moto,comprometida,"['circulaba', 'rawson', 'llegar', 'esquina', 'jose', 'ingenieros', 'llego', 'frenar', 'choco', 'atras', 'moto', 'venia', 'delante']"
68,68,87,auto - moto,comprometida,"['aseg', 'saliendo', 'garage', 'domicilio', 'chacabuco', 'detiene', 'colisionado', 'terceromoto', 'circulaba', 'parte', 'trasera', 'manubrio', 'misma', 'tenia', 'solo', 'ocupante', 'puesto', 'cayo', 'piso', 'manifesto', 'dolencia', 'alguna', 'retiro', 'lugar', 'propios', 'medios', 'moto', 'desplazamientossin', 'intervencion', 'movil', 'policial']"
69,69,89,auto - moto,comprometida,"['aseg', 'circulando', 'maria', 'guerrero', 'girar', 'hacia', 'eva', 'peron', 'colisionado', 'parte', 'delantera', 'lateral', 'izquierda', 'frente', 'tercero', 'moto', 'circulaba', 'ultima', 'mencionada', 'solo', 'ocupante', 'bordo', 'colocado', 'cayo', 'aseg', 'presento', 'lesiones', 'levanto', 'retiro', 'propios', 'medios', 'intervencion', 'policial', 'desplazamientos']"
70,70,92,auto - moto,comprometida,"['aseg', 'encontraba', 'circulando', 'pitagoras', 'poner', 'luz', 'giro', 'girar', 'hacia', 'sarmiento', 'gira', 'ruido', 'grito', 'habia', 'moto', 'tirada', 'suelo', 'junto', 'usaba', 'tenia', 'pequeno', 'raspon', 'izquierda', 'intervencion', 'retiro', 'propios', 'medios', 'asegurado', 'presenta', 'ningun', 'dano']"
71,71,94,auto - moto,comprometida,"['redgreenlue', 'encontraba', 'estacionado', 'dispongo', 'bajar', 'encontraba', 'correctamente', 'estacionado', 'verifico', 'viniera', 'algun', 'vehiculo', 'abro', 'puerta', 'ahi', 'impactado', 'moto', 'puerta', 'delantera', 'izquierda', 'apenas', 'abierta', 'mismo', 'cae', 'levanta', 'propios', 'medios', 'indica', 'poseer', 'lesionesno', 'mas', 'terceros', 'mas', 'lesionados', 'datos', 'tercero', 'perez', 'gabriel', 'tomas', 'gilera', 'smash', 'r', 'arci', 'triunfo']"
72,72,95,auto - moto,comprometida,"['vhc', 'asegurado', 'circulando', 'valparaiso', 'doblar', 'cabo', 'sosa', 'encierra', 'accidentalmente', 'tercero', 'moto', 'circulaba', 'valparaiso', 'produce', 'colision', 'lateral', 'delantero', 'izquierdo', 'manubrio', 'moto', 'ocupantes', 'solo', 'acompanante', 'caen', 'piso', 'incorporan', 'solos', 'lesiones', 'baja', 'consideracin', 'interv', 'retiran', 'propios', 'desplazamientos']"
