cod_accidente,descripcion_del_hecho - Final,responsabilidad,fuzzy,no_hpx
am    ,lunes aproximadamente hs circulando bartolome mitre ramos meja queriendo doblar esquina almirante brown costado izquierda m auto moto circulaba bartolome mitre ocupada personas cuales caen piso intercambiamos datos personales seguro parte ma ocupantes,comprometida,lunes aproximadamente hs circulando bartolome mitre ambos meja queriendo doblar esquina almirante brown costado izquierda tomar auto moto circulaba bartolome mitre ocupada personas cuales caen piso intercambiamos datos persona asegurado parte tomar ocupantes,lunes aproximadamente hs circulando bartolome mitre ambos doblar esquina almirante brown costado izquierda tomar auto moto circulaba bartolome mitre personas cuales caen piso intercambiamos datos persona asegurado parte tomar ocupantes
aa    ,denuncia tercerome encontraba detenido libertador esperando cambio semaforo embestido tercero parte trasera ocasionando danos detallados,comprometida,denuncia tercerome encontraba detenido libertador esperando cambio semaforo embestido tercero parte trasera ocasionando datos lado,denuncia encontraba detenido libertador esperando cambio semaforo embestido tercero parte trasera ocasionando datos lado
am    ,aseg circulando gaona embiste parte delantera tercero detiene forma abrupta semaforo ocuptantes caen pavimento interv retiran medios lesiones evidentes,comprometida,aseg circulando gaona embiste parte delante tercero detiene forma abrupta semaforo ocupantes caen pavimento interv retira medios lesiones evidentes,aseg circulando gaona embiste parte delante tercero detiene forma abrupta semaforo ocupantes caen pavimento interv retira medios lesiones evidentes
am    ,circulaba c villegas llego interseccion larrazabal doblo colisiono moto venia detras cuyo advierte maniobra colisiona lateral delantero derecha unidad moto acompanante llevaban cayeron piso sufrieron lesionalguna llamamos retiraron propi medios andando moto acompanante moto fabcundo lopez dni datos tercero sergio barrionuevo yamaha ybr jpc posee,comprometida,circulaba produce villegas llego interseccion larrazabal dolor colisiono moto venia detras cuyo advierte maniobra colisionando lateral delante derecha unidad moto acompanante llevaba cayeron piso sufrieron lesionalguna llamamos retira propios medios andando moto acompanante moto fabcundo lopez dni datos tercero sergio barrionuevo yamaha ybr jpc posee,circulaba produce villegas llego interseccion larrazabal dolor colisiono moto venia detras advierte maniobra colisionando lateral delante derecha unidad moto acompanante llevaba cayeron piso sufrieron llamamos retira propios medios andando moto acompanante moto lopez dni datos tercero yamaha ybr posee
aci   ,aseg circulando monroe llegar interseccion videla da paso avanzar colisiona parte delantera rueda trasera tercero circulaba bici ocupante colocado caeno manifesto lesiones retiro propios medios intervencion desplazamientos asegurado ,concurrente,aseg circulando monroe llegar interseccion videla trasladado paso avanzar colisionando parte delante rueda trasera tercero circulaba bici ocupantes colocado caen manifesto lesiones retiro propios medios intervencion desplazamientos aseg,aseg circulando monroe llegar interseccion trasladado paso avanzar colisionando parte delante rueda trasera tercero circulaba bici ocupantes colocado caen manifesto lesiones retiro propios medios intervencion desplazamientos aseg
am    ,vehiculo asegurado giraba tomar lascanosiendo embestido motoa puerta trasera motociclista caeno recuerda llevaba cascono ,comprometida,vehiculo aseg giraba tomar lascanosiendo embestido motoa puerta trasera motociclista caen recuerda llevaba cascono,vehiculo aseg giraba tomar embestido puerta trasera motociclista caen recuerda llevaba cascono
peatã“n,asegurado ingresando estacionamiento hospital municipal moron verifica puede ingresar realizar marcha atras pisa empleado vigilancia lugar rueda delantera peaton cayo asfalto atendido hospital intervencion policial constataron presenta lesiones,comprometida,aseg san estacionamiento hospital municipal moron verifica puede ingresar realizar marcha atras pisa empleado vigilancia lugar rueda delante peaton cayo asfalto atendido hospital intervencion policial constataron presentaba lesiones,aseg san estacionamiento hospital municipal moron verifica puede ingresar realizar marcha atras pisa empleado lugar rueda delante peaton cayo asfalto atendido hospital intervencion policial presentaba lesiones
am    ,asegurado circulando san martin onda cruzaba galicia cambia semaforo tercero moto circulaba ultima embiste lateral izquierda ocupante cae piso ,comprometida,aseg circulando san martin onda cruzaba galicia cambia semaforo tercero moto circulaba ultima embiste lateral izquierda ocupantes caen piso,aseg circulando san martin onda cruzaba galicia cambia semaforo tercero moto circulaba ultima embiste lateral izquierda ocupantes caen piso
am    ,aseg circulando rucci colisionado lateral trasero derecha rueda delantera tercero moto cruzo ocupantes cascos colocado caen moto moto lesiones acompanante lesion menor lesiones brazo izquierda,discutida,aseg circulando rucci colisionando lateral trasero derecha rueda delante tercero moto cruzo ocupantes cascos colocado caen moto moto lesiones acompanante lesiones menor lesiones brazo izquierda,aseg circulando rucci colisionando lateral trasero derecha rueda delante tercero moto cruzo ocupantes cascos colocado caen moto moto lesiones acompanante lesiones menor lesiones brazo izquierda
am    ,encontraba circulando avda chiclana moto impacta lateral trasero izquierda cayendo unico tripulante suelo trasladado same hospital penna lesionados ros involucrados stro mas alla declarado ,comprometida,encontraba circulando avda chiclana moto impactada lateral trasero izquierda cayendo unico tripulante suelo trasladado same hospital penna lesionados ros involucrados stro mas alla declarado,encontraba circulando avda chiclana moto impactada lateral trasero izquierda cayendo unico tripulante suelo trasladado same hospital lesionados ros involucrados stro mas alla declarado
aci   ,asegurado iba circulando potosi llegar domicilio maniobra atras colisiona bicicleta menor anos ciclista cayo piso asegurado llevo centro atencion upa lanus seguridad recomendaron llevar evita sacar placa ,comprometida,aseg iba circulando potosi llegar domicilio maniobra atras colisionando bicicleta menor anos ciclista cayo piso aseg llevo centro atencion ocupantes lanus seguridad recomendaron llegar evita sacar placa,aseg iba circulando potosi llegar domicilio maniobra atras colisionando bicicleta menor anos ciclista cayo piso aseg llevo centro atencion ocupantes lanus llegar evita
am    ,detenido semanforo avda castanares reinicio marcha mientras avanzo tercero moto circulaba misma contrario dobla u pasandose hacia contraria yop circulaba salio imprevisto detras colectivo llegue impacta lateral izquierda iban ocupantes caen piso ,discutida,detenido semanforo avda castanares reinicio marcha mientras avanzo tercero moto circulaba mismo contrario dobla luz san habia contraria yop circulaba salio imprevisto detras colectivo llegue impactada lateral izquierda iba ocupantes caen piso,detenido avda marcha mientras avanzo tercero moto circulaba mismo contrario dobla luz san habia contraria circulaba salio imprevisto detras colectivo llegue impactada lateral izquierda iba ocupantes caen piso
am    ,vehiculo asegurado circulando colon momento detiene giro fines poder doblar moto circulaba detras colisiona parte trasera moto circulaba sola cae piso utilizaba ,discutida,vehiculo aseg circulando colon momento detiene giro fines poder doblar moto circulaba detras colisionando parte trasera moto circulaba sola caen piso utilizaba,vehiculo aseg circulando colon momento detiene giro poder doblar moto circulaba detras colisionando parte trasera moto circulaba sola caen piso utilizaba
peatã“n,redgreenlue asegurado circulando boulevard buenos aires asegurado dobla hacia semaforo tomar rodriguez asegurado doblar tercero menor edad rodriguez asegurado embiste parte delantera lesion visible ,concurrente,redgreenlue aseg circulando boulevard buenos aires aseg dobla habia semaforo tomar rodriguez aseg doblar tercero menor edad rodriguez aseg embiste parte delante lesiones visible,redgreenlue aseg circulando boulevard buenos aires aseg dobla habia semaforo tomar rodriguez aseg doblar tercero menor edad rodriguez aseg embiste parte delante lesiones visible
am    ,asegurado circulando rep guatemala altura interseccion virrey cisneros san justo bs as tercero circulaba ultima moto ocupante asegurado embisti frente derecha lateral izquierda tercero cae pavimiento pierde conocimiento reincorpora propios medios desplazamientos ,comprometida,aseg circulando rep guatemala altura interseccion virrey cisneros san justo bs asfalto tercero circulaba ultima moto ocupantes aseg embistio frente derecha lateral izquierda tercero caen pavimento pierde conocimiento reincorpora propios medios desplazamientos,aseg circulando rep altura interseccion virrey cisneros san justo bs asfalto tercero circulaba ultima moto ocupantes aseg embistio frente derecha lateral izquierda tercero caen pavimento pierde conocimiento reincorpora propios medios desplazamientos
am    ,circulando peron moto circulaba cierra repentinamente colisiona lateral derecha persoana moto cae piso llevaba levanta ,comprometida,circulando persona moto circulaba cierra repentinamente colisionando lateral derecha persona moto caen piso llevaba levanta,circulando persona moto circulaba cierra repentinamente colisionando lateral derecha persona moto caen piso llevaba levanta
am    ,asegurado detenido pedro suarez ingresar lubricentro guino colisionado parte trasera delantera tercero moto ocupante sabe cayo cieculaba detras tercero raspon luego medios moto,comprometida,aseg detenido pedro suarez ingresar lubricentro guino colisionando parte trasera delante tercero moto ocupantes sabe cayo circulaba detras tercero raspon luego medios moto,aseg detenido pedro suarez ingresar guino colisionando parte trasera delante tercero moto ocupantes sabe cayo circulaba detras tercero raspon luego medios moto
am    ,circulando directorio aparentemente moto muerde vias lateral derecha moto cae intervencion same policial trasladado hospital pineyro terceros involucrados datos tercero castelar leonardo andres honda eev libra asegurado ,discutida,circulando directorio aparentemente moto muerde vias lateral derecha moto caen intervencion same policial trasladado hospital pineyro terceros involucrados datos tercero castelar leonardo andres honda eev libra aseg,circulando directorio aparentemente moto vias lateral derecha moto caen intervencion same policial trasladado hospital terceros involucrados datos tercero andres honda libra aseg
am    ,redgreenlueuc vehiculo asegurado mansilla doblar martinto colisiona lateral derecha motocicleta circulaba misma moto ocupante cae piso ,comprometida,redgreenlueuc vehiculo aseg mansilla doblar martinto colisionando lateral derecha motocicleta circulaba mismo moto ocupantes caen piso,redgreenlueuc vehiculo aseg mansilla doblar martinto colisionando lateral derecha motocicleta circulaba mismo moto ocupantes caen piso
am    ,saliendo domicilio partcular marcha atras miro hacia ambos lados divisar ningdan vehiculo comienzo bajar vereda moto embiste parte trasera frente ocupante cae pavimento levanta propios medios intervine same art traslada inetrviene desplazamientos,comprometida,saliendo domicilio partcular marcha atras miro habia ambos lado divisar ningdan vehiculo comienzo bajar vereda moto embiste parte trasera frente ocupantes caen pavimento levanta propios medios intervine same parte trasladado inetrviene desplazamientos,saliendo domicilio marcha atras miro habia ambos lado vehiculo comienzo bajar vereda moto embiste parte trasera frente ocupantes caen pavimento levanta propios medios intervine same parte trasladado desplazamientos
am    ,asegurado circulando cno gral belgrano esquivar pozo habia misma colisiona tercero moto circulaba misma impactando lateral derecha lateral izquierda asegurado iba solo ocupante moto llevaba cae levanta retira propios medios intervencion policial ambulancias desplazamientosd asegurado formaliz oficina quilmes ratific mecanica leve intervencion tercero,comprometida,aseg circulando cno gral belgrano esquivar pozo habia mismo colisionando tercero moto circulaba mismo impacta lateral derecha lateral izquierda aseg iba solo ocupantes moto llevaba caen levanta retira propios medios intervencion policial ambulancias desplazamientos aseg formaliz oficina quilmes ratific mecanica leve intervencion tercero,aseg circulando cno gral belgrano esquivar pozo habia mismo colisionando tercero moto circulaba mismo impacta lateral derecha lateral izquierda aseg iba solo ocupantes moto llevaba caen levanta retira propios medios intervencion policial ambulancias desplazamientos aseg oficina quilmes ratific mecanica leve intervencion tercero
peatã“n,aseg ciruculando roza girar hacia retomar oliden colisiona parte delantera tercero peaton encontraba cruzando ultima mencionada tercero cae suelo intervencion tercero izquierda lugar aguardando desplazamientos,comprometida,aseg ciruculando roza girar habia tomar oliden colisionando parte delante tercero peaton encontraba cruzando ultima mencionada tercero caen suelo intervencion tercero izquierda lugar aguardando desplazamientos,aseg roza girar habia tomar oliden colisionando parte delante tercero peaton encontraba cruzando ultima mencionada tercero caen suelo intervencion tercero izquierda lugar aguardando desplazamientos
aa    ,congestionada frenar vehculo venia delante mio puede frenar tiempo embest,comprometida,congestionada frena vehiculo venia delante mio puede frena tiempo embestido,congestionada frena vehiculo venia delante mio puede frena tiempo embestido
am    ,circulaba cabildo llegar echeverria moto intenta sobrepasarme embiste parte lateral cae reincorporandose inmediato propios medios ,comprometida,circulaba cabildo llegar echeverria moto intenta sobrepasarme embiste parte lateral caen reincorporandose inmediato propios medios,circulaba cabildo llegar moto intenta sobrepasarme embiste parte lateral caen propios medios
am    ,aseg encontraba circulando aguero poner luz giro girar hacia bramante iniciar maniobra aseg roza parte delantera tanque nafta moto solo ocupante cae suelo producto intervencion dolencias dedo raspon cadera intervencion muncipal bonaerense ,comprometida,aseg encontraba circulando aguero poner luz giro girar habia bramante iniciar maniobra aseg roza parte delante tanque nafta moto solo ocupantes caen suelo produce intervencion dolencias dedo raspon cadera intervencion muncipal bonaerense,aseg encontraba circulando aguero poner luz giro girar habia iniciar maniobra aseg roza parte delante nafta moto solo ocupantes caen suelo produce intervencion dolencias dedo raspon cadera intervencion
aci   ,,comprometida,,
am    ,aseg maniobraba salir gge parte delantera ro moto circulaba alli moto intervencin levanta retira medios desplazamientos lesionados confirmamos asegurado cuanto meccnica tema leve sali garage hacia adelante punto poste vio tercero retiro propios medios participacin tomo tercero volvi llamar luego hecho,comprometida,aseg maniobra salir gge parte delante maniobro moto circulaba alli moto intervencin levanta retira medios desplazamientos lesionados confirmamos aseg cuanto mecanica tema leve sali garage habia delante punto poste vio tercero retiro propios medios participacin tomo tercero volvi llamar luego hecho,aseg maniobra salir gge parte delante maniobro moto circulaba alli moto intervencin levanta retira medios desplazamientos lesionados aseg cuanto mecanica tema leve sali garage habia delante punto poste vio tercero retiro propios medios participacin tomo tercero volvi llamar luego hecho
am    ,venia circulando dispongo doblar armenia moto venia impacta lateral trasero derecha sel moto cae ,comprometida,venia circulando dispongo doblar armenia moto venia impactada lateral trasero derecha sel moto caen,venia circulando dispongo doblar moto venia impactada lateral trasero derecha moto caen
am    ,asegurado ingresaba domicilio moto transitaba mas atras impact eel lateral trasero derecha vehuclo asegurado motociclista cay suelo tena puesto levant intercambiaron datos retir,comprometida,aseg ingresar domicilio moto transitaba mas atras impactada eel lateral trasero derecha vehiculo aseg motociclista cayo suelo tenia puesto levanta intercambiaron datos retiro,aseg ingresar domicilio moto transitaba mas atras impactada lateral trasero derecha vehiculo aseg motociclista cayo suelo tenia puesto levanta intercambiaron datos retiro
am    ,circulaba emilio mitre cruzar peron motociclista pasa impacta momento presento solicito presencia same evaluo necesario traslado motociclista hospital,concurrente,circulaba emilio mitre cruzar persona motociclista pasa impactada momento presento solicito presencia same evaluo necesario lado motociclista hospital,circulaba emilio mitre cruzar persona motociclista pasa impactada momento presento presencia same necesario lado motociclista hospital
am    ,circulaba marzo casi terminando cruzar ate brown embestida lat izquierda parte moto solo ocupante cae pavimento incorpora medios obseva lesiones motociclista int,discutida,circulaba marzo casi terminando cruzar lateral brown embestido lateral izquierda parte moto solo ocupantes caen pavimento incorpora medios obseva lesiones motociclista int,circulaba casi terminando cruzar lateral brown embestido lateral izquierda parte moto solo ocupantes caen pavimento incorpora medios lesiones motociclista int
am    ,encontraba aguardo cruzar arranco marcha cruzando veo viene moto freno pongo marcha atras igualmente colisiona parte izquierda motociclista cae moto baja caminando llevaba intervencion policial tercero asistido lugar trasladado tercero va lugar caminando moto luego busque ir comisaria cuarta hurlingham datos tercero fernando emmanuel val zanella rx hgc prof seguroampliacin aseguradoel encontraba circulando williams llega interseccion pedro diaz ro moto circulaba colisiona guardabarro delantero izquierda ro llevaba callo moto solo ocupante moto intervinieron siniestro realizo test alcoholemia asegurado comisaria ,comprometida,encontraba aguardo cruzar arranco marcha cruzando veo viene moto frena pongo marcha atras igualmente colisionando parte izquierda motociclista caen moto baja caminando llevaba intervencion policial tercero asistido lugar trasladado tercero llevaba lugar caminando moto luego busque retiro comisaria cuarta hurlingham datos tercero fernando emmanuel val zanella rx hgc prof seguroampliacin aseg encontraba circulando williams llegar interseccion pedro diaz maniobro moto circulaba colisionando guardabarro delante izquierda maniobro llevaba callo moto solo ocupantes moto intervinieron siniestro realizo test alcoholemia aseg comisaria,encontraba cruzar arranco marcha cruzando veo viene moto frena pongo marcha atras igualmente colisionando parte izquierda motociclista caen moto baja caminando llevaba intervencion policial tercero asistido lugar trasladado tercero llevaba lugar caminando moto luego retiro comisaria hurlingham datos tercero fernando zanella rx aseg encontraba circulando llegar interseccion pedro diaz maniobro moto circulaba colisionando guardabarro delante izquierda maniobro llevaba callo moto solo ocupantes moto intervinieron siniestro realizo alcoholemia aseg comisaria
am    ,redgreenlueasegurada circulando roca gira tomar oabrien habilitada semaforo produce colision parte delantera moto circulaba roca contrario cruzando semaforo iba sobrepasando encontraban detenidos semaforo asegurada puede confirmar iban personas moton caen asfalto ,discutida,aseg circulando roca gira tomar oabrien habilitada semaforo produce colisionando parte delante moto circulaba roca contrario cruzando semaforo iba san encontraban detenidos semaforo aseg puede confirmar iba personas moton caen asfalto,aseg circulando roca gira tomar habilitada semaforo produce colisionando parte delante moto circulaba roca contrario cruzando semaforo iba san encontraban detenidos semaforo aseg puede confirmar iba personas caen asfalto
am    ,asegurado circulaba jose marmol girar moto quiere pasar embiste espejo retrovisor izquierda moto iba sola persona tenia golpea auto estacionado cae suelo levanta llama same dolia traslada same cel cond aseg diaz dario ,comprometida,aseg circulaba jose marmol girar moto quiere pasar embiste espejo retrovisor izquierda moto iba sola personas tenia golpea auto estacionado caen suelo levanta llama same dolia trasladado same cel cond aseg diaz dario,aseg circulaba jose girar moto quiere pasar embiste espejo retrovisor izquierda moto iba sola personas tenia golpea auto estacionado caen suelo levanta llama same dolia trasladado same cel cond aseg diaz dario
am    ,vehiculo asegurado circulaba yrigoyen colisionado lateral trasero derecha tercero moto persona circulaba misma raiz persona cayo asfalto luego intercambiar datos retiro cuenta desplazamientosd asegurado ,comprometida,vehiculo aseg circulaba yrigoyen colisionando lateral trasero derecha tercero moto personas circulaba mismo raiz personas cayo asfalto luego intercambiar datos retiro cuenta desplazamientos aseg,vehiculo aseg circulaba yrigoyen colisionando lateral trasero derecha tercero moto personas circulaba mismo raiz personas cayo asfalto luego intercambiar datos retiro cuenta desplazamientos aseg
am    ,detenida semaforo illia desliza freno auto desplaza toco frente moto delante mio moto cae suelo llevaba levanta medio lesiones aparentes ,comprometida,detenida semaforo illia desliza frena auto desplazamientos toco frente moto delante mio moto caen suelo llevaba levanta medios lesiones aparentes,detenida semaforo illia desliza frena auto desplazamientos toco frente moto delante mio moto caen suelo llevaba levanta medios lesiones aparentes
am    ,circulando llavallol cruce cervantes motocicleta venia ultima mencionada alta velocidad frena colisiona lateral derecha medio auto puertas luego desplazo subo vereda ninguna colision adicional mas eros involucrados moto iba sola persona pega auto cae suelo asisto sufrio golpes dolores generales visible conciente pocos minutos acude trasladan hospital desconozco vehiculo izquierda comisaria cale buffano mas involucrados cel ,comprometida,circulando llavallol cruce cervantes motocicleta venia ultima mencionada alta velocidad frena colisionando lateral derecha medios auto puerta luego desplazo subo vereda ninguna colisionando adicional mas eros involucrados moto iba sola personas pega auto caen suelo asisto sufrio golpes dolor generales visible conciente pocos minutos acude trasladado hospital desconozco vehiculo izquierda comisaria cae buffano mas involucrados cel,circulando llavallol cruce cervantes motocicleta venia ultima mencionada alta velocidad frena colisionando lateral derecha medios auto puerta luego desplazo vereda ninguna colisionando mas eros involucrados moto iba sola personas pega auto caen suelo asisto sufrio golpes dolor visible conciente pocos minutos acude trasladado hospital desconozco vehiculo izquierda comisaria cae mas involucrados cel
am    ,asegurado circulando tercero acompanante circulando asegurado girar hacia luz giro puesta entrar estacionamiento tercero embiste parte asegurado desconoce parte lateral delantero izquierda asegurado tercero acompanante lesionados ,comprometida,aseg circulando tercero acompanante circulando aseg girar habia luz giro puesto entrar estacionamiento tercero embiste parte aseg desconoce parte lateral delante izquierda aseg tercero acompanante lesionados,aseg circulando tercero acompanante circulando aseg girar habia luz giro puesto entrar estacionamiento tercero embiste parte aseg desconoce parte lateral delante izquierda aseg tercero acompanante lesionados
aa    ,aseg circulando panamericana izquierda medio stro cadena subre corte varias costillas fracturadas femininos posibles lesionadas ampliacin aseguradome informa recuerda siniestro perdio conocimiento sufrio golpes fracturas costillas retiraron ultimo recuerda circulando panamericana choque delante vehiculos antecedian frenaron abruptamente tambien cree auto venia detras choca llovia auto desplaza hacia adelante colisionando vehiculo antecedia encontraban femeninas nn denunciadas mas datos siniestro vehiculo antecesor colisiona atras femeninas denunciadas,comprometida,aseg circulando panamericana izquierda medios stro caen subre corte varias costillas fracturadas femininos posibles lesionadas ampliacin aseg informa recuerda siniestro perdio conocimiento sufrio golpes fracturas costillas retira ultima recuerda circulando panamericana choque delante vehiculo antecedian frena abruptamente tambien cree auto venia detras chocando llovia auto desplazamientos habia delante colisionando vehiculo antecedia encontraban femeninas nn denunciadas mas datos siniestro vehiculo antecesor colisionando atras femeninas denunciadas,aseg circulando panamericana izquierda medios stro caen corte varias costillas posibles lesionadas ampliacin aseg informa recuerda siniestro perdio conocimiento sufrio golpes fracturas costillas retira ultima recuerda circulando panamericana choque delante vehiculo frena abruptamente tambien cree auto venia detras chocando llovia auto desplazamientos habia delante colisionando vehiculo antecedia encontraban femeninas denunciadas mas datos siniestro vehiculo colisionando atras femeninas denunciadas
am    ,asegurado circulando mariano castex cambiar carril colisionado lateral derecha moto circulaba detras desplazamientos personas circulaban moto cayeron piso ,comprometida,aseg circulando mariano castex cambiar carril colisionando lateral derecha moto circulaba detras desplazamientos personas circulaba moto cayeron piso,aseg circulando mariano cambiar carril colisionando lateral derecha moto circulaba detras desplazamientos personas circulaba moto cayeron piso
am    ,vehiculo asegurado circulaba gaspar campos ingresar garage hacia luz giro puesta moto intenta sobrepasarlo lado colisiona lateral izquierda vehiculo asegurado motociclista llevaba cae piso tenia golpe ,comprometida,vehiculo aseg circulaba gaspar campos ingresar garage habia luz giro puesto moto intenta sobrepasarlo lado colisionando lateral izquierda vehiculo aseg motociclista llevaba caen piso tenia golpe,vehiculo aseg circulaba gaspar campos ingresar garage habia luz giro puesto moto intenta sobrepasarlo lado colisionando lateral izquierda vehiculo aseg motociclista llevaba caen piso tenia golpe
am    ,asegurado maniobraba cnel juan terrada doblar hacia adolfo pedro carranza colisiona parte lateral moto circulaba cnel juan terrada moto tenia ocupantes ambos tenian cayeron piso presentaban lesiones visibles retiraron propios medios intervencion medica policial aun ,comprometida,aseg maniobra cnel juan terrada doblar habia adolfo pedro carranza colisionando parte lateral moto circulaba cnel juan terrada moto tenia ocupantes ambos tenia cayeron piso presentaba lesiones visibles retira propios medios intervencion medica policial aun,aseg maniobra cnel juan terrada doblar habia adolfo pedro carranza colisionando parte lateral moto circulaba cnel juan terrada moto tenia ocupantes ambos tenia cayeron piso presentaba lesiones visibles retira propios medios intervencion medica policial aun
am    ,encontraba circulando saenz pena hacia plata llegar interseccion tucuman darme cuenta venia moto alta velocidad chocarla clavo freno toco apenas lateral frontal hizo caigan piso ambos paso datos voy ampliamos asegurado motocicleta embiste parte delantera rodado motocicleta vio previamente participo d llego lesiones visibles cruzo datos retiraron lugar,comprometida,encontraba circulando saenz pena habia plata llegar interseccion tucuman darme cuenta venia moto alta velocidad choca clavo frena toco apenas lateral frontal hizo caigan piso ambos paso datos voy ampliamos aseg motocicleta embiste parte delante rodado motocicleta vio previamente participo trasladado llego lesiones visibles cruzo datos retira lugar,encontraba circulando saenz pena habia plata llegar interseccion tucuman darme cuenta venia moto alta velocidad choca clavo frena toco apenas lateral frontal hizo caigan piso ambos paso datos voy ampliamos aseg motocicleta embiste parte delante rodado motocicleta vio previamente participo trasladado llego lesiones visibles cruzo datos retira lugar
am    ,manejaba carriego interseccion claudio alas frena moto chica personas logro frenar tiempo choco atras,comprometida,manejaba carriego interseccion claudio alas frena moto choca personas logro frena tiempo choco atras,manejaba interseccion claudio alas frena moto choca personas logro frena tiempo choco atras
