,cod_accidente,descripcion_del_hecho - Final,responsabilidad
27,am    ,circulando directorio aparentemente moto muerde vias lateral derecha moto cae intervencion same policial trasladado hospital pineyro terceros involucrados datos tercero castelar leonardo andres honda eev libra asegurado ,discutida
28,am    ,redgreenlueuc vehiculo asegurado mansilla doblar martinto colisiona lateral derecha motocicleta circulaba misma moto ocupante cae piso ,comprometida
29,am    ,saliendo domicilio partcular marcha atras miro hacia ambos lados divisar ningdan vehiculo comienzo bajar vereda moto embiste parte trasera frente ocupante cae pavimento levanta propios medios intervine same art traslada inetrviene desplazamientos,comprometida
30,am    ,asegurado circulando cno gral belgrano esquivar pozo habia misma colisiona tercero moto circulaba misma impactando lateral derecha lateral izquierda asegurado iba solo ocupante moto llevaba cae levanta retira propios medios intervencion policial ambulancias desplazamientosd asegurado formaliz oficina quilmes ratific mecanica leve intervencion tercero,comprometida
31,peatã“n,aseg ciruculando roza girar hacia retomar oliden colisiona parte delantera tercero peaton encontraba cruzando ultima mencionada tercero cae suelo intervencion tercero izquierda lugar aguardando desplazamientos,comprometida
32,aa    ,congestionada frenar vehculo venia delante mio puede frenar tiempo embest,comprometida
33,am    ,circulaba cabildo llegar echeverria moto intenta sobrepasarme embiste parte lateral cae reincorporandose inmediato propios medios ,comprometida
34,am    ,aseg encontraba circulando aguero poner luz giro girar hacia bramante iniciar maniobra aseg roza parte delantera tanque nafta moto solo ocupante cae suelo producto intervencion dolencias dedo raspon cadera intervencion muncipal bonaerense ,comprometida
35,aci   ,,comprometida
36,am    ,aseg maniobraba salir gge parte delantera ro moto circulaba alli moto intervencin levanta retira medios desplazamientos lesionados confirmamos asegurado cuanto meccnica tema leve sali garage hacia adelante punto poste vio tercero retiro propios medios participacin tomo tercero volvi llamar luego hecho,comprometida
37,am    ,venia circulando dispongo doblar armenia moto venia impacta lateral trasero derecha sel moto cae ,comprometida
38,am    ,asegurado ingresaba domicilio moto transitaba mas atras impact eel lateral trasero derecha vehuclo asegurado motociclista cay suelo tena puesto levant intercambiaron datos retir,comprometida
39,am    ,circulaba emilio mitre cruzar peron motociclista pasa impacta momento presento solicito presencia same evaluo necesario traslado motociclista hospital,concurrente
40,am    ,circulaba marzo casi terminando cruzar ate brown embestida lat izquierda parte moto solo ocupante cae pavimento incorpora medios obseva lesiones motociclista int,discutida
41,am    ,encontraba aguardo cruzar arranco marcha cruzando veo viene moto freno pongo marcha atras igualmente colisiona parte izquierda motociclista cae moto baja caminando llevaba intervencion policial tercero asistido lugar trasladado tercero va lugar caminando moto luego busque ir comisaria cuarta hurlingham datos tercero fernando emmanuel val zanella rx hgc prof seguroampliacin aseguradoel encontraba circulando williams llega interseccion pedro diaz ro moto circulaba colisiona guardabarro delantero izquierda ro llevaba callo moto solo ocupante moto intervinieron siniestro realizo test alcoholemia asegurado comisaria ,comprometida
42,am    ,redgreenlueasegurada circulando roca gira tomar oabrien habilitada semaforo produce colision parte delantera moto circulaba roca contrario cruzando semaforo iba sobrepasando encontraban detenidos semaforo asegurada puede confirmar iban personas moton caen asfalto ,discutida
43,am    ,asegurado circulaba jose marmol girar moto quiere pasar embiste espejo retrovisor izquierda moto iba sola persona tenia golpea auto estacionado cae suelo levanta llama same dolia traslada same cel cond aseg diaz dario ,comprometida
44,am    ,vehiculo asegurado circulaba yrigoyen colisionado lateral trasero derecha tercero moto persona circulaba misma raiz persona cayo asfalto luego intercambiar datos retiro cuenta desplazamientosd asegurado ,comprometida
45,am    ,detenida semaforo illia desliza freno auto desplaza toco frente moto delante mio moto cae suelo llevaba levanta medio lesiones aparentes ,comprometida
46,am    ,circulando llavallol cruce cervantes motocicleta venia ultima mencionada alta velocidad frena colisiona lateral derecha medio auto puertas luego desplazo subo vereda ninguna colision adicional mas eros involucrados moto iba sola persona pega auto cae suelo asisto sufrio golpes dolores generales visible conciente pocos minutos acude trasladan hospital desconozco vehiculo izquierda comisaria cale buffano mas involucrados cel ,comprometida
47,am    ,asegurado circulando tercero acompanante circulando asegurado girar hacia luz giro puesta entrar estacionamiento tercero embiste parte asegurado desconoce parte lateral delantero izquierda asegurado tercero acompanante lesionados ,comprometida
48,aa    ,aseg circulando panamericana izquierda medio stro cadena subre corte varias costillas fracturadas femininos posibles lesionadas ampliacin aseguradome informa recuerda siniestro perdio conocimiento sufrio golpes fracturas costillas retiraron ultimo recuerda circulando panamericana choque delante vehiculos antecedian frenaron abruptamente tambien cree auto venia detras choca llovia auto desplaza hacia adelante colisionando vehiculo antecedia encontraban femeninas nn denunciadas mas datos siniestro vehiculo antecesor colisiona atras femeninas denunciadas,comprometida
49,am    ,asegurado circulando mariano castex cambiar carril colisionado lateral derecha moto circulaba detras desplazamientos personas circulaban moto cayeron piso ,comprometida
50,am    ,vehiculo asegurado circulaba gaspar campos ingresar garage hacia luz giro puesta moto intenta sobrepasarlo lado colisiona lateral izquierda vehiculo asegurado motociclista llevaba cae piso tenia golpe ,comprometida
51,am    ,asegurado maniobraba cnel juan terrada doblar hacia adolfo pedro carranza colisiona parte lateral moto circulaba cnel juan terrada moto tenia ocupantes ambos tenian cayeron piso presentaban lesiones visibles retiraron propios medios intervencion medica policial aun ,comprometida
52,am    ,encontraba circulando saenz pena hacia plata llegar interseccion tucuman darme cuenta venia moto alta velocidad chocarla clavo freno toco apenas lateral frontal hizo caigan piso ambos paso datos voy ampliamos asegurado motocicleta embiste parte delantera rodado motocicleta vio previamente participo d llego lesiones visibles cruzo datos retiraron lugar,comprometida
53,am    ,manejaba carriego interseccion claudio alas frena moto chica personas logro frenar tiempo choco atras,comprometida
54,am    ,aseg circulando aut ricchieri llegar interseccion ohiggins coloca luz giro maniobra doblar aparece moto circulaba autopista embiste lateral delantero izquierda moto motociclista cae piso lastimandose costado torax brazo ,comprometida
55,am    ,don bosco balizas colocadas teniamos rueda pinchada moto embiste parte delantera cambiamos carril habia detenido cae piso intervencion policial medica levanta solo va caminando asegurado ,comprometida
56,am    ,circulaba llegar giro momento girar di cuenta tenia moto lado giro toco guardabarro,comprometida
57,aa    ,circulaba balbin intencin colisiono tercero parte trasera parte delantera dicho dicho tercero impacta do tercero parte trasera parte delantera do tercero vw suran patente petpaz claudia natalia dni federacion patronal poliza parte trasera terceros involucrados lesionados datos tercero pablo arturo gru ford focus pfk qbe seguros,comprometida
58,aa    ,colectora panamericana casi thames cambio semaforo frenada intempestiva ampliamos asegurado relacion mecanica hecho manifesto circulaba colectora panamericana casi thames cree cambio semaforo rodado precedia freno intempestivamente pudo evitar impactar tercero parte trasera participo cruzaron datos lugar vio auto viajaban tomo datosd,comprometida
59,peatã“n,asegurado circulando h yrigoyen girar caputo hacia embiste u lateral derecha peaton cae pavimento levanta propios medios asiste amnbulancia desplazamientos,comprometida
60,am    ,aseg circulaba formosa maniobrar congreso parte lateral ro moto circulaba formosa desplazamientos lesionados intervencion medica retiran,comprometida
61,am    ,asegurado circulando alem doblar espana colisionado guardabarro delantero derecha llanta moto circulaba gran velocidad moto cae piso retiro propios medios ,comprometida
62,aa    ,aseg circulaba cabred curva esquivar desplaza cayendo dentro zanja vehiculo dano parte delantera lateral izquierda opticas capot etc acompanante amiga sufre golpes raiz atendida clinica guemes lujan mas desplazamientos,comprometida
63,am    ,vehiculo asegurado circulando gral paz cambiar carril colisiona lateral derecha motocicleta circulaba carril moto ocupante cae piso ,comprometida
64,am    ,maniobraba balizas puesta estacionar auto paralelo cordon manera imprevista moto intenta meterse espacio habia auto cordon colisiona ptd pdd motociclista cae suelo tampoco sufre lesiones desvanecimiento terceros involucradosno terceros involucrados lesionados datos tercero alegre martin benelli tn aswy atm,comprometida
65,am    ,aseg saliendo marcha atras garage golpea moto circulaba irala sola persona cae asfalto brazo raspado incorporo medios retiro moto presento lugar,comprometida
66,am    ,detenido detras colectivo lafuente avanzaba puse guino sobrepasarlo asome lateral avance metros moto venia detras interpreta maniobra impacta lateral delantero derecha unidad unico ocupante moto llevaba cayo piso sufrio lesiones leves dedo menique izquierda asistido lugar trasladado hospital retirandose propios medios andando moto vhs involucrados lesionados formaliza flores datos tercero mora horacio cristian bajaj rowser cc akcc atm asegurado ,comprometida
67,am    ,asegurado circulaba necochea cruce rivadavia tercero circulaba ultima impacta lateral izquierda desplazamientos moto solo ocupante cae piso presentaba golpe ,discutida
68,am    ,asegurado circulaba indart girar ingresar garage embestido lateral delantero derecha lateral izquierda tercero moto venia contraria misma ocupante moto cay asfalto desplazamientos ,comprometida
69,am    ,aseg circulaba vcoll inter matheu colisionado lateral delantero derecha moto circulaba matheu moto iba solo ocupante llevaba cae piso presentaba lesiones inter policial ambulancias retiro lugar propios medios brindar datos,concurrente
70,am    ,venia circulando coletta llego bocacalle moto circulaba moreno impacta vehiculo trompa vehiculod,comprometida
71,aa    ,circulando david magdalena lllegar interseccion belgrano produce colision parte delantera parte trasera camioneta circulaba belgrano raiz camioneta desplaza embiste estacionadosin lesiones,concurrente
72,am    ,circulando msma giro hacia girar siento golpe lateral trasero derecha bajo verifico haba colisionado moto cazco persona manifest bien presentaba lesiones quizo,comprometida
73,am    ,circulaba ruta llego esquina doblo ahi visualizo motounico ocupante vena realizo mala maniobra doblo abruptamente terminamos impactando parte delantera parte trasera derecha ,comprometida
74,am    ,circulando rivadavia carril rapido cuanao repente unacamin sale estacionado volanteo toco cubiertad elantera moto pasando toco tobillo cae paramos metros mas adelante intercambiamos datos retira intervencion asegurado ,comprometida
75,am    ,asegurado circulando uruguay interseccion aparcero colisiona frente derecha moto circulando ultima caen piso ,comprometida
76,am    ,aseg circulando davilaal llegar intersecciongira hacia derechacolisiona paragolpe delantero izquierda parte delantera terceroque circulaba jose marti ocupantescon cascose caen pisono ,comprometida
77,am    ,vhl asegurado encontraba circulando girando hacia salia garage embestido tercero moto circulaba misma embiste lateral parte delantera moto llevaba cae pavimento vereda contraria levanta propios medios golpes rodillapierna ,comprometida
78,am    ,circulaba hip yrigoyen falucho entrar estacion servicio moto izquierda pasar embiste parte trasera sola persona moto cae piso levanta solo retirado,comprometida
79,am    ,asegurado circulaba laprida llegar inteseccion alvear colisiona parte delantera moto ocupantes antecedia detuvo semaforo moto cae piso ocupantes presentaban lesiones visibles retiraron propios medios tras intercambiar datos ,comprometida
80,am    ,circulando lamadrid doblar hacia tomar encuentro moto circulaba lamadrid contrario colisiona parte delantera farol tercero cae piso manifesto lesiones graviedad solo hospital wilde posibles lesiones dedo ,comprometida
81,am    ,asegurado iba circulando serrano doblando hacia asamblea colisionado moto venia serrano contraria lateral trasero derecha moto motociclistas cayeron piso llevaban ,comprometida
82,am    ,aseg circulaba olavarria doblar tomar patricios embiste lateral izquierda moto realizaba misma accin motociclista utilizaba caeysobre pavimento presentaba lesiones visibles contaba dolor piernas retir lugar propios medios intervinieron policias ambulancias,comprometida
83,aa    ,circulaba consejal jose dans rey doblo derqui tercero freno embisto parte trasera parte delantera tercero lesionados intervencion policial medica,comprometida
84,am    ,circulando colectora panamericana moto circulaba vehiculo intentar pasarme carril veo moto continuo maniobra lna moto termina impactando lateral izquierda paragolpes trasero espejo retrovisor intervencion moto circulaba sola persona cae piso utilizaba ,comprometida
85,cicl  ,asegurado estacionado abrir puerta trasera bajar colisionada ciclista circulaba misma ciclista cae suelo lesiones visibles ,comprometida
86,am    ,circulaba rawson llegar esquina jose ingenieros llego frenar choco atras moto venia delante,comprometida
87,am    ,aseg saliendo garage domicilio chacabuco detiene colisionado terceromoto circulaba parte trasera manubrio misma tenia solo ocupante puesto cayo piso manifesto dolencia alguna retiro lugar propios medios moto desplazamientossin intervencion movil policial,comprometida
88,cicl  ,encontraba estacionado acompanante abre puerta delantera ahi ciclista impacta puerta vhyo bajo asistir bel levanta cuenta indica bienle ofrezco arreglar rueda bicicletaindica necesario retira propios medios cabe aclarar deje telefono b luego llamo diciendo trabajo llamaron trasladarlo htalunas horas desopues siniestrodebido empezo sentirse malno mas terceros involucrados mas lesionados datos tercero landriel pablo nicolas,comprometida
89,am    ,aseg circulando maria guerrero girar hacia eva peron colisionado parte delantera lateral frente tercero moto circulaba ultima mencionada solo ocupante bordo colocado cayo aseg presento lesiones levanto retiro propios medios intervencion policial desplazamientos,comprometida
90,otros ,vehiculo asegurado circulando au panamericana perder control unidad colisiona guardrail asegurado circulaba acompanante cae piso utilizaba casco,comprometida
91,aa    ,asegurado circulando zabala colisiona parte frontal parte tercero frena golpe personas tercero retira propios medios,comprometida
92,am    ,aseg encontraba circulando pitagoras poner luz giro girar hacia sarmiento gira ruido grito habia moto tirada suelo junto usaba tenia pequeno raspon intervencion retiro propios medios asegurado presenta ningun dano,comprometida
93,peaton,circulando juan manuel rosas llegando almirante brown semaforo m intento pasar dicha interseccin embargo persona rapidamente colisiono lado derecha impactando persona parabrisas intervencin polica,concurrente
94,am    ,redgreenlue encontraba estacionado dispongo bajar encontraba correctamente estacionado verifico viniera algun vehiculo abro puerta ahi impactado moto puerta delantera apenas abierta mismo cae levanta propios medios indica poseer lesionesno mas terceros mas lesionados datos tercero perez gabriel tomas gilera smash r arci triunfo ,comprometida
95,am    ,vhc asegurado circulando valparaiso doblar cabo sosa encierra accidentalmente tercero moto circulaba valparaiso produce colision lateral delantero izquierda manubrio moto ocupantes solo acompanante caen piso incorporan solos lesiones baja consideracin interv retiran propios desplazamientos,comprometida
96,am    ,redgreenlueredgreenlue circulando daz velez hacia gral paz toco levemente rueda trasera moto yamaha ybr dominio llb conducida pera ramiro guido seguro atm dni acompanado michelle alvan dni ambos genenera posterior cada ,comprometida
97,aa    ,asegurado circulando s frontera colisiono parte delantera trasera tercero detuvo semaforo lesiones desplazamientos aseg amplia acompanante tercero tocaba,comprometida
98,am    ,asegurado terminando doblar gaona colectora pensando doble momento produce colision parte delantera moto circulaba gaona motociclista cae suelo ,comprometida
99,am    ,redgreenlue asegurado circulando wernicke tercero moto circulaba misma quiere pasarlo colisiona lateral izquierda lateral derecha asegurado desplazamientos ,comprometida
100,aci   ,asegurado circulando san martin semaforo impacta bicileta parte lateral delantera bicileta circulando pasa semaforo impactada asegurado ocupante bicileta cae piso golpe codo intervencion policial trasladada hospital municipal marcos paz momento asegurado sabe lesiones afectado bicileta,discutida
101,am    ,asegurado maniobrando estacionar balizas encendidas embestido lateral trasero derecha tercero circulaba mismo moto solo ocupante puede precisar uso cae pavimento levanta retira propios medios desplazamientos asiste,concurrente
102,am    ,asegurado circulando araoz interseccin primera junta impacta parte delantera tercero moto circulaba ultima primera junta ocupante moto llevaba puesto cae pavimento,comprometida
103,am    ,aseg circulaba nogoya maniobrar cruzar cuneta colisiona moto sobrepasa moto viabaja sola persona cay suelo levant propios medios manifiesta necesita ser atendido intercambiaron datos retir asegurado manifiesta iba despacio encontraba pasando cuneta costado baja velocidad,comprometida
104,am    ,asegurado circulando samuel morse realiza maniobra esquivar auto detenido costado calzada abandonado tercero moto circulaba detras llega esquivarlo embiste parte trasera punta izquierda ocupante cae piso ,comprometida
105,am    ,encontraba detenido rivadavia abro sobrepasar colectivo detenido moto colisiona parte trasera desplazamientos sola persona cae piso lesiones visibles ,comprometida
106,am    ,asegurado circulando tuyuti impacta parte delantera parte trasera moto frena delante ocupantes caen suelo presentaban lesionaes visibles dijeron encontraban bien ,comprometida
107,am    ,venia conduciendo san antonio llego interseccin zapala dispongo doblar luz giro correspondiente hacia doy cuenta venia moto personas pasandome toco provocando caigan,comprometida
108,am    ,vhc asegurado circulando h yrigoyen direccion hacia sur atina cambiar carril concretar accion tercero moto circulaba dicho carril advierte intencion asegurado frena improviso desestabiliza cae piso mediar contacto vhc asegurado secuestro policial interv labraron actas tercero trasladado revisado insitu contractura ,comprometida
109,aa    ,mecanica hecho s vs asegurado circulando corrientes doblo continuar marcha lavalleun venia ultima asusta cambia carril invadiendo contraria habia doblado yocalle doble impacta parte delantera lateral izquierdoproducto aca pierde conocimiecontconocimientoes trasladado hospital zonal varelaen pueblojunto tercero acuso lesiones informaronal aca luego comisaria,comprometida
110,aa    ,asegurado circulaba nicaragua colisiona parte delantera parte trasera tercero freno transito lesiones desplazamientos,comprometida
111,am    ,circulaba san martin estacionar moto venia detras pasa choca parte delantera moto cae venia trasladado hospital florencio varela tenia golpe ,comprometida
112,peaton,salia garage salude novia puerta sale persona llegue frenar golpee cayo amplio asegurado ,comprometida
113,am    ,aseg circulaba gral alvarez direccion hacia caba pasar chaco impacta parte delantera tercero motoque circulaba estalos ocupantes tercero caen suelo levanta retiran solo aseg ofrece llevar hospital niegan ocupantes,comprometida
114,peaton,circulando don bosco cruzar interseccin virrey liniers vena gran velocidad velocidad x daltima acelero manera imprevista peatnmujer aparece adelante tener contacto mismo cae suelo,comprometida
115,am    ,aseg circulando independencia tercero circulando misma aseg dispone aingresar estacionamiento tercero moto circulaba detras colisiona parte trasera tercero cae pavimento puesto solo ocupante desplazamientos ,concurrente
116,am    ,circulando lavalle llegar interseccion castelli veo moto circulaba ultima freno llegue tocarlo ocupantes moto cayeron pavimento levantaron propios medios tenian lesiones visibles quejaban dolor aunque necesario intervencion,comprometida
117,peaton,maniobrando marcha atras salir estacionado mirando habia nadie momento siento ruido veo mayor golpeando ventanilla bajar sucedia alterada desorientada enojada comienza insultarme preguntaba habia hecho acusarme desconozco contacto solo escuche ruido manifestaba esperando taxi mitad tenia dolor piernas asisto llamamos hijo lleva lugar querer traslado algun hospital ampliamos asegurada auto revisando papeles etc pareja puerta casa van salir esquina mira atras llega hacer casi marcha atras mueve auto escucha alguien pega chapa auto dice apenas maniobro auto baja velocidad vuelve sentir golpes senora empieza hiciste etc senora dice atras esperando taxifue casi senda peatonal tercera alterada izquierda llego cada tercera dijo viva diez cuadras lugar ocurri hecho asegurada supone medio aguaradndo taxi solo vio raspon pusieron hielole ofreci llevarla hospital quiso hijo buscar tercera dijo bien haba ido medico meses despues llama senora diciendo abogada tercera pidiendole datos seguro tercera senora mayor,comprometida
118,peaton,circulaba ruta direccion moreno hijos encontraba esperando cruzar mitad cuadra vehiculos circulaban direccion contraria cuales encontraban detenidos pr trafico menores suela hacia carril circulacion pudiendo evitar impactarlo lateral delantero izquierda menor edad sufre fractura ,concurrente
119,am    ,aseg maniobraba rodriguez hacia carbajal parte lateral ro moto circulaba junto aseg desplazamientos lesionados moto persona ,comprometida
120,am    ,aseg circulando acceso oeste hacia capital aseg maniobra hacia salir calzada hacia pasto tercero circulaba moto ocupantes misma igual embiste parte trasera parte frontal tercero ocupantes moto caen pavimento pierden conocimiento ocupantes reincorpora medios debe ser asistido ,comprometida
121,am    ,asegurado circulando eva peron colisionado parte lateral parte delanter moto tercero moto impacta parte delantera asegurado lesionados desplazamiento intervencion centro hospital materno varela ocupante moto uso cayo piso lesionad parte,comprometida
122,am    ,circulaba sucre doblando moyano enpedrado toco lateral derecha moto chico moto cae tenia lesiones ,comprometida
123,am    ,circulaba monroe moto frena delante mio semaforo logro evitar tocarlo parte delantera paret trasera moto unico ocupante cae piso ,comprometida
124,aa    ,aseg maniobra salir lugar estacionado yrigoyen impacta tercero circulaba lateral delantera izquierda lateral trasero derecha lesiones desplazamiento,comprometida
125,cicl  ,venia sauce barrio san jorge momento sorprendido moto intencion robo atino acelerar pierdo control auto colisiono tercero bicicleta cartel tercero cayo suelo lesiones aparentes solamente dolor brazo ,comprometida
126,am    ,asegurado circulaba irigoyen doblar tomar helguera colisionado moto circulaba contrario irigoyen ocupante cae piso asistido same trasladan hosp peron int avellaneda semaforo titilaba apago vuelve titilaretc funciona mal tener paso cel ,comprometida
127,aa    ,circulaba balbin parte delantera parte trasera tercero detiene trafico delante raiz tercero desplaza colisiona parte delantera parte trasera vehiculo datos lesiones,comprometida
128,am    ,encontraba circulando centenario uruguayo comenzar doblar albarracinuna moto venia misma impacta parte delantera lateral delantero izquierda vhel motociclista cae pisoyo bajo asistirloel acusa dolor brazo derecha habia lastimado,comprometida
129,am    ,venia circulando bernardo irigoyen semaforo gps indico giro c calvo encontrandome semaforos moto colisiona,comprometida
130,am    ,asegurado circulaba gabriel miro moto pasadores vio choco parte trasera parte delantera derecha calles doble circulacion asegurado solo hizo denuncia pido registro cedula hablo asegurada aclara motocicleta venia automvil asegurado danos parte delantera lado derecha participacin semaforos lugar calles doble circulacion tercera tenia cedula azul luego hecho tercera llamo diciendo haba golpeado entonces asegurada hizo ah denuncia,concurrente
131,peaton,aseg encontraba circulando juan pujol llegar interseccion gaona peaton aseg roza parte delantera parte izquierda persona cae suelo lesiones visibles intervencion trasladada hospital fernandez,comprometida
132,aa    ,aseg circulando alvarez jonte interseccion miguel salcedo tercero circulaba ultima mencionada atraviesa aseg logra evitar colision pb delantera lateral derecha tercero asegurado personas lesionadas transportadas ,concurrente
133,am    ,asegurado circulaba falucho cruzar ricardo rojas colisionado parte lateral tercero moto circulaba ultima mencionada personas moto cascos colocados cayeron suelo intervencion policial desplazamientos solamente presentaba golpe,comprometida
134,am    ,vhc asegurado circulando puna llegar interseccion almafuerte aguarda despeje transito vehicular avanza lentamente embestido lateral delantero derecha rueda delantera tercero moto circulaba ultima invocada solo ocupante colocado cae piso incorpora propios medios tercero cortadura ,concurrente
135,am    ,aseg circulando jose bruno moron realiza leve maniobra esquivar detenido manera paralela detiene tercero moto quiere pasar medio vhs cae arriba aseg provocando danos espejo retrovisor derecha puerta mismo lado ocacionado parte delantera moto tercero cae piso puesto manifesto dolencia brazo aseg ofrece llamar same quiso ,comprometida
136,am    ,jose len suarez m domicilio coloco balizas saco ventanilla acceder garage momento moto sobrepasa vehculo contenedor basura encontraba domicilio asegurado impacta espejo puerta tercero lesionado ,comprometida
137,am    ,redgreenlue circulaba paraguay maniobrar hacia pasar detenido volver carril impacta moto lateral delantero derecha unicamente moto cael suelo manifiesta dolor hombro derecha ,comprometida
138,am    ,circulaba constitucion llegar interseccion mosconi coloco giro izquierda tomar ultima mencionada dado dicha interseccion corta embestido lateral delantero izquierda frente moto intenta sobrepasar ocupante cae pavimento presentaba lesiones visibles levanta propios medios intercambiamos datos retira circulando moto intervencion,comprometida
139,aa    ,circulando menbrillar pasar tercero chevrolet celta frena golpe puedo evitar colisionarlo tercero parte trasera parte delantera desplazamiento,comprometida
140,am    ,subiendo chavez gral paz moto sobrepasa golpea brazo izquierda espejo raiz golpea guardarail cae asfalto sola persona moto puesto ,comprometida
141,am    ,aseg circulando rivadavia impacta tercero moto ocupante circulando misma toca espejo retrovisor izquierda manubrio trceroel aseg circulaba carril central maniobra levemente esquivar delimitacion carril buses tercero sale atras colectivoaseg refiere tercero cae moto embargo manifiesta dolor brazo derecha ,comprometida
142,am    ,circulando indepencencia esq sarandi detenido transito abro levemente puerta delizq arrojar papel moto embiste mismael lamisam nego q lleve htal retiro propios mediossin int policial ambulanciasin desplazamiento,comprometida
143,am    ,asgeurado circulando pasco esquina pavon colisiona tercero cen moto circulando misma parte delanterael tercero cae piso tercero portaba solo persona moto ,comprometida
