cod_accidente,descripcion,filter,responsabilidad
aa,vh asegurado circulando por calle zabala colisiona con su parte frontal a la parte un tercero que frena de golpe  personas con casco tercero se retira por sus propios medios,vehiculo asegurado circulando por calle zabala colisiona con su parte parte delantera la parte tercero frena golpe personas con casco tercero retira por sus propios medios,comprometida
aa,vh asegurado circulando por s de la frontera colisiono con la parte delantera a la trasera de un tercero que se detuvo por semaforo sin lesiones ni desplazamientos  aseg amplia que acompanante de tercero se tocaba el cuello,vehiculo asegurado circulando por s la frontera colisiona con la parte delantera la trasera tercero detuvo por semaforo sin lesiones ni desplazamientos asegurado amplia acompanante tercero tocaba el cuello,comprometida
aa,mecanica del hecho s vs asegurado  circulando por corrientes cuando doblo a la izquierda para continuar mi marcha por lavalleun vh que venia por esta ultima se asusta y cambia de carril invadiendo la mano contraria que es por donde habia doblado yocalle doble mano y me impacta con su parte delantera en mi lateral izquierdoproducto del impacto el conductor aca pierde el conocimiecontconocimientoes trasladado por ambulancia al hospital zonal de varelaen mi pueblojunto a el tercero quien acuso lesiones en la mano que le informaronal conductor aca luego en la comisariaintervino policia de la com ra de fvarela entregandole el vh luego de radicar la denunciadentro del vh del terc i ba otra persona desconociendo datosno hubo otros terceros inv ni lesionados datos del tercero silva bianca fernanda citr c mfw  ,mecanica del hecho s vs asegurado circulando por corrientes doblo la izquierda para continuar mi marcha por lavalleun vehiculo venia por esta ultima asusta cambia carril invadiendo la mano contraria es por donde habia doblado yocalle doble mano me impacta con su parte delantera en mi parte izquierda del impacto el conductor aca pierde el conocimiecontconocimientoes trasladado por ambulancia al hospital zonal varelaen mi pueblojunto el tercero quien acuso lesiones en la mano le informaronal conductor aca luego en la comisariaintervino policia la com ra fvarela entregandole el vehiculo luego radicar la denunciadentro del vehiculo del terc i ba otra persona desconociendo datosno hubo otros tercero inv ni lesionados datos del tercero silva bianca fernanda citr c mfw,comprometida
aa,vh asegurado circulaba por calle nicaragua cuando colisiona su parte delantera en parte trasera de un tercero que freno por transito sin lesiones ni desplazamientos,vehiculo asegurado circulaba por calle nicaragua colisiona su parte delantera en parte trasera tercero freno por transito sin lesiones ni desplazamientos,comprometida
aa,aseg maniobra para salir de lugar estacionado por av yrigoyen cuando impacta con un tercero que circulaba su lateral delantera izquierdo con el lateral trasero derecho sin lesiones ni desplazamiento,asegurado maniobra para salir lugar estacionado por avenida yrigoyen impacta con tercero circulaba su parte delantera izquierda con el parte trasera derecha sin lesiones ni desplazamiento,comprometida
aa,circulaba por la avenida balbin cuando impacto con la parte delantera en la parte trasera de un tercero que se detiene por el trafico delante de mi a raiz del impacto el tercero se desplaza y colisiona con la parte delantera en la parte trasera de otro vehiculo del cual no tengo datos sin lesiones ,circulaba por la avenida balbin impacto con la parte delantera en la parte trasera tercero detiene por el trafico delante mi raiz del impacto el tercero desplaza colisiona con la parte delantera en la parte trasera otro vehiculo del cual no tengo datos sin lesiones,comprometida
aa,vh aseg circulando por calle alvarez jonte y en la interseccion con calle miguel de salcedo un tercero que circulaba por esta ultima mencionada se atraviesa y el aseg no logra evitar la colision con su pb delantera en el lateral derecho del tercero  en el vh asegurado hay  personas lesionadas transportadas  intervino transito no intervino ambulancia,vehiculo asegurado circulando por calle alvarez jonte en la interseccion con calle miguel salcedo tercero circulaba por esta ultima mencionada atraviesa el asegurado no logra evitar la colision con su parte delantera en el parte derecha del tercero en el vehiculo asegurado hay personas lesionadas transportadas intervino transito no intervino ambulancia,concurrente
aa,circulando por la calle menbrillar al pasar por la derecha al tercero chevrolet celta es cuando este frena de golpe y no puedo evitar colisionarlo al tercero en la parte trasera derecha con la parte delantera izquierda de mi vh sin desplazamiento,circulando por la calle menbrillar al pasar por la derecha al tercero chevrolet celta es este frena golpe no puedo evitar colisionado al tercero en la parte trasera derecha con la parte delantera izquierda mi vehiculo sin desplazamiento,comprometida
aa,vh aseg circulando sobre av mosconi colisiona con su parte delantera en la parte trasera de un tercero que detuvo la marcha sobre la misma el tercero se deslpaza y colisiona otro vh sobre la misma quien se desplaza y colisiona otro vh el cual se desplaza y colisiona otro sin lesionados,vehiculo asegurado circulando avenida mosconi colisiona con su parte delantera en la parte trasera tercero detuvo la marcha la misma el tercero deslpaza colisiona otro vehiculo la misma quien desplaza colisiona otro vehiculo el cual desplaza colisiona otro sin lesionados,comprometida
aa, vhl asegurado se encontraba circulando por ayacucho delante se detiene un tercero por transito  asegurado lo colisiona con su parte delantera en su parte trasera sin lesiones sin desplazamientos no interviene policia ni ambulancia,vehiculo asegurado encontraba circulando por ayacucho delante detiene tercero por transito asegurado lo colisiona con su parte delantera en su parte trasera sin lesiones sin desplazamientos no interviene policia ni ambulancia,comprometida
aa,vh aseg circulando por avda mitre  avellaneda  bs as cuando un tercero que circulaba por la misma en  igual sentido delante del asegurado frena por semaforo y el ultimo lo embiste con la parte frontal en la parte trasera del tercero sin lesiones sin intervenciones sin desplazamientos,vehiculo asegurado circulando por avenida mitre avellaneda bs as tercero circulaba por la misma en igual sentido delante del asegurado frena por semaforo el ultima lo embiste con la parte parte delantera en la parte trasera del tercero sin lesiones sin intervenciones sin desplazamientos,comprometida
aa,circulaba por av pueyrredon cuando no puedo evitar colisionar al auto que tenia delante con mi parte delantera en su parte trasera izquierda sin desplazamientos ni lesionados,circulaba por avenida pueyrredon no puedo evitar colisiona al auto tenia delante con mi parte delantera en su parte trasera izquierda sin desplazamientos ni lesionados,comprometida
aa,circulando cuando el vh que venia delante mio frena yo tambien lo hago pero no llego a hacerlo por completo y lo colisiono con mi parte delantera en su parte trasera y este con su parte delantera en la parte trasera de un doro datos del doro  chev agile gris dominiojipno hubo otros terceros involucrados ni lesionados datos del tercero ibanez julio peug  etw  mercantil andina,circulando el vehiculo venia delante mio frena yo tambien lo hago pero no llego hacerlo por completo lo colisiona con mi parte delantera en su parte trasera este con su parte delantera en la parte trasera doro datos del doro chev agile gris dominiojipno hubo otros tercero involucrados ni lesionados datos del tercero ibanez julio peug etw mercantil andina,comprometida
aa,circulando por av cristiania giro a mi mano derecha y tomo calle tokio antes de tomarla el tercero que venia delante mio frena de manera imprevista a pesar de haber frenado no logro evitar el contacto de la parte frontal de mi vehiculo con la parte trasera del tercero el conductor acuso sufrir un golpe en su brazo derecho conductor del vehiculo del tercero sr gomez juan carlos  dnilic de conducir nro  emitido por gcba  otorgamiento   vencimiento  no hubo intervencion policial ni de ambulancia datos del tercero robledo gladys lujan fiat idea hlx  fhg   federacion patronal,circulando por avenida cristiania giro mi mano derecha tomo calle tokio antes tomarla el tercero venia delante mio frena manera imprevista pesar haber frenado no logro evitar el contacto la parte parte delantera mi vehiculo con la parte trasera del tercero el conductor acuso sufrir golpe en su brazo derecha conductor del vehiculo del tercero sr gomez juan carlos dnilic conducir nro embistio por gcba otorgamiento vencimiento no hubo intencion policial ni ambulancia datos del tercero robledo gladys lujan fiat idea hlx fhg federacion patronal,comprometida
aa,vh aseg circulando por independencia al llegar a la interseccion con araoz el aseg embiste con su parte frontal al lateral izquierdo de un vh tercero que cruzaba sobre calle araoz informa que la conductora informo molestias en el cuello no interviene policia y ambulancia ya que no considero la lesion de gravedad y luego del intercambio de datos se retiran por sus propios medios sin desplazamientos,vehiculo asegurado circulando por independencia al llegar la interseccion con araoz el asegurado embiste con su parte parte delantera al parte izquierda vehiculo tercero cruzaba calle araoz informa la conductora informo molestias en el cuello no interviene policia ambulancia ya no considero la lesion gravedad luego del intercambio datos retiran por sus propios medios sin desplazamientos,comprometida
aa,circulaba por la ruta  cuando debido a un bache pierdo el control del vehiculo e impacto con el lateral izquierdo en el lateral trasero izquierdo de un tercero chevrolet corsa que circulaba por la misma en direccion contraria luego impacto con la parte delantera en la parte delantera de otro vehiculo vw amarok que circulaba en direccion contraria detras del primer vehculo a raiz del impacto el conductor del vhlo chevrolet corsa manifestaba sentir dolor en la espalda por lo que interviene personal de ambulancia los cuales lo atienden en el lugar luego los involucrados se dirigen a la dependencia policiald,circulaba por la ruta debido bache pierdo el control del vehiculo e impacto con el parte izquierda en el parte trasera izquierda tercero chevrolet corsa circulaba por la misma en direccion contraria luego impacto con la parte delantera en la parte delantera otro vehiculo vehiculo amarok circulaba en direccion contraria detras del primer vehiculo raiz del impacto el conductor del vehiculo chevrolet corsa manifestaba sentir dolor en la espalda por lo interviene personal ambulancia los cuales lo atienden en el lugar luego los involucrados dirigen la dependencia policiald,comprometida
aa,circulando por la av  de abril cuando estoy cruzando la interseccion con sarratea se cruza sin prioridad de paso un vw bora freno pero no logro evitar la colision de mi frente con su parte delantera izq ambos conductores fuimos trasladados al hosp lucio melendez de adrogue por ambulancia no hubo otro lesionado ,circulando por la avenida abril estoy cruzando la interseccion con sarratea cruza sin prioridad paso vehiculo bora freno pero no logro evitar la colision mi parte delantera con su parte delantera izquierda ambos conductores fuimos trasladados al hosp lucio melendez adrogue por ambulancia no hubo otro colisionado,discutida
aa,asegurado circulando por terrero embiste con su parte delantera a un tercero que circulaba en mismo sentido en su parte trasera sin desplazamientos el conductor del vehiculo tercero y el asegurado sufren lesiones intervino policia y ambulancia,asegurado circulando por tercero embiste con su parte delantera tercero circulaba en mismo sentido en su parte trasera sin desplazamientos el conductor del vehiculo tercero el asegurado sufren lesiones intervino policia ambulancia,comprometida
aa,ciculando por calchaqui al llegar a azurduy freno el transito yo freno pero igualmente toco al peugeot  desplazandose e impactando al vw ventoampliamos con v asegurado en cuanto al hecho corrobor la mecanica impacta al tercero en la parte trasera intent frenar y no lleg a hacerlo manifiesta que en el rodado tercero iban  ocupantes si bien no recuerda exacto las caractersticas solo recordaba la cara de dos de ellos ,circulando por calchaqui al llegar azurduy freno el transito yo freno pero igualmente toco al peugeot desplazandose e impactado al vehiculo ventoampliamos con v asegurado en cuanto al hecho corrobor la mecanica impacta al tercero en la parte trasera intent frenar no lleg hacerlo manifiesta en el rodado tercero iban ocupantes si bien no recuerda exacto las caractersticas solo recordaba la cara dos ellos,comprometida
aa,me encontraba saliendo del estacionamiento del shopping cuando un tercero me impacta en mi parte delantera derecha de mi vh con su parte delantera no hubo lesionados ni mas terceros datos del tercero casteluccio agustin vw vento kmc  federacion patronal,me encontraba saliendo del estacionamiento del shopping tercero me impacta en mi parte delantera derecha mi vehiculo con su parte delantera no hubo lesionados ni mas tercero datos del tercero casteluccio agustin vehiculo vento kmc federacion patronal,comprometida
aa,circulando por  de julio y mexico cuando embisto con mi parte delantera en la parte trasera de un ero que detiene la marcha por cambio del semaforo sin desplazamientos ni lesionados,circulando por julio mexico embisto con mi parte delantera en la parte trasera tercero detiene la marcha por cambio del semaforo sin desplazamientos ni lesionados,comprometida
aa,vh aseg circulanso sobre sourdeaux tunel debajo de las vias del tren  vh tercero detenido por trafico en la misma calle vh aseg pasa el tuenel y en la salida del mismo colisiona su parte delnatera con la parte trasera del vh tercero  sin lesioandos  sin desplazamien tos,vehiculo asegurado circulando sourdeaux tunel debajo las vias del tren vehiculo tercero detenido por trafico en la misma calle vehiculo asegurado pasa el tuenel en la salida del mismo colisiona su parte delantera con la parte trasera del vehiculo tercero sin lesioandos sin desplazamien tos,comprometida
aa,vh aseg circulando por calle miralla mataderos al llegar a av mataderos cuando un tercero frena de golpe para no pasar con el semaforo en rojo es colisionado por la parte trasera con la parte delantera del vh aseg sin desplazamientos y sin lesiones,vehiculo asegurado circulando por calle miralla mataderos al llegar avenida mataderos tercero frena golpe para no pasar con el semaforo en rojo es colisionado por la parte trasera con la parte delantera del vehiculo asegurado sin desplazamientos sin lesiones,comprometida
aa,el asegurado iba circulando por la av cuando el vehiculo de adelante frena repentinamente y el asegurado lo colisiona en parte trasera con la parte delantera intervino policia tomando datos el conductor del otro vehiculo sufrio latigazo cervical lo mismo que un acompanante,el asegurado iba circulando por la avenida el vehiculo delante frena repentinamente el asegurado lo colisiona en parte trasera con la parte delantera intervino policia tomando datos el conductor del otro vehiculo sufrio latigazo cervical lo mismo acompanante,comprometida
aa,aseg por saladillo y tercero que aparece por el costado izquierdo por ibanez aseg le colisiona  en la puerta trasera derecha con la trompa del vh aseg tercero  lesionado que iba en la parte de atras del vh tercero interviene policiatel de aseg ,asegurado por saladillo tercero aparece por el costado izquierda por ibanez asegurado le colisiona en la parte trasera derecha con la delantera del vehiculo asegurado tercero colisionado iba en la parte atras del vehiculo tercero interviene policiatel asegurado,concurrente
aa,venia circulando por la calle espinosa en el cruce de esta con la calle arengreen viniendo yo por la mano derecha impacto contra un vehculo contra su puerta delantera derecha y parte de su guardabarros delantero derecho luego del impacto el otro auto se subi a la vereda impactando contra la pared luego del choque el vehiculo se subi a la vereda y termina impactando contraa pared de la vivienda en la esquina la hija del tercero tuvo un golpe en el parietal derecho de su cabeza hubo intervencion del same pero el tercero no quizo que se trasladara a su hija a un hospital no hubo lesionados ni otros ros involucrados en el stro mas alla de lo declarado datos del tercero ana jolly volkswagen voyage jyd  boston,venia circulando por la calle espinosa en el cruce esta con la calle arengreen viniendo yo por la mano derecha impacto contra vehiculo contra su parte delantera derecha parte su guardabarros delantera derecha luego del impacto el otro auto subi la vereda impactado contra la pared luego del choque el vehiculo subi la vereda termina impactado contraa pared la vivienda en la esquina la hija del tercero tuvo golpe en el parietal derecha su cabeza hubo intencion del same pero el tercero no quizo trasladara su hija hospital no hubo lesionados ni otros ros involucrados en el siniestro mas alla lo declarado datos del tercero ana jolly volkswagen voyage jyd boston,concurrente
aa,aseg circulaba por bogota cuando esta comenzando a cruzar por carrasco  es impactado en su parte delantera derecha por tercero que circulaba por esta con la parte frontal del tercero sin lesionesel asegurado amplio por escrito y el original fue dejado en una oficina de v cia hemos anticipado la copia de la ampliacion,asegurado circulaba por bogota esta comenzando cruzar por carrasco es impactado en su parte delantera derecha por tercero circulaba por esta con la parte parte delantera del tercero sin lesionesel asegurado amplio por escrito el original fue dejado en oficina v cia hemos anticipado la copia la ampliacion,comprometida
aa,aseg circulaba sobre calle  cuando embiste con la parte delantera en la parte trasera de un tercero renault clio gris que se detuvo delante este producto del impacto se desplaza embistiendo a otro vh  renault clio azul detenido delante el conductor del vehculo renault clio gris result lesionado,asegurado circulaba calle embiste con la parte delantera en la parte trasera tercero renault clio gris detuvo delante este producto del impacto desplaza embistio otro vehiculo renault clio azul detenido delante el conductor del vehiculo renault clio gris result colisionado,comprometida
aa,vehiculo asegurado circulando por gral paz cuando cort losbulones de una rueda la rueda salio desplazada e impact a und vehiculo,vehiculo asegurado circulando por general paz cort losbulones rueda la rueda salio desplazada e impacta und vehiculo,nan
aa,vh aseg saliendo en reversa de gge impacta con su parte trasera en el lateral izquierdo de un tercero que estaba detenido con el conductor arriba sin desplazamientosel conductor del vh tercero inform que se rasp la mano,vehiculo asegurado saliendo en reversa garage impacta con su parte trasera en el parte izquierda tercero estaba detenido con el conductor arriba sin desplazamientosel conductor del vehiculo tercero inform rasp la mano,comprometida
aa,circulando por calle casn juan al llegar a la interseccion con calle intenente alvear se produce la colision con mi parte delantera  y la parte lateral izquierda del tercero sin desplazamientos en el vh del tercero sufre lesiones una personano interviene policia ni ambulancia,circulando por calle casn juan al llegar la interseccion con calle intenente alvear produce la colision con mi parte delantera la parte parte izquierda del tercero sin desplazamientos en el vehiculo del tercero sufre lesiones personano interviene policia ni ambulancia,comprometida
aa,vh aseg estaba detenido en el semaforo sobre av dorrego cuando es impactado en la parte trasera por la parte delantera del vh del tercero que circulaba detras sin desplazamientos ni lesionados el conductor del vh aseg sufrio un latigazo amigo y novia del conductor se hacen atender por en el hospital por un latigazo tambien no hubo intervinientes ,vehiculo asegurado estaba detenido en el semaforo avenida dorrego es impactado en la parte trasera por la parte delantera del vehiculo del tercero circulaba detras sin desplazamientos ni lesionados el conductor del vehiculo asegurado sufrio latigazo amigo novia del conductor hacen atender por en el hospital por latigazo tambien no hubo intervinientes,discutida
aa,vh aseg maniobra para cambiar de carril sobre av centenario colisiona con su lateral trasero derecho con el lateral trasero izquierdo de un tercero detenido sobre la misma por semaforo sin lesinoados ni desplazamientos,vehiculo asegurado maniobra para cambiar carril avenida centenario colisiona con su parte trasera derecha con el parte trasera izquierda tercero detenido la misma por semaforo sin lesinoados ni desplazamientos,comprometida
aa,redgreenlue el asegurado circulaba por aguero de sur a norte cuando el tercero que circulaba por aguero a contramano a alta velocidad invade el carril del asegurado y por mas que el asegurado intenta esquivarlo no puede evitar que el tercero lo choque en el lateral derecho con el frente por el choque resulto con lesiones el terceroel asegurado formalizo en quilmes la calle tiene mano y contramano manifiesta  que el tercero iba por su mano y que de golpe  se le vena de frente el asegurado maniobra hacia la izquierda para no chocar de frente con el tercero concurri  policia y ambulancia lo traslado la ambulancia al tercero iba solo el asegurado no fue trasladado  a la comisaria no le hicieron alcoholemia  tercero  tena seguro en federacion patronal tendria fotos y datos de la causa penal insiste en que el tercero venia de contramano no sabe si hara reclamo porque quizas tenga destruccion total ,el asegurado circulaba por aguero sur norte el tercero circulaba por aguero contramano alta velocidad invade el carril del asegurado por mas el asegurado intenta esquivarlo no puede evitar el tercero lo choque en el parte derecha con el parte delantera por el choque resulto con lesiones el tercero asegurado formalizo en quilmes la calle tiene mano contramano manifiesta el tercero iba por su mano golpe le venia parte delantera el asegurado maniobra hacia la izquierda para no chocar parte delantera con el tercero concurri policia ambulancia lo traslado la ambulancia al tercero iba solo el asegurado no fue trasladado la comisaria no le hicieron alcoholemia tercero tena asegurado en federacion patronal tendria fotos datos la causa penal insiste en el tercero venia contramano no sabe si hara reclamo porque quizas tenga destruccion total,discutida
aa,haba trafico en la rotonda aseg se abre hacia la derecha paraintentar pasar cuando otro vh ingresando en la rotonda roza consu lateral a vh aseg en parte frontal lado derecho solrballesterd gmailcom,haba trafico en la rotonda asegurado abre hacia la derecha paraintentar pasar otro vehiculo ingresando en la rotonda roza consu parte vehiculo asegurado en parte parte delantera lado derecha solrballesterd gmailcom,nan
aa,vhl aseg circulando por de la penavhl de tercero circulanbdo por camino gral belgrano el asegurado indica que asoma para cruzarno hay semaforo y el tercero lo colisiona con su lateral derecho en el lateral izquierdo del vhl asegurado  lesiones conductor del vh del b  luis gonzalo agustin ,vehiculo asegurado circulando por la penavhl tercero circulando por camino general belgrano el asegurado indica asoma para cruzarno hay semaforo el tercero lo colisiona con su parte derecha en el parte izquierda del vehiculo asegurado lesiones conductor del vehiculo del b luis gonzalo agustin,comprometida
aa,aseg estacionado y al comenzar la marcha un  que venia circulando lo coliciona en el frente delantero derecho  danando tambien la puerta delantera derecha,asegurado estacionado al comenzar la marcha venia circulando lo colisiona en el parte delantera delantera derecha danando tambien la parte delantera derecha,comprometida
aa,circulando por gandara al llegar a burela la senora mira para el otro lado y choca al asegurado en parte delantera con parte delantera sin desplazamientos ni lesiones,circulando por gandara al llegar burela la senora mira para el otro lado choca al asegurado en parte delantera con parte delantera sin desplazamientos ni lesiones,comprometida
aa,vh asegurado circulando por calle monroe colisiona con su parte frontal a la parte trasera de un tercero detendo por transito sin desplazamientos conductor del vh tercero con lesionesel asegurado  formalizo en casa centraltema leve choque de atrcs no llega a frenar y embiste al tercero que estaba frenado por el trcnsito no participo policia ni ambulancia el tercero supuestamente iba con una chicapero no le tomo datos ni la llego a ver bien porque no bajo del auto  ,vehiculo asegurado circulando por calle monroe colisiona con su parte parte delantera la parte trasera tercero detendo por transito sin desplazamientos conductor del vehiculo tercero con lesionesel asegurado formalizo en casa centraltema leve choque atrcs no llega frenar embiste al tercero estaba frenado por el trcnsito no participo policia ni ambulancia el tercero supuestamente iba con chicapero no le tomo datos ni la llego ver bien porque no bajo del auto,comprometida
aa, asegurado circulando por ruta  mano derecha al perder el control del auto se cruza de carril poniendose de manera  perpendicular es colisionado en el lateral izquierdo por el frente de un camion que lo arrastra unos metros luego se desplaza produce el impacto del asegurado con otro vehiculo vw amarok que circulaba sobre mano contraria de la misma un ocupante del vhlo vw amarok sufre un golpe en la cabeza interviene personal policial y de ambulancia los cuales trasladan al lesionado hasta el hospital de gral pacheco,asegurado circulando por ruta mano derecha al perder el control del auto cruza carril poniendose manera perpendicular es colisionado en el parte izquierda por el parte delantera camion lo arrastra unos metros luego desplaza produce el impacto del asegurado con otro vehiculo vehiculo amarok circulaba mano contraria la misma ocupante del vehiculo vehiculo amarok sufre golpe en la cabeza interviene personal policial ambulancia los cuales trasladan al colisionado hasta el hospital general pacheco,comprometida
aa,asegurado circulaba por pampa se me cruza un gato y pegue un volantazoy pegue con mi paragolpes delantero en un auto que estacionado intervino ambulancia same llamo un vecino no hubo examen alcoholemia saltaron los airbag cabe destacar que en el vehiculo asegurado iba la novia del conductor la cual sufre golpes varios,asegurado circulaba por pampa me cruza gato pegue volantazoy pegue con mi paragolpes delantera en auto estacionado intervino ambulancia same llamo vecino no hubo examen alcoholemia saltaron los airbag cabe destacar en el vehiculo asegurado iba la novia del conductor la cual sufre golpes varios,comprometida
aa,asegurado circulando por  embiste con parte delantera a un tercero el cual frena de golpe por transito tercero conductor presenta dolor de cuello se retira sin asistencia  sin desplazamientos,asegurado circulando por embiste con parte delantera tercero el cual frena golpe por transito tercero conductor presenta dolor cuello retira sin asistencia sin desplazamientos,comprometida
aa,conductora asegurada no llega a frenar y toca la parte trasera del auto de adelante la tercero conductora acusa latigazo cervical sin desplazamiento,conductora asegurado no llega frenar toca la parte trasera del auto delante la tercero conductora acusa latigazo cervical sin desplazamiento,comprometida
aa,asegurado detenido por semaforo sobre calle gral hornos ante senalizacion del mismo para comenzar a circular retoma la marcha y colisiona levemente con un tercero que tenia delante impactando con su parte delantera sobre la parte trasera del tercero este manifestia dolores en el cuello sin desplazamientos,asegurado detenido por semaforo calle general hornos ante senalizacion del mismo para comenzar circula retoma la marcha colisiona levemente con tercero tenia delante impactado con su parte delantera la parte trasera del tercero este manifestia dolores en el cuello sin desplazamientos,comprometida
aa,vh aseg doblaba desde calle hacia av constituyentes cuando es colisionada a su angulo delantero izquierdo al lateral derecho de un peugeot patente aaxp que circulaba sobre sobre la ultima el caul realiza una mala maniobra sobrepasando a un colectivo detenido sin semaforos sin lesiones ni desplazamientos,vehiculo asegurado doblaba desde calle hacia avenida constituyentes es colisionado su angulo delantera izquierda al parte derecha peugeot patente aaxp circulaba la ultima el caul realiza mala maniobra sobrepasando colectivo detenido sin semaforos sin lesiones ni desplazamientos,comprometida
