cod_accidente,responsabilidad,descripcion_del_hecho - Final
AA    ,COMPROMETIDA,circulando cuando vh venia delante mio frena yo tambien hago pero no llego a hacerlo por completo y colisiono con mi parte delantera en su parte trasera no hubo otros terceros involucrados ni lesionados datos del tercero desconoce fiat fiorino osw desconoce
AA    ,COMPROMETIDA,vh aseg circulaba por calle libertad al entre chacabuco y bolivar y choca al vh del tercero en parte trasera con su parte delantera fiat uno aseg a su vez este tercero se desplaza y choca a otro tercero con su parte delantera ignora datos
AA    ,CONCURRENTE,asegurado circulando por av jujuy al llegar a interseccion con av caserossen verde es colisionado en lateral trasero izquiero con parte delantera de un tercero circulaba por ultimasen rojo sin desplazamiento interviene policia y ambulancia asegurada fue trasladada al hospital penna por lesiones cervicales se encuentra con cuello ortopedico ro tambien fue trasladado al hospital penna
AA    ,COMPROMETIDA,asegurado circulaba por cabildo cuando dobla por congreso choca al tercero estaba detenido por semaforo en parte trasera sin desp sin lesiones
AA    ,COMPROMETIDA,asegurado detendio por semaforo es embestido en su parte trasera derecha por un tercero vw saveiro con su parte delantera asegurado y su acompanante sufren lesiones en siniestro interviene otro vehiculo detenido a par del asegurado y adelante de una moto tres fueron embestidos por separado por tercero vw saveiro d
AA    ,COMPROMETIDA,circulando por avenida rivadavia vehiculo circulaba delante mio frena y no logro detener mi rodado a tiempo y impacto en su parte trasera
AA    ,COMPROMETIDA,tercero circulando por pinzon al llegar a interseccion nuestro aseg se detiene y es colisionado por un tercero arrastra tromap con su lateral izquierdo arrancandole paragolpe a raiz del accidente conductora de camioneta declaro tener dolor de cabeza por intervino same y traslado al hospital intervino cria pfa d
AA    ,COMPROMETIDA,asegurado en calle gral hornos no alcanza a frenar y colisiona con parte delantera parte trasera de un terceropatrullero sin dar aviso ni poner balizas maniobra para estacionar asegurado y policia fueron trasladados en amb al hospital no presentaron lesiones graves
AA    ,COMPROMETIDA,frena yo freno pero llego igual a chocarlose retira pero luego me llama y acompano hasta guardia del htal boulogne ya deca sentirse mareado igualmente fue conduciendo hasta dicho hospital yo acompane desde mi auto adelante ya no conoca zona y me segua en su auto manejando
AA    ,COMPROMETIDA,choque en cadena en cual primero freno de golpe empezaron a chocar otros autos y llegue a frenar pero autos se fueron para atras resulta con lesiones acompanante del asegurado
AA    ,COMPROMETIDA,vh aseg circulaba por colect au del oeste y en cruce con av victorica se produce choque con parte delantera del vh tercero con lateral derecho del vh aseg en vh aseg se lesiono acompanante con dolor en rodilla no intervino policia ni ambulanciad
AA    ,DISCUTIDA,parado para doblar a izquierda con semaforo soy chocado de atras y por impacto choco a un auto delante mio
AA    ,COMPROMETIDA,asegurado saliendo de wallmart embisti con parte delantera derecha al lateral derecho puerta de tercero venia circulando por calle de circulacion de dicho lugar transversal luego este tercero se desplaz y embisti con un separador de estacionamiento tercero con golpe en costillas hubo intervencion policial y ambulancia
AA    ,COMPROMETIDA,vh asegurado circulando por araoz al llegar a interseccion con padilla asegurado intenta sobrepasar a un tercero circulaba al lado suyo sobre araoz y no ve al patrullero venia por padilla produciendose colision de parte delantera izquierda del vh asegurado a parte delantera derecha del tercero uno de ocupantes del patrullero manifesto dolores en cuello interviene policia y ambulancia traslada a ella y al conductor a un hospital asegurado desconoce dandolos luego de alta sin lesionados
AA    ,COMPROMETIDA,assegurado circuland por calle pellegrin esq almirante brown impacta a unterceo circulaba por almirante brown asegurado impacta con prte delantera en parte lateral izquierda del aseg sin desplazamientos
AA    ,COMPROMETIDA,iba circulando y un vh venia circulando a mi izquierda me impacto con su lateral derecho en extremo delantero izquierdo de mi vh debido a estaba en marcha luego arranco mi paragolpe delantero con parte trasera de su vhintente conseguir sus datospero ro no quiso brindarmelos y se dio fugaconsegui datos del propietario del vh porque pude anotar patentepero desconozco si se trata de conductora al momento del stro desconoce datos del seguro del ro no hubo otros terceros involucrados ni lesionados datos del tercero andrea cecilia bordon fiat idea hoh desconoce d
AA    ,COMPROMETIDA,circulando por puente pueyrredn en do carr de derecha a izquierda estando por tomar bajada hacia h yrigoyen un auto sirocco blanco me embiste desde izquierda y pierdo control del auto y choco contra guardrail sirocco fren y luego se di a fuga
AA    ,COMPROMETIDA,aseg circulaba sobre av diaz velez un taxi circulaba delante se detiene para levantar a un pasajero y es embestido en su parte trasera por parte delantera del vh asegurado tercero presenta lesiones en su espalda producto del impacto sin desplazamientos
AA    ,COMPROMETIDA,colisione por parte trasera del automvil se identifica como tercero mismo estaba detenido a su vez este colision con automvil tena delante ampliacion va estaba circulando por cramer cuando a altura del frenan vehiculos por trafico ella no llega a frenar y embiste a una renault kangoo cual se desplaza y embiste a otro vehiculo estaba delante de esta ultima va no contesta si circulaba sola o acompanada en kangoo solo vio a dos personas del otro rodado no tiene datos intervino policia y se labro sumario en comisaria ba hay examen de alcoholemia cual habria dado negativo pero no tiene comprobante de ello tambien hay extraccion sanguinea y muestra de orina no responde mas consultas dado ya realizo mismo cuestionario cuando fue a sucursal de cia
AA    ,COMPROMETIDA,asegurado circulaba por av callao cuando colisiona con parte delantera a parte trasera de un tercero se detuvo por semaforo asegurado informa tercero indico dolia cintura no hubo desplazamientosd
AA    ,COMPROMETIDA,vh aseg circulaba por calle zorzal impacta con su parte delantera izquierda en lateral izquierdo de un tercero circulaba por calle picaflor sin desplazamientos ni lesionados
AA    ,COMPROMETIDA,vehiculo asegurado se encontraba circulando por av domingo olivera cuando colisiona con parte delantera izquierda en parte trasera derecha de un tercero se encontraba circulando delante y se detiene debido al semaforo tercero indico un dolor en cuello interviene policia sin desplazamientos tel ampliacionnone hablo con asegurado me comenta viernes llovia nunca habia pasado pero tercera freno en semaforo y no llego y toco levemente no hubo lesiones ella decia dolia un poco cuello tercera circulaba sola y asegurado con dos amigas me va a mandar datos de tercera por whatsapp
AA    ,COMPROMETIDA,me encontraba circulando cuando por una distraccion embisto al vh del tercero en su parte trasera izquierda con mi parte delantera no hubo otros terceros ni personas lesionadas involucradas datos del tercero banegas gustavo martin renault megane ceg copan
AA    ,COMPROMETIDA,circulando por scalabrini ortiz al un taxi quiso sobrepasar al vh tenia detenido delante cuando realiza dicha manobra hacia izquierda se produce colision con mi vh se mete en mi carril de circulacinsin lesionados ni despalzamientosse rectifica fecha fecha real de ocurrencia es
AA    ,COMPROMETIDA,circulando por beltran cuando giro por calle del valle iberlucea momento en se produce colision con una persona a quien toca levemente con espejo lado izquierdo cae al piso participo ambulancia pero no quiso asistencia por parte de decia dolia espalda
AA    ,COMPROMETIDA,circulaba en forma atenta por ruta cuando al llegar a interseccion con calle margaritas cuando de manera imprevista siento un impacto en mi parte trasera me desestabiliza provocando mi colision con renault break patente vjf venia circulando en sentido contrario a raiz del impacto tanto mi hija como yo sufrimos distintos golpes y lastimaduras y al igual conductor del r fuimos trasladados al hospital de ezeiza por ambulancia municipal
AA    ,DISCUTIDA,circulando por avjuan d pern san justo hacia rn habiendo casi pasado cruce con calle dr eeizaguirreun peugeot ingresasin luces reglamentarias encendidas a av a velocidad y sin disminuir misma embiste mi vehculo en lateral derecho a causa del hecho novia de mi hijo conducia sufre lesiones leves intervino policia ampliacion va estaba circulando por av juan domingo peron cuando al estar cruzando calle eizaguirre resulta embestido en su puerta delantera derecha por un peugeot arriba de derecha de ultima de mencion va circulaba con novia y tercero solo intervino policia y se labro sumario en cria de san justo hay extraccion sanguinea y alega no haber ingerido alcohol no intervino ambulancia novia del conductor asegurado fue trasladada a un htal por su madre tercero no tenia seguro pero conductor asegurado quiere ver de reclamar de cualquier forma franquicia del arreglo del vehiculo asegurado ya inspeccionaron rodado asegurado
AA    ,DISCUTIDA,circulando por avenida alberdi sale de estar estacionado un tercero me embiste provocando rotura de parabrisas opticas capot radiador sin terceros lesionados coductor del vh aseg tiene un corte en cabeza y corte en mano
AA    ,COMPROMETIDA,vh asegurado coliciona a vh del tercero lvf en su parte trasera y este se desplaza hacia otro vh estaba delante al mismo se retiro
AA    ,CONCURRENTE,asegurado circulaba por av cristiania al estar girando a izquierda hacia av central con semaforo verde a su favor fue embestido en lateral delantero derecho por frente de tercero circulaba por av cristiania sobre carril mano contraria cabe aclarar tercero es una movil policial circulaba sin sirena encendida acomp del b con golpes leves cond aseg con golpes en brazo pierna y costillas hubo intervencion de ambulancia y policia
AA    ,COMPROMETIDA,aseg circulando sobre calle unamuno al girar para ingresar a calle bolivia colisiona a un tercero con su parte delantera lateral derecha en parte trasera lateral izquierda de este sin desplazamientos tercero manifesto dolencia de cuello y fue trasladada al hospital de quilmes fue trasladada por una ambulancia intervino intervino movil policial
AA    ,DISCUTIDA,yo circulaba por avenida bustamante tercero circulando sobre calle ogghins impacta con parte delantera en lateral delantero izquierdo sin mas vhls involucrados aseg con latigazo cervical
AA    ,DISCUTIDA,vehiculo asegurado detenido por transito sobre acceso oeste al iniciar marcha es colisionado en su parte delantera derecha con parte delantera izquierda de un tercero camioneta de gendarmeria se circulaba sobre mismo y se cambio de carril por impactoel vh asegurado queda sobre ruedas izquierda y colisiona con guardarrail de ruta en vehiculo de gendarmeria uno de acompanantes iba detras presenta golpes se acerca ambulancia no revisa en lugar ni traslada no intervino otra fuerza de seguridad
AA    ,COMPROMETIDA,asegurado circulando sobre ruta colisiona su parte delantera contra parte trasera de un tercero detenido delante conductor del otro vehiculo con golpe en cuello y pomulo intervino policia y ambulanciafue derivado a hospital de pilard
AA    ,COMPROMETIDA,asegurado circulando por calle lasalle embiste con su parte delantera a un tercero fiat palio en su parte trasera tercero se desplaza y embiste a otro vehiculo vw gol con su parte delantera en parte trasera conductor del vehiuclo vw gol sufre lesiones no intervino ambulancia ni policia
AA    ,CONCURRENTE,asegurado circulando sobre av santa fe al llegar a interseccion con av scalabrini ortiz colisiona con parte delantera izquierda a parte delantera de un tercero circulaba por ultima av mencionada en vh tercero taxi pasajero es asistido por same no informa lesiones y se retira intervencion policial desplazamientosd
AA    ,CONCURRENTE,asegurado circulando sobre calle domingo matheu al llegar a interseccion con calle constitucion colisiona con parte delantera en parte lateral trasera derecha de un tercero taxi circulaba por ultima calle mencionada en vh tercero conductor del taxi y dos acompanantes pasajeros femeninos una de ellas con golpe leve en espalda por impacto sin intervencion policial ni de ambulancia sin desplazamientos
AA    ,COMPROMETIDA,iba por carril rapido en av int hernan m giralt puerto madero con direccin al sur al cruzar av machaca guemes auto iba adelante mio sin aviso de luces o balizas frena a kmh para doblar en u prohibido hay linea doble amarilla y yo no llego a frenar y encima auto patina por calzada mojada y golpeo en parte trasera derecha de su auto y su rueda sin desplazamiento sin lesionados
AA    ,CONCURRENTE,asegurado circulando por una calle al cruzar av sarmiento es colisionado en lateral derecho por un tercero donde resulta un tercero acompanante con golpes interviene policia y ambulancia
AA    ,DISCUTIDA,saliendo de estar detenido de mi cochera particular me detengo para chequear no venga nadie y soy colisionado por un auto venia por misma danando parte delantera izquierda guardabarro con impacto recibo me desplace colisionando a un er auto estacionado con mi parte lateral derecha aseg presenta lesiones cervicales se hizo revisar en hospital pirovano en otro auto figura conductor derivado al pirovano hubo intervencion de ambulancia y policial
AA    ,COMPROMETIDA,asegurada circulaba por calderon de barca al cruzar ruta un tercero cede paso y de repente aparece otro auto por mano derecha otro auto cual colsiona al vehiculo asegurado a causa del hecho companero de trabajo de asegurada sufre lesiones leves dolor en un brazo sin intervencion policial ni ambulancia ampliacion va estaba circulando por calderon de barca cuando al arribar a interseccion con ruta gira a izquierda y resulta embestida en su lateral derecho por un tercero auto circulaba por misma ruta pero en sentido contrario va circulaba con un companero de trabajo cual tuvo un golpe en brazo y contractura tercera circulaba sola no intervino policia ni ambulancia
AA    ,DISCUTIDA,asegurado maniobrando desde gral hornos para tomar suarez tercero circulando por primera impacta en parte trasera derecha con parte frontal senora dentro del colectivo con lesiones sin desplazamientosd
AA    ,DISCUTIDA,vehiculo asegurado circulaba por repetto siendo embestido por un tercero de mano derecha con frente a puerta trasera derechael asegurado hace trompo quedando vehiculo en contramano sin tocar con nadietercero se desplaza sin tocar a nadie lesionados aseguradoesposa e hija conductoray acompanante del tercerote asegurado conducia lucila d ampliacion va estaba circulando por repetto cuando al comenzar a cruzar tres arroyos resulta embestida en su puerta trasera derecha por un tercero arriba de derecha de ultima de mencion producto del stro va hace un giro y queda orientada con sentido contrario al llevaba intervino policia y ambulancia se labro sumario pero no hay extraccion sanguinea no habia lesiones de consideracion en street view se ve un cartel de pare pero tapado tal como indico pablo durante cuando nos derivo caso va no puede precisar si en vehiculo tercero habia o ocupantes enviara datos del terceros
AA    ,COMPROMETIDA,asegurado circulando av santa fe llovia me encerraron se me bloquean frenos y embisto a un taxi estaba estacionado sobre santa fe con mi parte delantera derecha su parte trasera y este se deplaza hacia adelante y embiste a una camioneta este tambien estaba estaconada esta se desplaza y embiste a un ford ka sin mas desplazamientos ni lesiones consuctor del taxi estaba dolorido en piernas y pecho pero no intervino ambulancia policia solo actuo de oficio sin labrar actas
AA    ,DISCUTIDA,asegurada circulando cuando siente un impacto cual es provocado por un auto renault clio cual no sabe de donde salio y este impacta unidad asegurada en lateral derecho parte delantrera por impacto asegurada se desplaza y colisiona a un ford focus estacionado con su lateral izquierdo sin desplazmaientos ni lesiones ampliacion denuncia tercero f focus se desplaza y colisiona con su parte delantera en parte trasera de un cuarto tercero sin datos estacionado sobre misma acompanante vh asegurado sufre lesiones
AA    ,COMPROMETIDA,vh circulando por av don bosco vh tercero detenido por semaforo en misma av asegurada no llega a frenar y embiste con su parte delantera al tercero en su parte trasera sin desplazamiento en ese momento no interviene ningun tipo de autoridad ni ambulancia ni manifiesta ningun dolor se van dos por sus propios medios dia de hoy tercero se comunica con asegurada para indicarle tenia dolor en cuello y habia perdido conocimiento por cual esta internado en clinica
AA    ,COMPROMETIDA,circulando por colectora de aut panamericana a altura de calle cangallo un b circulaba por colectora dobla hacia cangallo y asegurado embiste con parte frontal al lateral derecho del tercero conductor del tercero sufre golpes asimismo titular de poliza y hermano del mismo con golpes interviene policia y ambulancia traslada al hermano del titular al htal de san isidro y luego a clinica bazterrica con lesiones graves en cabeza sin desplazamientos
AA    ,CONCURRENTE,asegurado circulando sobre calle liniers y en interseccion con de abril desde izquierda se cruza un tercero y se produce colision tercero conductor resulta con golpes interviene policia y ambulancia
AA    ,COMPROMETIDA,conductor sanchez formisano mauro gonzalo du fecha nac domicilio estrada de lomas de zamora estaba detenidos sobre saenz con semafor en rojo cuando personal policial de transito a causa de presencia de una ambulancia en emergencia hace avanzar cruzando avenida y cuando estaba ingresando en do carril es impactado por un vehiculo venia por esta ultima en lateral derecho con conductor viajaba su amigo sr rosales jorge antonio a causa del impacto asiste ambulancia y es llevado al htal gandulfo
AA    ,DISCUTIDA,renault clio circulaba en alta velocidad choca a sandero e sandero choca un costado a un corsa classic danificados rosana barbosa golpe en espalda e matias prebetera golpe producto del choquecuello con contracturasd
AA    ,COMPROMETIDA,circulando por sullivan cuando se detiene transito no llego a frenar y colisiono con mi frente en parte trasera de un agile venia delante este se desplaza y colisiona a un siena tenia delante sin lesiones
AA    ,COMPROMETIDA,conductor venia circulando por camino de buen ayre cuando al bajar y tomar camino de ribera es impactado en su lado izquierdo por un vehculo al momento del impacto conductor queda inconsciente y sufre diferentes lesiones este es sacado del vehculo por personal de bomberos en este nterin se extravan documentacin personal registro tarjetas de creditodebito
AA    ,COMPROMETIDA,me encontraba a bordo de mi vh sobre avda mhonorio pueyrredon en interseccion con avda warnes cuando al abrir puerta del conductor una moto pasa junto a mi vh y toma contacto con misma cayendo su unico tripulante al suelo hubo intevencion del same y de policia vh quedo secuestrado asegurado no posee datos del motociclista debido a este perdio conocimiento a raiz del siniestro no hubo lesionados ni otros terceros involucrados en stro mas alla de declarado datos del tercero desconoce desconoce desconoce
AA    ,DISCUTIDA,vh asegurado circulaba por calle hidalgo cuando es colisionado en su pate delantera derecha con parte trasera izquierda de un tercero encerro al asegurado para doblar a izquierda hacia calle mariano antezana sin lesionados ni desplazamientos
AA    ,DISCUTIDA,asegurada circulaba por calle ituzaingo al cruzar calle parque un tercero circulaba por esta ultma calle colisiona al vh aseg en lateral delantero izquierdo con su parte delantera sin lesionados
AA    ,COMPROMETIDA,vh aseg circulaba sobre calle baranda cuando impacto con su parte delantera ante parte trasera de un ro circulaba adelante y se detiene por trafico sin desplazamientos ni lesionados
AA    ,COMPROMETIDA,me diriga por calle al llegar a interseccin con calle veo un vehculo viene sobre freno pero vehculo no alcanzo a detener mi vehculo pero no logro evitar impacto en zona media posterior del mismo
AA    ,CONCURRENTE,asegurado sobre autopista por carril lento cuando es alli a un tercero pierde control haciendo un trompo dado impacta agua en su parabrisas y reduce vision frena de repente invadiendo carril del asegurado se porduce impacto en parte trasera izquierda del tercero y parte delantera izquierdo del asegurado sin lesiones ni desplazamientos
AA    ,DISCUTIDA,asegurado circulaba por gral paz cuando un tercero circulaba por delante de se detiene y vhl asegurado no llega a frenar y impacta con su parte delantera y a su vez por otro tercero impacta en parte trasera con parte delantera del segundo tercero conductora de vhl asegurado es trasladado por ambulancia y tercero del segundo vhl es trasladado por ambulancia tambien un mayor y un menor
AA    ,COMPROMETIDA,circulaba por gral paz sentido a caba por carril rapido con lluvia cuando de repente me encuentro con un auto completamente detenido con su conductor en interior y no llego a frenar del todo y embisto a mencionado tercero en su parte trasera a consecuencia del impacto mi acompanante delantero novia sufrio lesiones leves y conductora del vh b tambien quienes fueron asistidas en lugar del hecho por ambulancia y trasladadas al hospital fox se desplazo hacia adelante colisionando con otro tercero se dio a fuga sin aportar datos_ alicia orrego alonso de julio temperley dni lesion rectificacion de columna novia del conductor datos del tercero arregui silvana gabriela vw fox fly
AA    ,COMPROMETIDA,asegurado circulando por aut gral paz a altura de av cabildo al querer cambiar de carril por piso humedo vhl gira en trompo perdiendo control y colisiona su delantera izquierda con parte trasera derecha del tercero e impacta contra un guard raid con su lateral izquierdo vhl sin movilidad sin lesiones intervino policia venia por gral paz sentido norte
AA    ,COMPROMETIDA,asegurado detenido por semaforo en calle milton al retomar marcha colisiono con parte delantera a trasera de un tercero honda se encontraba detenido delante por imacto tercero se desplaza y colisiona con frente a parte trasera de otro tercero ford delante en fila conductor de ford acusa dolores en su espalda
AA    ,COMPROMETIDA,venia por calle sullivan cerca de su cruce con mariano acosta al momento un vehiculo de adelante frena repentinamente y se produce colision entre mi parte delantera y parte trasera del otro vehiculo sin desplazamientos acompanante del conductor se golpeo cabeza ampliacion va estaba circulando por sullivan cuando antes de interseccion con mariano acosta embiste a un rodado circulaba delante de y frena de golpe por un lomo de burro va circulaba solo y en otro auto habia dos ocupantes no intervino policia ni ambulancia terceros no tenian seguros formalizo denuncia en sucursal de fondo de legua
AA    ,COMPROMETIDA,asegurado circulando sobre calle lafinur en interseccion con calle federico chopin colisiona con un terceor circulaba sobre ultima con parte delnatera derecha en parte delantera izquierda del tercero consductor del tercero con golpe en brazo
AA    ,COMPROMETIDA,vh asegurado circulaba por pagola cuando al cruzar interseccion con pirovano es colisionado en parte lateral delantera izquierda por parte frontal del tercero circulaba por misma ante colision tercero vuelca tercero lesionado junto a menor de anos retiran en ambulancia hacia centro medico asegurado realiza denuncia policial
AA    ,CONCURRENTE,iba circulando por calle achaval al llegar a interseccion con centenario uruguayo miro a izquierda sin ver viniera nadie y al adelantarme para mirar hacia derecha y terminar de cruzar colisiono con mi parte delantera al lateral izquierdo de un tercero circulaba sobre centenario uruguayo pero por carril de contramano ya suyo estaba reducido por arreglos a raiz del impacto conductor del tercero resulta lesionado hubo intervension policial y de ambulancia quienes trasladan al tercero al hospital evita de lanus sin desplazamientos
AA    ,DISCUTIDA,vehiculo asegurado circulaba sobre calle pasco cuando al llegar a calle litoral es colisionado en su parte delantera derecha con parte delantera de un tercero circulaba sobre ultima calle mencionada tercero acompanante mujer circulaba sin cinturon aparentemente esta lesionada no se sabe tipo de lesion presenta estan trasladando a hospital gandulfo por medio de ambulancia intervino policia sin desplazamientos
AA    ,COMPROMETIDA,vh aseg circulando por calle gral eduardo munilla embiste con parte delantera en parte trasera a un tercero frena repentinamente por transito personas en vh tercero presentaban dolores posible reclamo de lesiones
AA    ,COMPROMETIDA,venia en circulalcion y al estar cruzando bocacalle no puedo evitar chocar con mi frente delantero derecho a un tercero cruza en foma imprevista en su lateral izquierdo sin desplazamiento sufriendo lesiones leves un tercero iva en otro auto y acompanante del auto asegurado
AA    ,COMPROMETIDA,circulando por crisologo larralde al ponerse en rojo semaforo freno pero no llego a tiempo y colisiono parte trasera del vehiculo me precedia resulta lesionado tercero con un latigazo en cuello interviene policia y ambulancia traslada al htal de tigre luego de cual no posee mas noticias sin desplazamientos
AA    ,COMPROMETIDA,aseg circulando sobre calle moreno en interceccion con calle chacabuco es colisionado por un tercero circulaba por esta ultima en su parte delantera derecha con parte delantera de este sin desplazamientos tercero manifesto dolencia en cuello no intervino movil policial ni ambulanciad
AA    ,DISCUTIDA,aseg circulando sobre au del oeste km carril derecho hacia lujan tercero circulando sobre misma intenta pasar por izquierda y impacta en parte trasera izquierda producto de esto aseg hace varios trompos e impacta en lado derecho con guarray quedando en posicion final mirando en contramanoel tercero vuelca intervencion de policia y ambulancia tercero con lesiones trasladan a hospital aseg y acompanante companera de trabajocon dolor de cuello interviene polciia y ambulancia
