cod_accidente;descripcion_del_hecho - Final;responsabilidad
aci   ;aseg circulando monroe llegar interseccion videla da paso avanzar colisiona parte delantera derecha rueda trasera tercero circulaba bici ocupante colocado caeno manifesto lesiones retiro propios medios ;concurrente
am    ;vehiculo asegurado giraba derecha tomar lascanosiendo embestido motoa puerta trasera derecha motociclista caeno recuerda llevaba cascono ;comprometida
peatã“n;asegurado ingresando estacionamiento hospital municipal moron verifica puede ingresar realizar marcha atras pisa empleado vigilancia lugar rueda delantera izquierda peaton cayo asfalto atendido hospital ;comprometida
am    ;asegurado circulando san martin onda cruzaba galicia cambia semaforo tercero moto circulaba ultima embiste lateral izquierdoun ocupante cae piso ;comprometida
am    ;aseg circulando rucci colisionado lateral trasero derecho rueda delantera tercero moto cruzo ocupantes cascos colocado caen moto moto lesiones izquierda acompanante lesion menor lesiones brazo izquierdo;discutida
am    ;encontraba circulando avda chiclana moto impacta lateral trasero izquierdo cayendo unico tripulante suelo trasladado same hospital penna lesionados ros involucrados stro mas alla declarado ;comprometida
aci   ;asegurado iba circulando potosi llegar domicilio maniobra atras colisiona bicicleta menor anos ciclista cayo piso asegurado llevo centro atencion upa lanus seguridad recomendaron llevar evita sacar placa ;comprometida
am    ;detenido semanforo avda castanares reinicio marcha mientras avanzo tercero moto circulaba misma contrario dobla u pasandose hacia contraria yop circulaba salio imprevisto detras colectivo llegue impacta lateral izquierdo iban ocupantes caen piso ;discutida
am    ;vehiculo asegurado circulando colon momento detiene giro fines poder doblar izquierda moto circulaba detras colisiona parte trasera moto circulaba sola cae piso utilizaba ;discutida
peatã“n;redgreenlue asegurado circulando boulevard buenos aires asegurado dobla hacia derecha semaforo tomar rodriguez asegurado doblar tercero menor edad rodriguez asegurado embiste parte delantera lesion visible ;concurrente
am    ;asegurado circulando rep guatemala altura interseccion virrey cisneros san justo bs as tercero circulaba ultima moto ocupante asegurado embisti frente derecho lateral izquierdo tercero cae pavimiento pierde conocimiento reincorpora propios medios desplazamientos ;comprometida
am    ;circulando peron moto circulaba derecha cierra repentinamente colisiona lateral derecho persoana moto cae piso llevaba levanta ;comprometida
am    ;asegurado detenido pedro suarez ingresar izquierda lubricentro guino colisionado parte trasera delantera tercero moto ocupante sabe cayo cieculaba detras tercero raspon luego medios moto;comprometida
am    ;circulando directorio aparentemente moto muerde vias lateral derecho moto cae ;discutida
am    ;redgreenlueuc vehiculo asegurado mansilla doblar martinto colisiona lateral derecho motocicleta circulaba misma moto ocupante cae piso ;comprometida
am    ;saliendo domicilio partcular marcha atras miro hacia ambos lados divisar ningdan vehiculo comienzo bajar vereda moto embiste parte trasera frente ocupante cae pavimento levanta propios medios ;comprometida
am    ;asegurado circulando cno gral belgrano esquivar pozo habia misma colisiona tercero moto circulaba misma impactando lateral derecho lateral izquierdo asegurado iba solo ocupante moto llevaba cae levanta retira propios medios ;comprometida
peatã“n;aseg ciruculando roza girar hacia izquierda retomar oliden colisiona parte delantera tercero peaton encontraba cruzando ultima mencionada tercero cae suelo ;comprometida
aa    ;congestionada frenar vehculo venia delante mio puede frenar tiempo embest;comprometida
am    ;circulaba cabildo llegar echeverria moto intenta sobrepasarme derecha embiste parte lateral derecha cae reincorporandose inmediato propios medios ;comprometida
am    ;aseg encontraba circulando aguero poner luz giro girar hacia bramante iniciar maniobra aseg roza parte delantera tanque nafta moto solo ocupante cae suelo producto ;comprometida
aci   ;;comprometida
am    ;aseg maniobraba salir gge parte delantera derecha ro moto circulaba alli moto ;comprometida
am    ;venia circulando dispongo doblar derecha armenia moto venia derecha impacta lateral trasero derecho sel moto cae ;comprometida
am    ;asegurado ingresaba domicilio moto transitaba mas atras impact eel lateral trasero derecho vehuclo asegurado motociclista cay suelo tena puesto levant intercambiaron datos retir;comprometida
am    ;circulaba emilio mitre cruzar peron motociclista pasa impacta derecha momento presento solicito presencia same evaluo necesario traslado motociclista hospital;concurrente
am    ;circulaba marzo casi terminando cruzar ate brown embestida lat izq parte moto solo ocupante cae pavimento incorpora medios obseva lesiones motociclista int;discutida
am    ;encontraba aguardo cruzar arranco marcha cruzando veo viene moto izquierda freno pongo marcha atras igualmente colisiona parte izquierdael motociclista cae moto baja caminando llevaba ;comprometida
am    ;redgreenlueasegurada circulando roca gira izquierda tomar oabrien habilitada semaforo produce colision parte delantera moto circulaba roca contrario cruzando semaforo iba sobrepasando derecha encontraban detenidos semaforo asegurada puede confirmar iban personas moton caen asfalto ;discutida
am    ;asegurado circulaba jose marmol girar derecha moto quiere pasar izquierda embiste espejo retrovisor izquierdo moto iba sola persona tenia golpea auto estacionado cae suelo levanta llama same dolia traslada same cel cond aseg diaz dario ;comprometida
am    ;vehiculo asegurado circulaba yrigoyen colisionado lateral trasero derecho tercero moto persona circulaba misma raiz persona cayo asfalto luego intercambiar datos retiro cuenta desplazamientosd asegurado ;comprometida
am    ;detenida semaforo illia desliza freno auto desplaza toco frente moto delante mio moto cae suelo llevaba levanta medio lesiones aparentes ;comprometida
am    ;circulando llavallol cruce cervantes motocicleta venia ultima mencionada alta velocidad frena colisiona lateral derecho medio auto puertas luego desplazo subo vereda ninguna colision adicional mas eros involucrados moto iba sola persona pega auto cae suelo asisto sufrio golpes dolores generales visible conciente pocos minutos acude trasladan hospital desconozco vehiculo queda comisaria cale buffano mas involucrados cel ;comprometida
am    ;asegurado circulando tercero acompanante circulando asegurado girar hacia izquierda luz giro puesta entrar estacionamiento tercero embiste parte asegurado desconoce parte lateral delantero izquierdo asegurado tercero acompanante lesionados ;comprometida
aa    ;aseg circulando panamericana queda medio stro cadena subre corte varias costillas fracturadas femininos posibles lesionadas ;comprometida
am    ;asegurado circulando mariano castex cambiar carril colisionado lateral derecho moto circulaba detras desplazamientos personas circulaban moto cayeron piso ;comprometida
am    ;vehiculo asegurado circulaba gaspar campos ingresar garage hacia izquierda luz giro puesta moto intenta sobrepasarlo lado colisiona lateral izquierdo vehiculo asegurado motociclista llevaba cae piso tenia golpe ;comprometida
am    ;asegurado maniobraba cnel juan terrada doblar derecha hacia adolfo pedro carranza colisiona parte lateral derecha moto circulaba cnel juan terrada moto tenia ocupantes ambos tenian cayeron piso presentaban lesiones visibles retiraron propios medios ;comprometida
am    ;encontraba circulando saenz pena hacia plata llegar interseccion tucuman darme cuenta venia moto alta velocidad chocarla clavo freno toco apenas lateral frontal hizo caigan piso ambos paso datos voy ;comprometida
am    ;manejaba carriego interseccion claudio alas frena moto chica personas logro frenar tiempo choco atras;comprometida
am    ;aseg circulando aut ricchieri llegar interseccion ohiggins coloca luz giro maniobra doblar aparece moto circulaba autopista izquierda embiste lateral delantero izquierdo moto motociclista cae piso lastimandose costado torax brazo ;comprometida
am    ;don bosco balizas colocadas teniamos rueda pinchada moto embiste parte delantera izquierda cambiamos carril habia detenido cae piso ;comprometida
am    ;circulaba llegar giro izquierda momento girar di cuenta tenia moto lado giro toco guardabarro;comprometida
aa    ;circulaba balbin intencin colisiono tercero parte trasera parte delantera dicho dicho tercero impacta do tercero parte trasera parte delantera do tercero vw suran patente petpaz claudia natalia dni federacion patronal poliza parte trasera terceros involucrados lesionados datos tercero pablo arturo gru ford focus pfk qbe seguros;comprometida
aa    ;colectora panamericana casi thames cambio semaforo frenada intempestiva ;comprometida
peatã“n;asegurado circulando h yrigoyen girar caputo hacia derecha embiste u lateral derecho peaton cae pavimento levanta propios medios asiste amnbulancia desplazamientos;comprometida
am    ;aseg circulaba formosa maniobrar congreso parte lateral ro moto circulaba formosa desplazamientos lesionados ;comprometida
am    ;asegurado circulando alem doblar espana derecha colisionado guardabarro delantero derecho llanta moto circulaba derecha gran velocidad moto cae piso retiro propios medios ;comprometida
aa    ;aseg circulaba cabred curva esquivar desplaza cayendo dentro zanja vehiculo dano parte delantera lateral izquierdo opticas capot etc acompanante amiga sufre golpes raiz atendida clinica guemes lujan mas desplazamientos;comprometida
am    ;vehiculo asegurado circulando gral paz cambiar carril colisiona lateral derecho motocicleta circulaba carril derecha moto ocupante cae piso ;comprometida
am    ;maniobraba balizas puesta estacionar auto paralelo cordon derecha manera imprevista moto intenta meterse espacio habia auto cordon colisiona ptd pdd motociclista cae suelo tampoco sufre lesiones desvanecimiento terceros involucradosno terceros involucrados lesionados datos tercero alegre martin benelli tn aswy atm;comprometida
am    ;aseg saliendo marcha atras garage golpea moto circulaba irala sola persona cae asfalto brazo raspado incorporo medios retiro moto presento lugar;comprometida
am    ;detenido detras colectivo lafuente avanzaba puse guino sobrepasarlo asome lateral avance metros moto venia detras interpreta maniobra impacta lateral delantero derecho unidad unico ocupante moto llevaba cayo piso sufrio lesiones leves dedo menique izq asistido lugar trasladado hospital retirandose propios medios andando moto vhs involucrados lesionados ;comprometida
am    ;asegurado circulaba necochea cruce rivadavia tercero circulaba ultima impacta lateral izquierdo desplazamientos moto solo ocupante cae piso presentaba golpe ;discutida
am    ;asegurado circulaba indart girar izquierda ingresar garage embestido lateral delantero derecho lateral izquierdo tercero moto venia contraria misma ocupante moto cay asfalto desplazamientos ;comprometida
am    ;aseg circulaba vcoll inter matheu colisionado lateral delantero derecho moto circulaba matheu moto iba solo ocupante llevaba cae piso presentaba lesiones inter policial ambulancias retiro lugar propios medios brindar datos;concurrente
am    ;venia circulando coletta llego bocacalle moto circulaba moreno impacta vehiculo trompa vehiculod;comprometida
aa    ;circulando david magdalena lllegar interseccion belgrano produce colision parte delantera parte trasera derecha camioneta circulaba belgrano raiz camioneta desplaza embiste estacionadosin lesiones;concurrente
am    ;circulando msma giro hacia derecha girar siento golpe lateral trasero derecho bajo verifico haba colisionado moto cazco persona manifest bien presentaba lesiones quizo;comprometida
am    ;circulaba ruta llego esquina doblo derecha ahi visualizo motounico ocupante vena derecha realizo mala maniobra doblo abruptamente terminamos impactando parte delantera parte trasera derechano ;comprometida
am    ;circulando rivadavia carril rapido cuanao repente unacamin sale estacionado volanteo toco cubiertad elantera derecha moto pasando toco tobillo cae paramos metros mas adelante intercambiamos datos retira ;comprometida
am    ;asegurado circulando uruguay interseccion aparcero colisiona frente derecho moto circulando ultima caen piso ;comprometida
am    ;aseg circulando davilaal llegar intersecciongira hacia derechacolisiona paragolpe delantero izquierdo parte delantera terceroque circulaba jose marti ocupantescon cascose caen pisono ;comprometida
am    ;vhl asegurado encontraba circulando girando hacia derecha salia garage embestido tercero moto circulaba misma embiste lateral parte delantera moto llevaba cae pavimento vereda contraria levanta propios medios golpes rodillapierna ;comprometida
am    ;circulaba hip yrigoyen falucho entrar estacion servicio moto quiera pasar embiste parte trasera izquierda sola persona moto cae piso levanta solo retirado;comprometida
am    ;asegurado circulaba laprida llegar inteseccion alvear colisiona parte delantera moto ocupantes antecedia detuvo semaforo moto cae piso ocupantes presentaban lesiones visibles retiraron propios medios tras intercambiar datos ;comprometida
am    ;circulando lamadrid doblar hacia izquierda tomar encuentro moto circulaba lamadrid contrario colisiona parte delantera izquierda farol tercero cae piso manifesto lesiones graviedad solo hospital wilde posibles lesiones dedo ;comprometida
am    ;asegurado iba circulando serrano doblando hacia asamblea izquierda colisionado moto venia serrano contraria lateral trasero derecho moto motociclistas cayeron piso llevaban ;comprometida
am    ;aseg circulaba olavarria doblar tomar patricios embiste lateral izquierdo moto realizaba misma accin motociclista utilizaba caeysobre pavimento presentaba lesiones visibles contaba dolor piernas retir lugar propios medios ;comprometida
aa    ;circulaba consejal jose dans rey doblo derqui tercero freno embisto parte trasera parte delantera tercero lesionados ;comprometida
am    ;circulando colectora panamericana moto circulaba vehiculo intentar pasarme carril izquierda veo moto continuo maniobra lna moto termina impactando lateral izquierdo paragolpes trasero espejo retrovisor ;comprometida
cicl  ;asegurado estacionado abrir puerta trasera izquierda bajar colisionada ciclista circulaba misma ciclista cae suelo lesiones visibles ;comprometida
am    ;circulaba rawson llegar esquina jose ingenieros llego frenar choco atras moto venia delante;comprometida
am    ;aseg saliendo garage domicilio chacabuco detiene colisionado terceromoto circulaba parte trasera manubrio misma tenia solo ocupante puesto cayo piso manifesto dolencia alguna retiro lugar propios medios moto desplazamientossin ;comprometida
cicl  ;encontraba estacionado acompanante abre puerta delantera derecha ahi ciclista impacta puerta derecha vhyo bajo asistir bel levanta cuenta indica bienle ofrezco arreglar rueda bicicletaindica necesario retira propios medios cabe aclarar deje telefono b luego llamo diciendo trabajo llamaron trasladarlo htalunas horas desopues siniestrodebido empezo sentirse malno mas terceros involucrados mas lesionados datos tercero landriel pablo nicolas;comprometida
am    ;aseg circulando maria guerrero girar hacia eva peron colisionado parte delantera lateral izquierda frente tercero moto circulaba ultima mencionada solo ocupante bordo colocado cayo aseg presento lesiones levanto retiro propios medios ;comprometida
otros ;vehiculo asegurado circulando au panamericana perder control unidad colisiona guardrail asegurado circulaba acompanante cae piso utilizaba casco;comprometida
aa    ;asegurado circulando zabala colisiona parte frontal parte tercero frena golpe personas tercero retira propios medios;comprometida
am    ;aseg encontraba circulando pitagoras poner luz giro girar hacia sarmiento gira ruido grito habia moto tirada suelo junto usaba tenia pequeno raspon izquierda ;comprometida
peaton;circulando juan manuel rosas llegando almirante brown semaforo m intento pasar dicha interseccin embargo persona rapidamente colisiono lado derecho impactando persona parabrisas ;concurrente
am    ;redgreenlue encontraba estacionado dispongo bajar encontraba correctamente estacionado verifico viniera algun vehiculo abro puerta ahi impactado moto puerta delantera izquierda apenas abierta mismo cae levanta propios medios indica poseer lesionesno mas terceros mas lesionados datos tercero perez gabriel tomas gilera smash r arci triunfo ;comprometida
am    ;vhc asegurado circulando valparaiso doblar cabo sosa encierra accidentalmente tercero moto circulaba valparaiso produce colision lateral delantero izquierdo manubrio moto ocupantes solo acompanante caen piso incorporan solos lesiones baja consideracin ;comprometida
am    ;redgreenlueredgreenlue circulando daz velez hacia gral paz toco levemente rueda trasera moto yamaha ybr dominio llb conducida pera ramiro guido seguro atm dni acompanado michelle alvan dni ambos genenera posterior cada ;comprometida
aa    ;asegurado circulando s frontera colisiono parte delantera trasera tercero detuvo semaforo lesiones desplazamientos aseg ;comprometida
am    ;asegurado terminando doblar gaona colectora pensando doble momento produce colision parte delantera moto circulaba gaona motociclista cae suelo ;comprometida
am    ;redgreenlue asegurado circulando wernicke tercero moto circulaba misma quiere pasarlo derecha colisiona lateral izquierdo lateral derecho asegurado desplazamientos ;comprometida
aci   ;asegurado circulando san martin semaforo impacta bicileta parte lateral izquierda delantera bicileta circulando pasa semaforo impactada asegurado ocupante bicileta cae piso golpe codo ;discutida
am    ;asegurado maniobrando estacionar balizas encendidas embestido lateral trasero derecho tercero circulaba mismo moto solo ocupante puede precisar uso cae pavimento levanta retira propios medios desplazamientos asiste;concurrente
am    ;asegurado circulando araoz interseccin primera junta impacta parte delantera tercero moto circulaba ultima primera junta ocupante moto llevaba puesto cae pavimento;comprometida
am    ;aseg circulaba nogoya maniobrar derecha cruzar cuneta colisiona moto sobrepasa derecha moto viabaja sola persona cay suelo levant propios medios manifiesta necesita ser atendido intercambiaron datos retir asegurado manifiesta iba despacio encontraba pasando cuneta costado baja velocidad;comprometida
am    ;asegurado circulando samuel morse realiza maniobra esquivar auto detenido costado calzada abandonado tercero moto circulaba detras llega esquivarlo embiste parte trasera punta izquierdaun ocupante cae piso ;comprometida
am    ;encontraba detenido rivadavia abro izquierda sobrepasar colectivo detenido moto colisiona parte trasera desplazamientos sola persona cae piso lesiones visibles ;comprometida
am    ;asegurado circulando tuyuti impacta parte delantera parte trasera moto frena delante ocupantes caen suelo presentaban lesionaes visibles dijeron encontraban bien ;comprometida
am    ;venia conduciendo san antonio llego interseccin zapala dispongo doblar luz giro correspondiente hacia derecha doy cuenta venia moto personas pasandome derecha toco provocando caigan;comprometida
am    ;vhc asegurado circulando h yrigoyen direccion hacia sur atina cambiar carril concretar accion tercero moto circulaba dicho carril advierte intencion asegurado frena improviso desestabiliza cae piso mediar contacto vhc asegurado secuestro policial ;comprometida
aa    ;mecanica hecho s vs asegurado circulando corrientes doblo izquierda continuar marcha lavalleun venia ultima asusta cambia carril invadiendo contraria habia doblado yocalle doble impacta parte delantera lateral izquierdoproducto aca pierde conocimiecontconocimientoes trasladado hospital zonal varelaen pueblojunto tercero acuso lesiones informaronal aca luego comisaria;comprometida
aa    ;asegurado circulaba nicaragua colisiona parte delantera parte trasera tercero freno transito lesiones desplazamientos;comprometida
am    ;circulaba san martin estacionar derecha moto venia detras pasa derecha choca parte delantera derecha moto cae venia trasladado hospital florencio varela tenia golpe ;comprometida
peaton;salia garage salude novia puerta derecha sale persona llegue frenar golpee cayo amplio asegurado ;comprometida
am    ;aseg circulaba gral alvarez direccion hacia caba pasar chaco impacta parte delantera tercero motoque circulaba estalos ocupantes tercero caen suelo levanta retiran solo aseg ofrece llevar hospital niegan ocupantes;comprometida
peaton;circulando don bosco cruzar interseccin virrey liniers vena gran velocidad velocidad x daltima acelero manera imprevista peatnmujer aparece adelante tener contacto mismo cae suelo;comprometida
am    ;aseg circulando independencia tercero circulando misma aseg dispone aingresar estacionamiento izquierda tercero moto circulaba detras colisiona parte trasera tercero cae pavimento puesto solo ocupante desplazamientos ;concurrente
am    ;circulando lavalle llegar interseccion castelli veo moto circulaba ultima freno llegue tocarlo ocupantes moto cayeron pavimento levantaron propios medios tenian lesiones visibles quejaban dolor aunque necesario ;comprometida
peaton;maniobrando marcha atras salir estacionado mirando habia nadie momento siento ruido veo mayor golpeando ventanilla bajar sucedia alterada desorientada enojada comienza insultarme preguntaba habia hecho acusarme desconozco contacto solo escuche ruido manifestaba esperando taxi mitad tenia dolor piernas asisto llamamos hijo lleva lugar querer traslado algun hospital ;comprometida
peaton;circulaba ruta direccion moreno hijos encontraba esperando cruzar mitad cuadra vehiculos circulaban direccion contraria cuales encontraban detenidos pr trafico menores suela hacia carril circulacion pudiendo evitar impactarlo lateral delantero izquierdo menor edad sufre fractura derecha ;concurrente
am    ;aseg maniobraba rodriguez hacia carbajal parte lateral derecha ro moto circulaba junto aseg desplazamientos lesionados moto persona ;comprometida
am    ;aseg circulando acceso oeste hacia capital derecha aseg maniobra hacia derecha salir calzada hacia pasto tercero circulaba moto ocupantes misma igual embiste parte trasera parte frontal tercero ocupantes moto caen pavimento pierden conocimiento ocupantes reincorpora medios debe ser asistido ;comprometida
am    ;asegurado circulando eva peron colisionado parte lateral izquierda parte delanter moto tercero moto impacta parte delantera asegurado lesionados desplazamiento ;comprometida
am    ;circulaba sucre doblando derecha moyano enpedrado toco lateral derecho moto derecha chico moto cae tenia lesiones ;comprometida
am    ;circulaba monroe moto frena delante mio semaforo logro evitar tocarlo parte delantera paret trasera moto unico ocupante cae piso ;comprometida
aa    ;aseg maniobra salir lugar estacionado yrigoyen impacta tercero circulaba lateral delantera izquierdo lateral trasero derecho lesiones desplazamiento;comprometida
cicl  ;venia sauce barrio san jorge momento sorprendido moto intencion robo atino acelerar pierdo control auto colisiono tercero bicicleta cartel tercero cayo suelo lesiones aparentes solamente dolor brazo ;comprometida
am    ;asegurado circulaba irigoyen doblar izquierda tomar helguera colisionado moto circulaba contrario irigoyen ocupante cae piso asistido same trasladan hosp peron int avellaneda semaforo titilaba apago vuelve titilaretc funciona mal tener paso izquierda cel ;comprometida
aa    ;circulaba balbin parte delantera parte trasera tercero detiene trafico delante raiz tercero desplaza colisiona parte delantera parte trasera vehiculo datos lesiones;comprometida
am    ;encontraba circulando centenario uruguayo comenzar doblar albarracinuna moto venia misma impacta parte delantera lateral delantero izquierdo vhel motociclista cae pisoyo bajo asistirloel acusa dolor brazo derechoya habia lastimado;comprometida
am    ;venia circulando bernardo irigoyen semaforo gps indico giro izquierda c calvo encontrandome semaforos moto colisiona;comprometida
am    ;asegurado circulaba gabriel miro moto pasadores vio choco parte trasera parte delantera derechaambas calles doble circulacion asegurado solo hizo denuncia pido registro cedula hablo asegurada aclara motocicleta venia izquierda automvil asegurado danos parte delantera lado derecho participacin semaforos lugar calles doble circulacion tercera tenia cedula azul luego hecho tercera llamo diciendo haba golpeado entonces asegurada hizo ah denuncia;concurrente
peaton;aseg encontraba circulando juan pujol llegar interseccion gaona peaton aseg roza parte delantera parte izq persona cae suelo lesiones visibles ;comprometida
aa    ;aseg circulando alvarez jonte interseccion miguel salcedo tercero circulaba ultima mencionada atraviesa aseg logra evitar colision pb delantera lateral derecho tercero asegurado personas lesionadas transportadas ;concurrente
am    ;asegurado circulaba falucho cruzar ricardo rojas colisionado parte lateral derecha tercero moto circulaba ultima mencionada personas moto cascos colocados cayeron suelo ;comprometida
am    ;vhc asegurado circulando puna llegar interseccion almafuerte aguarda despeje transito vehicular avanza lentamente embestido lateral delantero derecho rueda delantera tercero moto circulaba ultima invocada solo ocupante colocado cae piso incorpora propios medios tercero cortadura ;concurrente
am    ;aseg circulando jose bruno moron realiza leve maniobra esquivar detenido manera paralela detiene tercero moto quiere pasar medio vhs cae arriba aseg provocando danos espejo retrovisor derecho puerta mismo lado ocacionado parte delantera moto tercero cae piso puesto manifesto dolencia brazo aseg ofrece llamar same quiso ;comprometida
am    ;jose len suarez m domicilio coloco balizas saco ventanilla acceder garage momento moto sobrepasa derecha vehculo contenedor basura encontraba domicilio asegurado impacta espejo puerta derecha tercero lesionado ;comprometida
am    ;redgreenlue circulaba paraguay maniobrar hacia izquierda pasar detenido volver carril impacta moto lateral delantero derechovenica unicamente moto cael suelo manifiesta dolor hombro derecho ;comprometida
am    ;circulaba constitucion llegar interseccion mosconi coloco giro izquierdo tomar ultima mencionada izquierda dado dicha interseccion corta embestido lateral delantero izquierdo frente moto intenta sobrepasar izquierda ocupante cae pavimento presentaba lesiones visibles levanta propios medios intercambiamos datos retira circulando moto ;comprometida
aa    ;circulando menbrillar pasar derecha tercero chevrolet celta frena golpe puedo evitar colisionarlo tercero parte trasera derecha parte delantera izquierda desplazamiento;comprometida
am    ;subiendo chavez gral paz moto sobrepasa derecha golpea brazo izquierdo espejo raiz golpea guardarail cae asfalto sola persona moto puesto ;comprometida
am    ;aseg circulando rivadavia impacta tercero moto ocupante circulando misma toca espejo retrovisor izquierdo manubrio trceroel aseg circulaba carril central maniobra levemente esquivar delimitacion carril buses tercero sale atras colectivoaseg refiere tercero cae moto embargo manifiesta dolor brazo derecho ;comprometida
am    ;circulando indepencencia esq sarandi detenido transito abro levemente puerta delizq arrojar papel moto embiste mismael lamisam nego q lleve htal retiro propios mediossin int policial ambulanciasin desplazamiento;comprometida
am    ;asgeurado circulando pasco esquina pavon colisiona tercero cen moto circulando misma parte delanterael tercero cae piso tercero portaba solo persona moto ;comprometida
am    ;aseg circulando bolivia altura interseccion salvador maria carril caba bs as tercero circulaba moto ocupante ultima salvador maria carril embiste asegurado parte frontal parte indeterminada tercero cae pavimento pierde conocimiento reincorpora propios medios ;concurrente
am    ;circulando paso colectoral moto pasando izquierda pierde estabilidad apoya justo delante rueda delantera izquierda piso cae piso apoya ;comprometida
otros ;aseg circulando juan b justo carril derecho llegar interseccion gorrti asegurado cambia carril carril izquierdo tercero colectivo circulando misma carril izquierdo colisiona parte delantera derecha parte lateral izquierda asegurado terceros lesionados pasajeros colectivos desplazamientos ;comprometida
am    ;circulando guevara llegar maure transito venia derecha moto pasando desacelera golpe termino tocando parte trasera parte delantera izquierdaen moto venia solo conductora puesto cayo suelo manifesto dolores quiso traslade hospital ;comprometida
am    ;vehiculo asegurado hornero ruta incorpora darsena giro comienza cruzar ruta semaforo habilitante colisionada lateral izquierdo parte delantera tercero circulaba misma cruzo desplazamientos asegurada acompanante amiga dolor cervical;concurrente
peaton;girar izquierda urquiza hacia rodolfo lopez toco parte delantera senor mayor cruzaba bocacalle ultima peaton cae piso golpeandose hombro trasladado hospital quilmes ;comprometida
am    ;encontraba circulando deslinde ingresando ruta moto embiste parte delantera izquierda parte delantera ;comprometida
am    ;aseg circulando interseccin quiere doblar derecha colisiona moto circulaba misma parte delantera derecha parte lateral moto tenia solo ocupante puestocayo piso manifesto dolencia tenia respones cuerpo desplazamientos ;comprometida
am    ;aseg circulando aristobulo valle llegar intercccion centenario embiste p delantera lateral izquierdo tercero moto circulaba ultima mencionada moto iban ocupantes caen pavimento presentan lesiones ;comprometida
am    ;aseg circulaba rivadavia gira tomar white impactado lateral derecha moto circulaba misma dispona cruzar interseccin desplazamientosmoto ocupante recuerda tena cay piso manifest dolencias levant medios retir medios int medicasin int policial;comprometida
cicl  ;asegurado circulaba zuviria cruce doblas bicicleta circulaba bicisenda doblas impacta parte delantera paragolpe lado derecho desplazamientos bicicleta solo ocupante cae piso presentaba raspon codo derecho ;comprometida
am    ;aseg encontraba circulando mayor irusta pone giro aviso va pasar tercero parado embestido lateral delantero derecho manubrio moto mismo cae suelosolo manifestaba dolencia pecho dolor ;comprometida
cicl  ;vehiculo asegurado circulaba triunvirato colisiono parte delantera tercero bicicleta persona giro cortada persona cayo asfalto asistido trasladado htal thompson desplazamientos;comprometida
am    ;redgreenlue asegurado circulando au acc oeste tomar salida vergara violentamente embestida detras moto golpea lateral trasero derecho vehiculo moto cae suelo circulaba persona dano cara motociclista asistio lugar hechomecanica segun tercero tercero dice iba lenta dice asegurada sobrepasa entrar peaje encerro asegurado manifest haber ;comprometida
