x,y,descripcion,cluster
0.92948437,-0.00023612134,"['parte delantera', 'parte trasera']",1
0.78087795,-0.9911314,['parte delantera'],3
1.2961607,-0.7625867,"['parte delantera', 'parte izquierda']",4
1.3475769,-0.3652884,['parte trasera'],4
0.8994346,-0.94917023,['parte delantera'],4
0.8034044,-1.789222,"['parte delantera', 'parte izquierda']",3
0.6255412,1.5665007,['parte trasera'],6
0.7202792,-0.90177536,"['parte delantera', 'parte trasera']",3
0.96966,-2.0528321,['parte delantera'],5
1.1801184,0.91118944,"['parte delantera', 'parte trasera']",7
0.6406656,-0.06607901,['parte trasera'],1
0.87312937,-1.2578707,['parte trasera'],3
-1.1095707,0.0312083,"['parte delantera', 'parte trasera']",0
0.53131735,0.56458545,['parte derecha'],1
0.6664882,1.7110453,['parte derecha'],6
0.30360246,1.9066209,"['parte delantera', 'parte trasera']",6
-1.1123956,0.027125252,"['parte delantera', 'parte izquierda']",0
0.40394,0.039712824,"['parte derecha', 'parte izquierda']",1
0.4999467,-0.07429761,['parte delantera'],1
-1.1107011,0.027255435,"['parte trasera', 'parte izquierda']",0
0.5746297,-0.036596525,"['parte delantera', 'parte derecha']",1
1.6999248,-0.5600088,"['parte delantera', 'parte trasera']",4
1.148997,-1.3690042,['parte delantera'],4
0.89979434,0.09468349,"['parte delantera', 'parte derecha']",1
-1.1102152,0.028354615,"['parte delantera', 'parte trasera']",0
1.0927042,-1.8053342,"['parte delantera', 'parte izquierda']",5
0.8983874,1.9881835,['parte delantera'],6
0.8361777,-1.1354475,['parte trasera'],3
0.5533536,0.40233847,['parte delantera'],1
0.64394933,-0.98885274,['parte delantera'],3
0.56017697,-1.5942544,"['parte delantera', 'parte trasera']",3
-1.1112545,0.025498886,"['parte delantera', 'parte trasera']",0
1.0778589,0.6252055,['parte derecha'],7
0.4991317,-1.3291725,"['parte delantera', 'parte izquierda']",3
0.9155475,-1.2248534,['parte delantera'],3
0.8238837,1.2867225,"['parte delantera', 'parte trasera']",6
1.4197121,-1.5698254,"['parte delantera', 'parte izquierda']",5
0.8932914,-1.2459167,['parte trasera'],3
0.9123273,0.02816702,"['parte delantera', 'parte trasera']",1
0.952904,-0.19449468,['parte trasera'],1
0.6100233,-0.03298636,"['parte delantera', 'parte derecha']",1
0.8556017,-1.4069456,['parte delantera'],3
0.37851074,-1.32456,"['parte delantera', 'parte trasera']",3
1.6460093,0.6056148,"['parte delantera', 'parte trasera']",7
0.88677084,-1.8872935,['parte delantera'],5
1.4842345,1.4568032,"['parte delantera', 'parte trasera']",2
1.4338714,-0.5849405,['parte trasera'],4
-1.107688,0.028257508,"['parte delantera', 'parte trasera', 'parte izquierda']",0
0.33894473,1.8244449,"['parte delantera', 'parte trasera']",6
0.69770366,-1.5920577,"['parte delantera', 'parte trasera', 'parte derecha']",3
-1.1072927,0.030215269,['parte trasera'],0
0.6649455,-0.95278746,"['parte delantera', 'parte trasera']",3
0.9778744,0.20198472,"['parte delantera', 'parte trasera', 'parte izquierda']",1
1.0115837,0.039527275,"['parte delantera', 'parte trasera']",1
0.35957292,-1.3598238,"['parte delantera', 'parte izquierda']",3
-1.1112429,0.033707168,"['parte delantera', 'parte trasera']",0
0.34545904,0.15270358,['parte trasera'],1
0.7754942,0.9447833,"['parte delantera', 'parte trasera']",7
1.1226064,-0.12964891,"['parte delantera', 'parte trasera']",1
0.8140719,-0.15139405,"['parte derecha', 'parte izquierda']",1
0.5181603,0.10838236,['parte trasera'],1
0.822108,0.95864975,"['parte delantera', 'parte trasera', 'parte izquierda']",7
1.1701055,-1.6531799,"['parte delantera', 'parte derecha']",5
0.8085154,-0.21146968,"['parte delantera', 'parte izquierda']",1
1.0792793,-1.7607977,['parte trasera'],5
-1.1108636,0.024154097,"['parte delantera', 'parte trasera']",0
-1.1119462,0.024587315,"['parte delantera', 'parte trasera']",0
0.7347713,-1.3988031,['parte trasera'],3
1.3285213,-0.2115571,"['parte delantera', 'parte trasera']",4
0.44298458,1.578954,['parte delantera'],6
1.0650114,0.8992312,"['parte delantera', 'parte trasera', 'parte derecha']",7
-1.1071239,0.02846111,['parte izquierda'],0
1.3688339,0.81342137,"['parte delantera', 'parte izquierda']",7
0.74019825,0.30347016,['parte trasera'],1
-1.1098266,0.028468773,"['parte derecha', 'parte izquierda']",0
1.1898521,0.99100703,"['parte delantera', 'parte trasera']",7
1.3061459,-0.33352014,['parte delantera'],4
0.6404804,-1.3129466,"['parte delantera', 'parte trasera']",3
-1.1078159,0.025643015,['parte derecha'],0
1.0370864,-1.5555326,"['parte derecha', 'parte izquierda']",3
-1.1060097,0.028001118,['parte derecha'],0
0.6146687,1.6234443,"['parte delantera', 'parte trasera']",6
0.57258123,0.2850595,['parte trasera'],1
1.8629674,0.48617968,['parte derecha'],7
-1.1105917,0.024189811,['parte trasera'],0
0.59153295,1.2886108,['parte derecha'],6
1.1997752,0.82783747,['parte izquierda'],7
-1.1118164,0.0279147,"['parte delantera', 'parte derecha']",0
0.25339454,-1.5372005,['parte izquierda'],3
1.23222,0.45027748,['parte derecha'],7
0.5817919,-0.026449762,['parte trasera'],1
0.63554674,-1.6254709,['parte trasera'],3
-1.1079981,0.028011212,"['parte trasera', 'parte izquierda']",0
1.571606,2.0759716,"['parte delantera', 'parte trasera']",2
0.98762417,0.032373626,['parte delantera'],1
1.2241268,-0.4416915,"['parte trasera', 'parte derecha']",4
0.24823645,-1.3481699,['parte trasera'],3
1.4363912,0.75750375,['parte trasera'],7
-1.1117209,0.018167436,['parte delantera'],0
-1.1111304,0.026025953,"['parte trasera', 'parte derecha']",0
0.5086255,-0.04222553,['parte trasera'],1
0.9767161,-0.21446459,['parte derecha'],1
0.5574968,-0.054142877,['parte trasera'],1
-1.1078973,0.02597564,['parte trasera'],0
0.588679,0.57832736,['parte izquierda'],1
0.4478008,1.8962584,['parte derecha'],6
-1.1044316,0.030093601,['parte trasera'],0
-1.1013281,0.025064055,['parte derecha'],0
0.6463338,-0.0013538068,"['parte delantera', 'parte derecha']",1
-1.1082245,0.03263871,['parte trasera'],0
-1.1110969,0.031790093,['parte derecha'],0
-1.1100894,0.022376128,['parte delantera'],0
0.29477188,1.7536037,"['parte delantera', 'parte trasera']",6
0.5225014,-0.08639583,['parte delantera'],1
0.549566,-0.06824407,['parte delantera'],1
0.63274693,-1.7518834,"['parte delantera', 'parte izquierda']",3
-1.1069887,0.029090393,"['parte delantera', 'parte izquierda']",0
-1.1073018,0.023626825,['parte trasera'],0
-1.1071454,0.026426915,"['parte delantera', 'parte trasera']",0
0.52238804,-0.062876016,"['parte delantera', 'parte trasera']",1
0.5259674,-0.10999847,['parte trasera'],1
0.8263839,1.0082371,['parte delantera'],7
1.0684526,1.9125817,['parte izquierda'],2
-1.1077199,0.028673641,['parte delantera'],0
1.0241389,2.019577,['parte trasera'],2
1.5079663,0.12304243,['parte delantera'],7
-1.1119367,0.028707087,['parte trasera'],0
-1.1067404,0.027301755,"['parte trasera', 'parte derecha']",0
-1.1079844,0.023294939,"['parte delantera', 'parte izquierda']",0
0.34579468,-1.331922,['parte delantera'],3
0.6059034,1.3624517,['parte izquierda'],6
0.3930362,1.837622,['parte trasera'],6
0.5093926,1.7907246,['parte delantera'],6
0.48791358,-1.2896962,"['parte delantera', 'parte izquierda']",3
0.7518687,1.5014321,['parte delantera'],6
-1.1113005,0.028296564,"['parte delantera', 'parte izquierda']",0
-1.1080503,0.024541182,"['parte delantera', 'parte izquierda']",0
0.36852238,1.8817685,['parte izquierda'],6
-1.1122686,0.023330677,"['parte delantera', 'parte trasera']",0
0.54409844,-0.02750657,['parte izquierda'],1
0.40917036,1.7894208,['parte derecha'],6
-1.1096561,0.025764197,['parte izquierda'],0
-1.1088516,0.029987924,['parte derecha'],0
0.81209,1.1415612,['parte delantera'],6
0.5614788,-0.11652221,['parte delantera'],1
0.5187136,-0.031428047,['parte derecha'],1
0.4004237,1.9420952,['parte izquierda'],6
0.6117905,-0.08978094,['parte trasera'],1
-1.1119353,0.020880852,['parte delantera'],0
-1.1112852,0.028278176,['parte derecha'],0
-1.1130226,0.028164007,['parte delantera'],0
0.59428185,-1.5577674,['parte delantera'],3
-1.1097413,0.029031076,['parte izquierda'],0
-1.1107303,0.028472373,['parte izquierda'],0
0.7650245,1.7234198,['parte trasera'],6
-1.1082691,0.027320562,['parte trasera'],0
0.5711463,0.017571716,['parte derecha'],1
-1.1109167,0.029178198,"['parte delantera', 'parte izquierda']",0
0.142768,-1.6382616,['parte derecha'],3
-1.1101196,0.025819104,['parte delantera'],0
0.92822355,-0.2782195,"['parte trasera', 'parte derecha']",1
-1.1143037,0.028033188,['parte trasera'],0
0.36766446,-1.3798292,['parte trasera'],3
0.45506588,-1.29261,['parte delantera'],3
-1.1058841,0.02242027,"['parte trasera', 'parte izquierda']",0
0.37257758,-1.373585,['parte derecha'],3
0.5873711,-1.3496189,['parte derecha'],3
0.27012137,1.7781124,"['parte delantera', 'parte izquierda']",6
1.1703198,-0.1064011,['parte delantera'],1
1.5703337,0.1581765,['parte delantera'],7
1.2243364,1.7911372,"['parte trasera', 'parte izquierda']",2
-1.1105331,0.022480115,['parte trasera'],0
1.4218637,-0.70799196,"['parte delantera', 'parte trasera']",4
-1.1079015,0.025940187,['parte delantera'],0
0.53417784,-0.1196771,['parte delantera'],1
-1.1122094,0.022639692,['parte izquierda'],0
0.6270321,-1.1750348,['parte derecha'],3
-1.1104007,0.027825002,['parte trasera'],0
-1.1099114,0.021013984,['parte izquierda'],0
-1.1147884,0.026146712,['parte delantera'],0
1.0263895,1.9130734,['parte trasera'],2
-1.1094785,0.024831064,['parte derecha'],0
0.21585318,-1.414548,['parte delantera'],3
-1.1071749,0.026826486,"['parte delantera', 'parte trasera']",0
-1.1099932,0.027895108,['parte delantera'],0
-1.1115948,0.023088705,"['parte trasera', 'parte izquierda']",0
0.6531634,1.5978153,"['parte trasera', 'parte derecha']",6
-1.1055169,0.028298277,['parte trasera'],0
1.015386,2.020725,"['parte delantera', 'parte trasera']",2
-1.1072376,0.0310031,['parte izquierda'],0
0.87488383,-1.4941186,['parte delantera'],3
-1.1094743,0.024493402,['parte delantera'],0
0.54667723,-1.0454869,['parte delantera'],3
0.59248245,-0.051610857,['parte trasera'],1
0.60392034,1.4361678,['parte trasera'],6
0.40837163,-1.525529,"['parte delantera', 'parte trasera']",3
-1.1101637,0.025384728,['parte delantera'],0
0.6399996,-1.8074934,['parte derecha'],3
-1.1096164,0.026509456,['parte delantera'],0
0.8562998,-0.7913654,"['parte delantera', 'parte derecha']",4
0.62164044,-1.6558179,"['parte delantera', 'parte izquierda']",3
-1.1101205,0.021126296,['parte trasera'],0
-1.1060954,0.025757458,"['parte delantera', 'parte trasera']",0
0.7491424,-1.1931243,['parte izquierda'],3
-1.1089356,0.026369011,['parte trasera'],0
-1.1046512,0.021155419,"['parte delantera', 'parte trasera', 'parte izquierda']",0
0.52934235,-0.13034277,"['parte trasera', 'parte derecha']",1
-1.1137589,0.025713691,"['parte delantera', 'parte trasera']",0
-1.1090168,0.025720544,"['parte delantera', 'parte trasera']",0
1.1784321,-0.31882378,"['parte delantera', 'parte trasera']",4
0.5534435,0.019337354,"['parte delantera', 'parte trasera']",1
-1.1064631,0.02651352,['parte trasera'],0
-1.107489,0.027565371,['parte delantera'],0
0.5451303,-0.13556708,['parte izquierda'],1
-1.1083243,0.023829712,['parte delantera'],0
-1.109883,0.030497698,['parte trasera'],0
-1.1096785,0.026541721,"['parte delantera', 'parte trasera']",0
0.5723879,0.03283113,['parte izquierda'],1
0.59167904,-0.06090147,['parte delantera'],1
-1.1135223,0.028544215,"['parte delantera', 'parte trasera']",0
0.34035927,-1.6044142,['parte derecha'],3
0.9005505,-1.7076242,"['parte delantera', 'parte trasera']",3
-1.1084808,0.025200715,['parte izquierda'],0
0.5805703,-0.016518608,['parte delantera'],1
0.5472637,-0.073680885,['parte trasera'],1
0.27591425,1.7832412,['parte izquierda'],6
-1.1099186,0.023163304,['parte trasera'],0
0.39151338,-1.5267576,['parte izquierda'],3
0.5660513,0.015245277,"['parte delantera', 'parte trasera']",1
1.0660276,-1.2045623,['parte izquierda'],4
-1.1093085,0.027503856,['parte delantera'],0
0.59945047,-1.1926826,['parte derecha'],3
0.625197,-0.024611361,['parte trasera'],1
0.5949455,-0.13962719,['parte trasera'],1
1.0749007,1.5842264,['parte trasera'],6
1.1717263,1.24328,['parte delantera'],6
0.47634444,-0.034680855,['parte delantera'],1
-1.1092526,0.02754387,['parte trasera'],0
0.5886956,-1.5833622,['parte derecha'],3
0.5659608,0.062579505,['parte derecha'],1
-1.1081218,0.025082532,"['parte delantera', 'parte trasera']",0
-1.1111281,0.027690161,"['parte trasera', 'parte izquierda']",0
0.3410526,-1.3712466,['parte trasera'],3
0.82450336,2.0697892,['parte delantera'],6
-1.1064361,0.025725033,['parte delantera'],0
1.852617,1.9876257,"['parte delantera', 'parte trasera']",2
-1.1106721,0.028779604,['parte delantera'],0
-1.1064266,0.029291792,['parte delantera'],0
-1.1053685,0.027776882,['parte derecha'],0
-1.1098555,0.025578568,['parte derecha'],0
-1.1082566,0.01900156,['parte delantera'],0
0.81686115,1.4129987,['parte izquierda'],6
0.26088005,-1.4937872,['parte derecha'],3
1.0263412,1.6125026,['parte delantera'],6
-1.1087685,0.025061183,['parte delantera'],0
0.49486342,0.033269577,"['parte delantera', 'parte trasera']",1
0.558225,-0.10311847,"['parte derecha', 'parte izquierda']",1
-1.1135286,0.025151888,['parte trasera'],0
0.68820894,-1.5909749,['parte delantera'],3
0.7948548,-0.9567012,"['parte delantera', 'parte izquierda']",3
0.72569126,-0.9543659,['parte trasera'],3
-1.1126903,0.02941493,"['parte delantera', 'parte trasera']",0
0.95001143,1.2168509,"['parte delantera', 'parte derecha']",6
-1.1091253,0.027254445,"['parte delantera', 'parte trasera']",0
0.37117997,1.7993174,['parte delantera'],6
0.23292191,0.39772552,['parte trasera'],1
0.37265393,-1.3619913,"['parte delantera', 'parte derecha']",3
0.95899475,-1.3455305,"['parte delantera', 'parte derecha']",3
0.56253225,-0.06273586,"['parte trasera', 'parte izquierda']",1
-1.1076099,0.022040296,"['parte delantera', 'parte trasera']",0
0.58450943,-0.032141596,['parte trasera'],1
-1.1111895,0.019982552,"['parte delantera', 'parte trasera']",0
0.48864937,1.9229252,"['parte delantera', 'parte derecha']",6
-1.1080325,0.02425218,['parte izquierda'],0
0.56677747,-0.023438793,['parte derecha'],1
0.13754907,-1.3377451,['parte delantera'],3
0.6212299,1.5200983,"['parte delantera', 'parte trasera']",6
-1.1071144,0.031077122,"['parte derecha', 'parte izquierda']",0
0.592207,0.0037731086,['parte trasera'],1
0.19722433,-1.3685013,['parte delantera'],3
1.3869694,-0.49057359,"['parte delantera', 'parte derecha']",4
-1.1100638,0.025886364,['parte delantera'],0
-1.1127836,0.025212085,"['parte delantera', 'parte trasera']",0
-1.1077807,0.02164196,"['parte delantera', 'parte trasera']",0
-1.1084653,0.028817259,['parte trasera'],0
-1.1072788,0.031233942,['parte delantera'],0
-1.1069598,0.029247198,['parte trasera'],0
0.2175428,-1.4602745,['parte trasera'],3
-1.109579,0.02494486,"['parte delantera', 'parte izquierda']",0
1.0336137,1.5785573,"['parte delantera', 'parte trasera']",6
1.213509,1.3205637,['parte trasera'],2
1.111172,1.970169,['parte trasera'],2
0.5594624,0.89062846,['parte delantera'],7
0.50737906,-0.023697149,['parte izquierda'],1
0.9836239,-1.1892344,['parte trasera'],3
1.3503146,-1.1534822,['parte derecha'],4
-1.1085713,0.027718237,['parte delantera'],0
0.68866485,-1.055181,['parte delantera'],3
1.6055648,2.6602135,['parte delantera'],2
0.35972688,1.8185686,['parte delantera'],6
0.6032212,0.6296024,['parte izquierda'],1
-1.1082555,0.026515072,"['parte delantera', 'parte izquierda']",0
-1.1112942,0.027657876,['parte trasera'],0
0.3348711,-1.3991178,['parte trasera'],3
0.5344123,-0.0931052,['parte trasera'],1
-1.1117256,0.024426328,['parte trasera'],0
-1.1101686,0.027014565,['parte delantera'],0
0.45736971,-1.3834928,['parte delantera'],3
0.80372536,-1.6058849,['parte derecha'],3
0.79934907,-1.5132287,['parte derecha'],3
-1.1085505,0.027076786,"['parte trasera', 'parte derecha']",0
1.6593289,1.7915689,['parte trasera'],2
-1.111953,0.025095422,['parte izquierda'],0
1.3179507,0.47596428,['parte delantera'],7
0.56361955,-0.06538973,"['parte delantera', 'parte trasera', 'parte derecha', 'parte izquierda']",1
-1.1120005,0.024861986,['parte delantera'],0
0.56712,1.5822282,"['parte delantera', 'parte izquierda']",6
1.182527,0.1152136,"['parte trasera', 'parte derecha']",7
0.8959681,1.3495737,"['parte delantera', 'parte trasera']",6
1.0239928,1.0332714,"['parte delantera', 'parte trasera']",7
0.91995955,0.9599056,['parte izquierda'],7
0.9738691,0.40036374,"['parte delantera', 'parte derecha']",7
0.36664847,0.5976765,['parte delantera'],1
0.41984135,1.8632184,['parte derecha'],6
0.994684,-0.98537564,['parte delantera'],4
0.5780222,-0.06533686,"['parte delantera', 'parte izquierda']",1
0.92389745,-1.645491,['parte trasera'],3
-1.1094044,0.025726972,"['parte delantera', 'parte derecha']",0
-1.1049423,0.027790235,['parte izquierda'],0
1.4113995,1.0865165,"['parte delantera', 'parte trasera']",7
-1.1083984,0.029113917,"['parte delantera', 'parte trasera']",0
1.448446,0.6452977,['parte derecha'],7
0.5552934,-0.115670085,"['parte delantera', 'parte trasera']",1
-1.1079344,0.027341904,"['parte trasera', 'parte derecha']",0
0.27392998,-1.4024643,['parte trasera'],3
1.255462,0.68753344,['parte delantera'],7
0.45889315,0.024644822,['parte izquierda'],1
-1.1128339,0.025440073,"['parte delantera', 'parte izquierda']",0
1.9712527,0.14327702,['parte delantera'],7
0.6668374,-0.02359142,['parte derecha'],1
-1.11083,0.031228643,"['parte delantera', 'parte trasera']",0
0.45570213,-1.2958199,['parte trasera'],3
0.58843565,1.711347,['parte derecha'],6
-1.1108568,0.025065217,['parte izquierda'],0
-1.1074657,0.029661015,"['parte delantera', 'parte trasera']",0
0.6551367,-0.10750929,['parte delantera'],1
0.3732412,1.830071,"['parte trasera', 'parte izquierda']",6
0.5682157,-0.11049479,"['parte delantera', 'parte derecha']",1
1.2545573,0.44807044,['parte delantera'],7
0.5604453,-0.027752165,"['parte delantera', 'parte trasera']",1
-1.1111537,0.022615826,"['parte trasera', 'parte izquierda']",0
-1.1114967,0.027295768,['parte trasera'],0
1.289697,-0.67646486,"['parte delantera', 'parte trasera']",4
-1.1078771,0.02950004,['parte delantera'],0
-1.1073124,0.029046634,"['parte delantera', 'parte trasera']",0
-1.1104083,0.021751514,"['parte trasera', 'parte izquierda']",0
-1.1111948,0.030124752,['parte delantera'],0
-1.1089392,0.029118441,"['parte delantera', 'parte trasera']",0
-1.1086713,0.027764883,['parte delantera'],0
0.53128034,-0.02618893,['parte derecha'],1
0.37114134,1.7189931,['parte delantera'],6
0.88987297,1.2054543,"['parte delantera', 'parte izquierda']",6
0.42208233,1.8573022,"['parte derecha', 'parte izquierda']",6
0.28867182,-1.5267103,['parte trasera'],3
0.31460556,-1.6239946,['parte delantera'],3
-1.1063104,0.02533007,['parte izquierda'],0
-1.1093755,0.028015576,['parte trasera'],0
1.9482008,1.5515242,['parte derecha'],2
-1.1113155,0.01902506,['parte delantera'],0
0.58974355,-0.020266864,"['parte delantera', 'parte derecha']",1
-1.107086,0.022950063,['parte delantera'],0
0.5329314,0.08527758,['parte delantera'],1
0.9556199,-0.171609,"['parte delantera', 'parte izquierda']",1
1.3218458,1.6430091,['parte delantera'],2
-1.1104723,0.028270995,['parte trasera'],0
-1.1060712,0.024610637,['parte delantera'],0
0.3939434,1.900879,['parte delantera'],6
-1.1057906,0.02211913,['parte delantera'],0
0.5260635,-1.205795,"['parte delantera', 'parte trasera']",3
-1.1105702,0.02246821,['parte izquierda'],0
-1.1094645,0.023083923,['parte delantera'],0
1.0712501,-2.0620263,"['parte derecha', 'parte izquierda']",5
0.53422856,0.28368244,['parte derecha'],1
0.28502983,-1.4075593,['parte izquierda'],3
-1.1102064,0.028296882,['parte trasera'],0
0.33233437,-1.4359854,"['parte delantera', 'parte trasera', 'parte derecha']",3
-1.1079925,0.025775181,"['parte delantera', 'parte trasera']",0
0.5209995,-0.074123666,"['parte trasera', 'parte derecha']",1
0.61297095,-0.13338995,['parte trasera'],1
0.5944841,-1.2474682,"['parte delantera', 'parte trasera']",3
-1.1117554,0.025363397,['parte trasera'],0
-1.1073663,0.024498688,"['parte delantera', 'parte trasera']",0
0.61508656,-0.113974676,['parte derecha'],1
-1.1103787,0.021918222,"['parte delantera', 'parte derecha']",0
-1.1109973,0.028475376,['parte trasera'],0
0.5339581,0.007768788,"['parte delantera', 'parte trasera', 'parte izquierda']",1
-1.1089993,0.02413976,['parte trasera'],0
-1.108221,0.021104036,['parte izquierda'],0
-1.107077,0.026877014,['parte izquierda'],0
-1.1119069,0.025088241,"['parte delantera', 'parte derecha']",0
0.3283939,-1.4658324,['parte trasera'],3
-1.1083763,0.028765908,['parte delantera'],0
-1.1090852,0.02729995,['parte trasera'],0
0.8053857,-1.0667267,"['parte trasera', 'parte derecha']",3
-1.1063663,0.02560945,"['parte delantera', 'parte trasera']",0
1.1896218,0.7340375,"['parte trasera', 'parte derecha']",7
0.9180618,-0.114310734,['parte trasera'],1
-1.1114964,0.025560644,"['parte delantera', 'parte trasera']",0
1.4417548,1.3414183,"['parte delantera', 'parte trasera']",2
0.80441815,-1.7287481,['parte trasera'],3
0.29165146,-1.7699676,['parte derecha'],3
1.446873,1.9582243,['parte delantera'],2
0.5667484,-0.027221024,"['parte delantera', 'parte trasera', 'parte derecha']",1
-1.1075362,0.025041278,['parte trasera'],0
1.226657,-0.710321,['parte delantera'],4
-1.1104562,0.02608947,['parte derecha'],0
0.8238334,-0.6221134,['parte derecha'],4
0.24942227,-1.4156288,['parte delantera'],3
-1.109774,0.027531764,"['parte derecha', 'parte izquierda']",0
0.7832277,1.1082201,"['parte derecha', 'parte izquierda']",6
0.3931449,-1.429702,"['parte trasera', 'parte izquierda']",3
1.1724765,-1.03924,['parte trasera'],4
0.97311944,1.2551126,['parte delantera'],6
0.6331153,0.0025379043,"['parte derecha', 'parte izquierda']",1
-1.1098713,0.026496422,['parte trasera'],0
-1.1068623,0.028284157,"['parte delantera', 'parte trasera']",0
-1.1117945,0.028589843,"['parte delantera', 'parte derecha']",0
0.75171345,2.2287812,['parte trasera'],6
1.0074698,-0.7368028,['parte izquierda'],4
1.3080904,-0.80774707,"['parte delantera', 'parte trasera']",4
-1.1110487,0.027483502,['parte trasera'],0
0.59875613,-0.042532418,['parte trasera'],1
0.4905303,0.0051183496,"['parte delantera', 'parte derecha']",1
0.36170653,-1.3505355,['parte derecha'],3
-1.1087414,0.026616033,['parte trasera'],0
0.16602017,-0.14223795,['parte delantera'],1
-1.1066778,0.028922766,['parte trasera'],0
-1.1067026,0.02573297,['parte derecha'],0
1.2293223,-0.05682367,['parte izquierda'],7
-1.108975,0.024262154,['parte delantera'],0
-1.1077186,0.031017398,['parte derecha'],0
0.3950703,1.8185389,"['parte delantera', 'parte trasera', 'parte izquierda']",6
0.6236329,-1.1734039,['parte derecha'],3
1.0082783,-1.581517,"['parte delantera', 'parte derecha']",3
0.71453434,-1.5243504,['parte izquierda'],3
0.26938918,-0.06897429,"['parte trasera', 'parte izquierda']",1
0.41293073,0.21243194,['parte trasera'],1
0.40960407,1.8665316,['parte trasera'],6
0.40206838,-1.4315948,['parte delantera'],3
-1.1080992,0.02560121,"['parte delantera', 'parte trasera']",0
1.2123923,1.1768836,"['parte delantera', 'parte trasera']",7
0.83709556,0.93813306,"['parte delantera', 'parte trasera']",7
-1.1101301,0.029402507,"['parte delantera', 'parte derecha']",0
0.7709656,-1.4453069,"['parte delantera', 'parte izquierda']",3
0.5358392,0.12112306,['parte delantera'],1
-1.1087003,0.026833648,['parte delantera'],0
1.0342236,2.165694,"['parte delantera', 'parte derecha']",2
0.59660757,1.4775251,['parte delantera'],6
-1.1106725,0.028375035,['parte izquierda'],0
0.39373407,-1.3135867,['parte trasera'],3
0.59280825,-0.052544687,['parte delantera'],1
-1.1122637,0.02415708,['parte delantera'],0
