cod_accidente,descripcion_del_hecho - Final,responsabilidad
AM    ,"EL LUNES 70/1/2019, APROXIMADAMENTE A LAS 20.30HS, CIRCULANDO POR LA CALLE BARTOLOME MITRE, RAMOS MEJA, QUERIENDO DOBLAR A LA IZQUIERDA EN LA ESQUINA CON LA CALLE ALMIRANTE BROWN, IMPACTO CON EL COSTADO IZQUIERDO DE M AUTO UNA MOTO QUE CIRCULABA POR BARTOLOME MITRE, OCUPADA POR DOS PERSONAS, LAS CUALES CAEN AL PISO. INTERCAMBIAMOS DATOS PERSONALES Y DE SEGURO POR PARTE MA Y DE LOS OCUPANTES.
",COMPROMETIDA
AA    ,"DENUNCIA DEL TERCERO

ME ENCONTRABA DETENIDO SOBRE LA AV. DEL LIBERTADOR ESPERANDO EL CAMBIO DE SEMaFORO DE ROJO A VERDE, CUANDO SOY EMBESTIDO POR EL TERCERO EN LA PARTE TRASERA OCASIONANDO LOS DAnOS DETALLADOS.-",COMPROMETIDA
AM    ,"ASEG CIRCULANDO POR AV GAONA EMBISTE CON PARTE DELANTERA A UN TERCERO EL CUAL SE DETIENE DE FORMA ABRUPTA POR SEMAFORO.2 OCUPTANTES  - CAEN AL PAVIMENTO - NO INTERV AMB NI POLICIA -SE RETIRAN POR SUS MEDIOS -SIN LESIONES EVIDENTES - CON CASCO .-",COMPROMETIDA
AM    ,"CIRCULABA POR C VILLEGAS Y CUANDO LLEGO A LA INTERSECCION CON LA AV LARRAZABAL, DOBLO A LA DERECHA Y COLISIONO CON UNA MOTO QUE VENIA POR DETRAS CUYO CONDUCTOR NO ADVIERTE MI MANIOBRA Y COLISIONA CON EL LATERAL DELANTERO DERECHO DE MI UNIDAD. EL CONDUCTOR DE LA MOTO Y SU ACOMPAnANTE QUIENES LLEVABAN CASCO SE CAYERON AL PISO PERO NO SUFRIERON LESIONALGUNA POR LO QUE NO LLAMAMOS A LA AMBULANCIA Y SE RETIRARON POR SUS PROPI OS MEDIOS ANDANDO EN LA MOTO. ACOMPAnANTE MOTO: FABCUNDO LOPEZ DNI 34482915 DATOS DEL TERCERO: SERGIO BARRIONUEVO YAMAHA YBR 936JPC 35265411 NO POSEE.-",COMPROMETIDA
ACI   ,"VH ASEG CIRCULANDO SOBRE CALLE MONROE  AL LLEGAR A LA INTERSECCION CON CALLE VIDELA UN VH LE DA EL PASO Y AL AVANZAR COLISIONA CON SU PARTE DELANTERA DERECHA EN LA RUEDA TRASERA DE UN TERCERO QUE CIRCULABA EN BICI, UN OCUPANTE, SIN CASCO COLOCADO, SE CAE
NO MANIFESTO LESIONES, SE RETIRO POR SUS PROPIOS MEDIOS. 
SIN INTERVENCION DE AMBULANCIA NI POLICIA. SIN DESPLAZAMIENTOS.

 EL ASEGURADO FORMALIZO EN SAN JUSTO 

LA BICICLETA CIRCULABA DESDE LA IZQUIERDA. LA ASEGURADA NO LA VIO. LA ASEGURADA FRENo Y CUANDO EL OTRO AUTO LE CEDE EL PASO ELLA COMIENZA A CRUZAR Y TERMINA EMBISTIENDO A LA BICICLETA QUE CIRCULABA POR DETR\'c0S DEL AUTO 

EL AUTO SOLO TIENE UN PEQUEnO RAYoN POR DEBAJO DE LA OPTICA DEL LADO DERECHO

VUESTRO ASEGURADO FORMALIZO EN SAN JUSTO 

LA BICICLET ACIRCULABA DESDE LA IZQUIERDA. LA ASEGURADA NO LA VIO. LA ASEGURADA FRENo Y CUANDO EL OTRO AUTO LE CEDE EL PASO ELLA COMIENZA A CRUZAR Y TERMINA EMBISTIENDO A LA BICICLETA QUE CIRCULABA POR DETR\'c0S DEL AUTO 

EL AUTO SOLO TIENE UN PEQUEnO RAYoN POR DEBAJO DE LA OPTICA DEL LADO DERECHO 

",CONCURRENTE
AM    ,"EL VEHICULO ASEGURADO GIRABA A LA DERECHA PARA TOMAR LASCANO-SIENDO EMBESTIDO POR UNA MOTO-A PUERTA TRASERA DERECHA -EL MOTOCICLISTA NO CAE-NO RECUERDA SI LLEVABA CASCO-NO INTERVIENE NADIE-INTERCAMBIAN DATOS RETIRANDOSE POR SUS MEDIOS-CON MOLESTIA EN EL HOMBRO-TE ASEGURADA 1559986305 / 4583-7108
",COMPROMETIDA
PEATÃ“N,"ASEGURADO INGRESANDO A ESTACIONAMIENTO DE HOSPITAL MUNICIPAL DE MORON VERIFICA QUE NO PUEDE INGRESAR Y AL REALIZAR MARCHA ATRAS PISA EL PIE DE UN EMPLEADO DE VIGILANCIA DEL LUGAR CON LA RUEDA DELANTERA IZQUIERDA. EL PEATON NO CAYO AL ASFALTO, FUE ATENDIDO EN EL HOSPITAL, HAY INTERVENCION POLICIAL Y CONSTATARON QUE NO PRESENTA LESIONES..-",COMPROMETIDA
AM    ,"ASEGURADO  CIRCULANDO POR AV  SAN MARTIN  CON  ONDA VERDE, CUANDO  CRUZABA  GALICIA CAMBIA EL SEMAFORO A  AMARILLO Y UN TERCERO MOTO QUE CIRCULABA POR ESTA ULTIMA  CRUZA Y LO EMBISTE  EN EL LATERAL IZQUIERDO.

UN OCUPANTE, CON CASCO, CAE AL PISO, INTERVINO POLICIA Y AMBULANCIA, ES  TRASLADADO A  HTAL ALVAREZ EN DONDE  SE CONSTATA Q  NO TIENEN  LESIONES DE GRAVEDAD



15/01 AMPLIO DENUNCIA CON EL CONDUCTOR ASEGURADO 

EL ASEGURADO DICE QUE CRUZO CON EL SEMAFORO EN AMARILLO  Y QUE POSIBLEMENTE HAYA PASADO A ROJO... 

NO VIO A LA MOTO. LA MOTO LO CHOCo EN LA PUERTA DELANTERA IZQUIERDA. 

EL TERCERO FUE TRASLADADO EN AMBULANCIA. LA POLICIA FUE AL LUGAR PERO NO LO TRASLADARON. LO DEJARON AH\'cc Y LO FUE A BUSCAR SU HIJA. 

NO LE HICIERON ALCOHOLEMIA. 

FUE A LA MAnANA Y EL VENIA DE UN CONTROL MEDICO. TIENE 85 AnOS. POR ESO NO LO LLEVARON A LA COMISARIA PERO SI SE LLEVARON EL AUTO 

 TODAVIA NO LE ENTREGARON EL AUTO 
d0",COMPROMETIDA
AM    ,"VH ASEG CIRCULANDO SOBRE CALLE RUCCI ES COLISIONADO EN SU LATERAL TRASERO DERECHO CON LA RUEDA DELANTERA DE UN TERCERO EN MOTO QUE CRUZO EN ROJO, TRES OCUPANTES, SIN CASCOS COLOCADO, SE CAEN DE LA MOTO, CONDUCTOR DE LA MOTO CON LESIONES EN RODILLA IZQUIERDA, ACOMPAnANTE CON LESION EN PIE, Y UNA MENOR CON LESIONES EN BRAZO IZQUIERDO.
INTERVINO AMBULANCIA CON TRASLADO DE LOS LESIONADOS. 
INTERVINO POLICIA QUE RETUVO EL VH ASEG (COMISARIA 52). SIN DESPLAZAMIENTOS
d AMPLIAMOS CON EL ASEGURADO
 
SIN CASCO NINGUNA DE LAS OCUPANTES 
EL ASEGURADO DICE QUE LA TERCERA CRUZ EN ROJO 
LA MOTO NO TENIA SEGURO NO VA A RECLAMAR 
TESTIGOS NO TIENE 
LA AMBULANCIA LAS TRALADO A LAS TRES 
LA POLICIA SE LLEV A LOS VEICULOS PERO EL ASEGURADO NO FUE TRASLADADO 
NO LE HICIERON ALCOHOLEMIA 

d",DISCUTIDA
AM    ,"ME ENCONTRABA CIRCULANDO SOBRE LA AVDA CHICLANA CUANDO UNA MOTO ME IMPACTA EN EL LATERAL TRASERO IZQUIERDO DE MI VH, CAYENDO SU UNICO TRIPULANTE AL SUELO. ESTE FUE TRASLADADO POR EL SAME AL HOSPITAL PENNA. NO HUBO LESIONADOS NI OTROS 3ROS INVOLUCRADOS EN EL STRO MAS ALLA DE LO DECLARADO. 


18/01 FORMALIZO EN FLORES
EL ASEGURADO ES UN HOMBRE MUY MAYOR 
EL AUTO ESTa RETENIDO EN COMISARA 
EL ESTABA ESTACIONADO EN LA AV CHICLANA, PUSO EN MARCHA EL AUTO, VIO UNA MOTO LEJOS. Y A 20 METROS TENA EL SEMaFORO EN ROJO. 
SALI DEL CORDN Y CUANDO AVANZ SINTI EL GOLPE 
LA MOTO IBA EN EL MISMO SENTIDO Y E ESTABA AVANZANDO PARA QUEDARSE ESPERANDO QUE ABRIERA EL SEMaFORO 
LE HICIERON EXAMEN DE ALCOHOLEMIA DIO CERO . VENIA DE COMPRAR REPUESTOS PARA COLOCAR AIRE ACONDICIONADO 
EL TERCERO FUE TRASLADAO POR AMBULANCIA 
EL AUTOMOVIL ASEGURADO QUEDO RETENIDO 
TENA CASCO Y ESTABA CONSCIENTE 
VIO SANGRE EN EL ASFALTO 

d0",COMPROMETIDA
ACI   ,": EL ASEGURADO IBA CIRCULANDO POR POTOSI Y AL LLEGAR AL DOMICILIO MANIOBRA PARA ATRAS Y COLISIONA UNA BICICLETA CON UNA MENOR DE 5 AnOS. EL CICLISTA CAYO AL PISO. EL ASEGURADO LO LLEVO AL AL CENTRO DE ATENCION UPA DE LANUS. PARA SEGURIDAD LE RECOMENDARON LLEVAR AL EVITA PARA SACAR PLACA. NO INTERVINO POLICIA NI AMBULANCIA.

18/01 EL ASEGURADO FORMALIZO EN LOMAS DE ZAMORA 
EL DIO MARCHA ATRaS Y EL MENOR ESTABA POR DETRaS DEL AUTO 
EL ASEGURADO ES UN HOMBRE MUY MAYOR, ACOMPAn AL MENOR A SU CASA Y LUEGO FUERON AL HOSPITAL JUNTO A ELLA. 
LA ACOMPAn A TRES LUGARES DISTINTOS PORQUE NO HABA TRAUMATLOGO 
FINALMENTE LOS DEJ EN EL HOSPITAL EVITA Y SE FUE. 
POR LO QUE SUPO NO LLEG A SER UNA FRACTURA. 
QUEDO EN PASARNOS EL T.E. DE LA MADRE DEL MENOR",COMPROMETIDA
AM    ,"DETENIDO POR SEMANFORO SOBRE AVDA CASTAnARES REINICIO MI MARCHA, MIENTRAS AVANZO UN TERCERO EN MOTO QUE CIRCULABA POR LA MISMA EN SENTIDO CONTRARIO DOBLA EN U, PASANDOSE HACIA LA MANO CONTRARIA (POR LA QUE YOP CIRCULABA) SALIO DE IMPREVISTO DETRAS DE UN COLECTIVO NO LO LLEGUE A VER E IMPACTA EN MI LATERAL IZQUIERDO- IBAN DOS OCUPANTES, CON CASCO, CAEN AL PISO, INTERVINO POLICIA Y AMBULANCIA.- EL ACOMPAnANTE TENIA UN CORTE EN LA PIERNA- FUERON ATENDIDOS POR SAME EN EL LUGAR- LUEGO NOS RETIRAMOS DEL LUGAR- CEL 113396-3899
",DISCUTIDA
AM    ,"VEHICULO ASEGURADO CIRCULANDO POR COLON, EN EL MOMENTO QUE SE DETIENE CON GIRO, A FINES DE PODER DOBLAR A LA IZQUIERDA, UNA MOTO QUE CIRCULABA POR DETRAS, LO COLISIONA EN LA PARTE TRASERA. EN LA MOTO CIRCULABA UNA SOLA. CAE AL PISO. UTILIZABA CASCO. INTERVIENE POLICIA. NO INTERVIENE AMBULANCIA. LUEGO EL MOTOCICLISTA SE RETIRA POR SUS PROPIOS MEDIOS. CABE DESTACAR QUE EL EFECTIVO POLICIAL LE OFRECE ASISTENCIA MEDICA Y EL CONDUCTOR DE LA MOTO SE NEGO A SER ATENDIDO.

d AMPLIACION ASEGURADO 0 En cuanto a la forma en que se produjo el mismo, la direccion esta bien calle Colon esquina Valentin Alsina Monte Grande. Mi senora puso el giro para doblar a la izquierda se detiene para que pase otra moto que venia por valentin alsina y la moto que viene por Colon  colisiona por detras a los segundos golpeando la parte izquierda del paragolpes trasero y parte del baul del mismo lado( lado conductor).
Ante cualquier duda se puede comunicar a mi celular es 1554918518 para mas detalles. Yo viajaba en el asiento del acompanante en el momento del siniestro",DISCUTIDA
PEATÃ“N,";\red0\green0lue0;
 ASEGURADO CIRCULANDO POR LA CALLE BOULEVARD BUENOS AIRES, ASEGURADO DOBLA HACIA LA DERECHA CON SEMAFORO EN VERDE PARA TOMAR LA CALLE RODRIGUEZ, ASEGURADO AL DOBLAR, TERCERO MENOR DE EDAD, CRUZA LA CALLE RODRIGUEZ Y ASEGURADO LO EMBISTE CON SU PARTE DELANTERA, NO HUBO LESION VISIBLE , NO INTERVINO POLICIA, NO INTERVINO AMBULANCIA, SIN DESPLAZAMIENTOS.

 AMPLIACION
 De: Jorge Jonitz [mailto:jorgejonitz@hotmail.com]  Enviado el: jueves, 24 de enero de 2019 07:47 p.m. Para: Alejandra Noemi Carrera Asunto: Lesiones GSL 13250567473
 Sra. Alejandra .
   Buenas tardes, le contesto en lo posible, lo que me pide.
   Con respecto al hecho ocurrido, es lo que figura en la denuncia de siniestro.
   La cantidad de ocupantes en el vehiculo, eramos dos personas.
   No hubo intervencion policial.
   La persona embestida no sufrio lesiones, porque se cayo, luego se levanto y cruzo la avenida Boulevard  Bs. As. corriendo.
   No se tomaron datos ni telefonos de ninguna persona.
   No me realizaron ningun control de alcoholemia, porque no hubo intervencion policial
   Saludos. Jorge G. Jonitz.
",CONCURRENTE
AM    ,"ASEGURADO CIRCULANDO POR CALLE REP DE GUATEMALA 2200 A LA ALTURA DE INTERSECCION CON CALLE VIRREY CISNEROS (SAN JUSTO - BS AS) CUANDO UN TERCERO QUE CIRCULABA POR LA ULTIMA EN MOTO (UN OCUPANTE, SIN CASCO). ASEGURADO EMBISTI CON FRENTE DERECHO AL LATERAL IZQUIERDO DEL TERCERO. CAE AL PAVIMIENTO, NO PIERDE EL CONOCIMIENTO, SE REINCORPORA POR SUS PROPIOS MEDIOS. SIN DESPLAZAMIENTOS, INTERVIENE POLICIA. NO INTERVINO AMBULANCIA.-.-",COMPROMETIDA
AM    ,"CIRCULANDO POR PERON , UNA MOTO QUE CIRCULABA A MI DERECHA SE CIERRA REPENTINAMENTE Y ME COLISIONA EN MI LATERAL DERECHO , UNA PERSOANA EN LA MOTO, CAE AL PISO, LLEVABA CASCO, NO SE LEVANTA, INTERVINO AMBULANCIA Y POLICIA, HAY CAMARAS DE SEGURIDAD QUE FILAMRON EL ACCIDENTE, LA PERSONA DE LA MOTO FUE TRASLADADA EN AMBULANCIA. ",COMPROMETIDA
AM    ,"VH ASEGURADO DETENIDO SOBRE AV PEDRO SUAREZ PARA INGRESAR A LA IZQUIERDA A LUBRICENTRO CON GUInO, FUE COLISIONADO EN LA PARTE TRASERA POR LA DELANTERA DE UN TERCERO (MOTO, UN OCUPANTE, SIN CASCO, NO SABE SI CAYO) QUE CIECULABA DETRAS, TERCERO CON RASPON EN RODILLA, LUEGO SE FUE POR SUS MEDIOS EN LA MOTO
 .-",COMPROMETIDA
AM    ,"CIRCULANDO POR CALLE DIRECTORIO, APARENTEMENTE LA MOTO MUERDE LAS VIAS Y SE FUE CONTRA MI VH EN MI LATERAL DERECHO. EL CONDUCTOR DE LA MOTO CAE. HUBO INTERVENCION DEL SAME Y DE LA POLICIAL. FUE TRASLADADO AL HOSPITAL PInEYRO. SIN OTROS TERCEROS INVOLUCRADOS. DATOS DEL TERCERO: CASTELAR LEONARDO ANDRES HONDA 938EEV 23176798 LIBRA

 ASEGURADO FORMALIZO EN ACA
EL HECHO OCURRIO EN AV DIRECTORIO Y EMILIO MITRE 
RATIFICA LA MECANICA. DICE QUE EL TERCERO ES PERSONAL POLICIAL Y QUE EN PRINCIPIO NO ESTARIA EN 
FUNCION YA QUE NO TENA UNIFORME PUESTO 
 QUE MORDI UNA VA DEL TRANVA QUE HAY A ESA ALTURA DE DIRECTORIO Y QUE  CAY . 
QUE SUFRI LESIONES LEVES. 
EN EL MOMENTO CONCURRI PERSONAL POLICIAL Y QUE EL TERCERO RECONOCI LO QUE LE HABIA PASADO. 
QUE NO DETUVIERON AL ASEGURADO NI LO TRASLADARON, NO LE HICIERON ALCOHOLEMIA 
NO TOM T.E. DEL TERCERO. 
SACO FOTOS A SU CARNET DE CONDUCIR QUE ESTABA VENCIDO Y AL COMPROBANTE DEL SEGURO 
NO SABE SI VA A RECLAMAR 
EL TERCERO ES CASTELAR LEONARDO ANDRES DNI 23176798 

 .-",DISCUTIDA
AM    ,";\red0\green0lue0;
\uc1 VEHICULO ASEGURADO POR MANSILLA, AL DOBLAR EN MARTINTO COLISIONA CON SU LATERAL DERECHO A UNA MOTOCICLETA QUE CIRCULABA SOBRE LA MISMA. MOTO CON UN OCUPANTE CON CASCO CAE AL  PISO. 
NO INTERVINO POLICIA NI AMBULANCIA.
EL ASEGURADO DOBLA A LA DERECHA Y COLISIONA A LA MOTO QUE IBA EN EL MISMO SENTIDO A SU DERECHA. TIENE UN DAnO ENTRE EL CAPOT Y GUARDABARRO DERECHO.
d
28/03 AMPLIAMOS CON EL ASEGURADO  

EL HECHO OCURRI EN ENERO. DIJO QUE LO ASISTIo AL TERCERO. LE OFRECIo LLEVARLO AL HOSPITAL, NO QUISO. 
LUEGO FUE UN AMIGO DEL TERCERO Y SE RETIRARON DEL LUGAR 

EN EL MES DE MARZO LO LLAMO EL TERCERO. APARENTEMENTE LA PERSONA QUE ACOMPAn AL MOTOCICLISTA TOM LA PATENTE Y AS DIERON CON EL 

EL TERCERO LE DIJO QUE LUEGO DEL ACCIDENTE FUE AL M\'c8DICO, ETC. QUE SE TUVO QUE HACER VER. ENTONCES DECIDIO HACER LA DENUNCIA 

 EL ASEGURADO HIZO LA DENUNCIA A RAZ DEL LLAMADO DEL TERCERO. 
d
",COMPROMETIDA
AM    ,"SALIENDO DE MI DOMICILIO PARTCULAR, MARCHA ATRAS, MIRO HACIA AMBOS LADOS, SIN DIVISAR NING\'daN VEHICULO Y CUANDO COMIENZO A BAJAR DE LA VEREDA A LA CALLE, UNA MOTO ME EMBISTE EN MI PARTE TRASERA CON SU FRENTE. UN OCUPANTE, CON CASCO, CAE AL PAVIMENTO, SE LEVANTA POR SUS PROPIOS MEDIOS, INTERVINE AMBULANCIA DEL SAME Y DE SU ART, QUIEN LO TRASLADA, NO INETRVIENE POLICIA. SIN DESPLAZAMIENTOS.-
",COMPROMETIDA
AM    ,"ASEGURADO CIRCULANDO SOBRE CALLE CNO GRAL BELGRANO AL ESQUIVAR UN POZO QUE HABIA SOBRE LA MISMA COLISIONA CON UN TERCERO (MOTO), QUE CIRCULABA SOBRE LA MISMA, IMPACTANDO CON SU LATERAL DERECHO SOBRE EL LATERAL IZQUIERDO DEL ASEGURADO, IBA UN SOLO OCUPANTE EN LA MOTO, HOMBRE, LLEVABA CASCO, CAE A LA CALLE, SE LEVANTA Y RETIRA POR SUS PROPIOS MEDIOS, SIN INTERVENCION POLICIAL NI DE AMBULANCIAS, SIN DESPLAZAMIENTOS..-


d ASEGURADO FORMALIZ EN LA OFICINA DE QUILMES  
RATIFIC MECaNICA 
MUY LEVE, SIN INTERVENCION DE POLICIA NI AMBULANCIA 
NO TIENE T.E. DEL TERCERO ",COMPROMETIDA
PEATÃ“N,"VH ASEG CIRUCULANDO SOBRE LA ROZA, CUANDO AL GIRAR HACIA LA CALLE IZQUIERDA PARA RETOMAR OLIDEN, COLISIONA CON SU PARTE DELANTERA A UN TERCERO (PEATON) QUE SE ENCONTRABA CRUZANDO ESTA ULTIMA CALLE MENCIONADA. EL TERCERO CAE AL SUELO, HUBO INTERVENCION DE AMBULANCIA, NO DE POLICIA, EL TERCERO SE QUEDA EN EL LUGAR AGUARDANDO LA AMBULANCIA. SIN DESPLAZAMIENTOS.
 .-",COMPROMETIDA
AA    ,"LA AVENIDA ESTABA CONGESTIONADA Y AL FRENAR EL VEHCULO QUE VENIA DELANTE MIO NO PUEDE FRENAR A TIEMPO Y LO EMBEST
 .-",COMPROMETIDA
AM    ,"CIRCULABA POR CABILDO CUANDO AL LLEGAR A ECHEVERRIA UNA MOTO INTENTA SOBREPASARME POR LA DERECHA Y ME EMBISTE EN LA PARTE LATERAL DERECHA Y CAE REINCORPORANDOSE DE INMEDIATO POR SUS PROPIOS MEDIOS .NO INTERVINO POLICIA NI AMBULANCIA.EL MOTOCICLISTA RENGUEABA PERO NO ACUSO LESIONES. DATOS DEL TERCERO: FANDInO MARCELO ALEJANDRO YAMAHA YBR125 068KRU 29319931 ATM
d0",COMPROMETIDA
