cod_accidente;descripcion;filter;responsabilidad;narracion;resultado
aa    ;vh asegurado circulando por calle zabala colisiona con su parte frontal a la parte un tercero que frena de golpe  personas con casco tercero se retira por sus propios medios;vehiculo asegurado circulando calle zabala colisiona su parte frontal parte tercero frena golpe personas casco tercero retira sus propios medios;comprometida;tercera persona;1
aa    ;vh asegurado circulando por s de la frontera colisiono con la parte delantera a la trasera de un tercero que se detuvo por semaforo sin lesiones ni desplazamientos  aseg amplia que acompanante de tercero se tocaba el cuello;vehiculo asegurado circulando s frontera colisiono parte delantera trasera tercero detuvo semaforo sin lesiones ni desplazamientos asegurado amplia acompanante tercero tocaba cuello;comprometida;tercera persona;1
aa    ;mecanica del hecho s vs asegurado  circulando por corrientes cuando doblo a la izquierda para continuar mi marcha por lavalleun vh que venia por esta ultima se asusta y cambia de carril invadiendo la mano contraria que es por donde habia doblado yocalle doble mano y me impacta con su parte delantera en mi lateral izquierdoproducto del impacto el conductor aca pierde el conocimiecontconocimientoes trasladado por ambulancia al hospital zonal de varelaen mi pueblojunto a el tercero quien acuso lesiones en la mano que le informaronal conductor aca luego en la comisariaintervino policia de la com ra de fvarela entregandole el vh luego de radicar la denunciadentro del vh del terc i ba otra persona desconociendo datosno hubo otros terceros inv ni lesionados datos del tercero silva bianca fernanda citr c mfw  ;mecanica hecho s vs asegurado circulando corrientes doblo izquierda para continuar mi marcha lavalleun vehiculo venia esta ultima asusta cambia carril invadiendo mano contraria es donde habia doblado yocalle doble mano me impactado su parte delantera mi lateral izquierdoproducto impacto conductor aca pierde conocimiecontconocimientoes trasladado ambulancia hospital zonal varelaen mi pueblojunto tercero quien acuso lesiones mano le informaronal conductor aca luego comisariaintervino policia com ra fvarela entregandole vehiculo luego radicar denunciadentro vehiculo terc i ba otra persona desconociendo datosno hubo otros tercero inv ni lesionados datos tercero silva bianca fernanda citr c mfw;comprometida;primera persona;1
aa    ;vh asegurado circulaba por calle nicaragua cuando colisiona su parte delantera en parte trasera de un tercero que freno por transito sin lesiones ni desplazamientos;vehiculo asegurado circulaba calle nicaragua colisiona su parte delantera parte trasera tercero freno transito sin lesiones ni desplazamientos;comprometida;tercera persona;1
aa    ;aseg maniobra para salir de lugar estacionado por av yrigoyen cuando impacta con un tercero que circulaba su lateral delantera izquierdo con el lateral trasero derecho sin lesiones ni desplazamiento;asegurado maniobra para salir lugar estacionado avenida yrigoyen impactado tercero circulaba su lateral delantera izquierdo lateral trasero derecho sin lesiones ni desplazamiento;comprometida;tercera persona;1
aa    ;circulaba por la avenida balbin cuando impacto con la parte delantera en la parte trasera de un tercero que se detiene por el trafico delante de mi a raiz del impacto el tercero se desplaza y colisiona con la parte delantera en la parte trasera de otro vehiculo del cual no tengo datos sin lesiones ;circulaba avenida balbin impacto parte delantera parte trasera tercero detiene trafico delante mi raiz impacto tercero desplaza colisiona parte delantera parte trasera otro vehiculo cual no tengo datos sin lesiones;comprometida;primera persona;1
aa    ;vh aseg circulando por calle alvarez jonte y en la interseccion con calle miguel de salcedo un tercero que circulaba por esta ultima mencionada se atraviesa y el aseg no logra evitar la colision con su pb delantera en el lateral derecho del tercero  en el vh asegurado hay  personas lesionadas transportadas  intervino transito no intervino ambulancia;vehiculo asegurado circulando calle alvarez jonte interseccion calle miguel salcedo tercero circulaba esta ultima mencionada atraviesa asegurado no logra evitar colision su parte delantera lateral derecho tercero vehiculo asegurado hay personas lesionadas transportadas intervino transito no intervino ambulancia;concurrente;tercera persona;1
aa    ;circulando por la calle menbrillar al pasar por la derecha al tercero chevrolet celta es cuando este frena de golpe y no puedo evitar colisionarlo al tercero en la parte trasera derecha con la parte delantera izquierda de mi vh sin desplazamiento;circulando calle menbrillar pasar derecha tercero chevrolet celta es este frena golpe no puedo evitar colisionado tercero parte trasera derecha parte delantera izquierda mi vehiculo sin desplazamiento;comprometida;primera persona;1
aa    ;vh aseg circulando sobre av mosconi colisiona con su parte delantera en la parte trasera de un tercero que detuvo la marcha sobre la misma el tercero se deslpaza y colisiona otro vh sobre la misma quien se desplaza y colisiona otro vh el cual se desplaza y colisiona otro sin lesionados;vehiculo asegurado circulando avenida mosconi colisiona su parte delantera parte trasera tercero detuvo marcha misma tercero deslpaza colisiona otro vehiculo misma quien desplaza colisiona otro vehiculo cual desplaza colisiona otro sin lesionados;comprometida;tercera persona;1
aa    ; vhl asegurado se encontraba circulando por ayacucho delante se detiene un tercero por transito  asegurado lo colisiona con su parte delantera en su parte trasera sin lesiones sin desplazamientos no interviene policia ni ambulancia;vehiculo asegurado encontraba circulando ayacucho delante detiene tercero transito asegurado colisiona su parte delantera su parte trasera sin lesiones sin desplazamientos no interviene policia ni ambulancia;comprometida;tercera persona;1
aa    ;vh aseg circulando por avda mitre  avellaneda  bs as cuando un tercero que circulaba por la misma en  igual sentido delante del asegurado frena por semaforo y el ultimo lo embiste con la parte frontal en la parte trasera del tercero sin lesiones sin intervenciones sin desplazamientos;vehiculo asegurado circulando avda mitre avellaneda bs as tercero circulaba misma igual sentido delante asegurado frena semaforo ultima embiste parte frontal parte trasera tercero sin lesiones sin intervenciones sin desplazamientos;comprometida;tercera persona;1
aa    ;circulaba por av pueyrredon cuando no puedo evitar colisionar al auto que tenia delante con mi parte delantera en su parte trasera izquierda sin desplazamientos ni lesionados;circulaba avenida pueyrredon no puedo evitar colisiona auto tenia delante mi parte delantera su parte trasera izquierda sin desplazamientos ni lesionados;comprometida;primera persona;1
aa    ;circulando cuando el vh que venia delante mio frena yo tambien lo hago pero no llego a hacerlo por completo y lo colisiono con mi parte delantera en su parte trasera y este con su parte delantera en la parte trasera de un doro datos del doro  chev agile gris dominiojipno hubo otros terceros involucrados ni lesionados datos del tercero ibanez julio peug  etw  mercantil andina;circulando vehiculo venia delante mio frena yo tambien hago pero no llego hacerlo completo colisiono mi parte delantera su parte trasera este su parte delantera parte trasera doro datos doro chev agile gris dominiojipno hubo otros tercero involucrados ni lesionados datos tercero ibanez julio peug etw mercantil andina;comprometida;primera persona;1
aa    ;circulando por av cristiania giro a mi mano derecha y tomo calle tokio antes de tomarla el tercero que venia delante mio frena de manera imprevista a pesar de haber frenado no logro evitar el contacto de la parte frontal de mi vehiculo con la parte trasera del tercero el conductor acuso sufrir un golpe en su brazo derecho conductor del vehiculo del tercero sr gomez juan carlos  dnilic de conducir nro  emitido por gcba  otorgamiento   vencimiento  no hubo intervencion policial ni de ambulancia datos del tercero robledo gladys lujan fiat idea hlx  fhg   federacion patronal;circulando avenida cristiania giro mi mano derecha tomo calle tokio antes tomarla tercero venia delante mio frena manera imprevista pesar haber frenado no logro evitar contacto parte frontal mi vehiculo parte trasera tercero conductor acuso sufrir golpe su brazo derecho conductor vehiculo tercero sr gomez juan carlos dnilic conducir nro emitido gcba otorgamiento vencimiento no hubo intencion policial ni ambulancia datos tercero robledo gladys lujan fiat idea hlx fhg federacion patronal;comprometida;primera persona;1
aa    ;vh aseg circulando por independencia al llegar a la interseccion con araoz el aseg embiste con su parte frontal al lateral izquierdo de un vh tercero que cruzaba sobre calle araoz informa que la conductora informo molestias en el cuello no interviene policia y ambulancia ya que no considero la lesion de gravedad y luego del intercambio de datos se retiran por sus propios medios sin desplazamientos;vehiculo asegurado circulando independencia llegar interseccion araoz asegurado embiste su parte frontal lateral izquierdo vehiculo tercero cruzaba calle araoz informa conductora informo molestias cuello no interviene policia ambulancia ya no considero lesion gravedad luego intercambio datos retiran sus propios medios sin desplazamientos;comprometida;tercera persona;1
aa    ;circulaba por la ruta  cuando debido a un bache pierdo el control del vehiculo e impacto con el lateral izquierdo en el lateral trasero izquierdo de un tercero chevrolet corsa que circulaba por la misma en direccion contraria luego impacto con la parte delantera en la parte delantera de otro vehiculo vw amarok que circulaba en direccion contraria detras del primer vehculo a raiz del impacto el conductor del vhlo chevrolet corsa manifestaba sentir dolor en la espalda por lo que interviene personal de ambulancia los cuales lo atienden en el lugar luego los involucrados se dirigen a la dependencia policiald;circulaba ruta debido bache pierdo control vehiculo e impacto lateral izquierdo lateral trasero izquierdo tercero chevrolet corsa circulaba misma direccion contraria luego impacto parte delantera parte delantera otro vehiculo vehiculo amarok circulaba direccion contraria detras primer vehiculo raiz impacto conductor vehiculo chevrolet corsa manifestaba sentir dolor espalda interviene personal ambulancia los cuales atienden lugar luego los involucrados dirigen dependencia policiald;comprometida;primera persona;1
aa    ;circulando por la av  de abril cuando estoy cruzando la interseccion con sarratea se cruza sin prioridad de paso un vw bora freno pero no logro evitar la colision de mi frente con su parte delantera izq ambos conductores fuimos trasladados al hosp lucio melendez de adrogue por ambulancia no hubo otro lesionado ;circulando avenida abril estoy cruzando interseccion sarratea cruza sin prioridad paso vehiculo bora freno pero no logro evitar colision mi frente su parte delantera izquierda ambos conductores fuimos trasladados hosp lucio melendez adrogue ambulancia no hubo otro colisionado;discutida;primera persona;1
aa    ;asegurado circulando por terrero embiste con su parte delantera a un tercero que circulaba en mismo sentido en su parte trasera sin desplazamientos el conductor del vehiculo tercero y el asegurado sufren lesiones intervino policia y ambulancia;asegurado circulando tercero embiste su parte delantera tercero circulaba mismo sentido su parte trasera sin desplazamientos conductor vehiculo tercero asegurado sufren lesiones intervino policia ambulancia;comprometida;tercera persona;1
aa    ;ciculando por calchaqui al llegar a azurduy freno el transito yo freno pero igualmente toco al peugeot  desplazandose e impactando al vw ventoampliamos con v asegurado en cuanto al hecho corrobor la mecanica impacta al tercero en la parte trasera intent frenar y no lleg a hacerlo manifiesta que en el rodado tercero iban  ocupantes si bien no recuerda exacto las caractersticas solo recordaba la cara de dos de ellos ;circulando calchaqui llegar azurduy freno transito yo freno pero igualmente toco peugeot desplazandose e impactado vehiculo ventoampliamos v asegurado cuanto hecho corrobor mecanica impactado tercero parte trasera intent frenar no lleg hacerlo manifiesta rodado tercero iban ocupantes si bien no recuerda exacto las caractersticas solo recordaba cara dos ellos;comprometida;primera persona;1
aa    ;me encontraba saliendo del estacionamiento del shopping cuando un tercero me impacta en mi parte delantera derecha de mi vh con su parte delantera no hubo lesionados ni mas terceros datos del tercero casteluccio agustin vw vento kmc  federacion patronal;me encontraba saliendo estacionamiento shopping tercero me impactado mi parte delantera derecha mi vehiculo su parte delantera no hubo lesionados ni mas tercero datos tercero casteluccio agustin vehiculo vento kmc federacion patronal;comprometida;primera persona;1
aa    ;circulando por  de julio y mexico cuando embisto con mi parte delantera en la parte trasera de un ero que detiene la marcha por cambio del semaforo sin desplazamientos ni lesionados;circulando julio mexico embisto mi parte delantera parte trasera tercero detiene marcha cambio semaforo sin desplazamientos ni lesionados;comprometida;primera persona;1
aa    ;vh aseg circulanso sobre sourdeaux tunel debajo de las vias del tren  vh tercero detenido por trafico en la misma calle vh aseg pasa el tuenel y en la salida del mismo colisiona su parte delnatera con la parte trasera del vh tercero  sin lesioandos  sin desplazamien tos;vehiculo asegurado circulando sourdeaux tunel debajo las vias tren vehiculo tercero detenido trafico misma calle vehiculo asegurado pasa tuenel salida mismo colisiona su parte delantera parte trasera vehiculo tercero sin lesioandos sin desplazamien tos;comprometida;tercera persona;1
aa    ;vh aseg circulando por calle miralla mataderos al llegar a av mataderos cuando un tercero frena de golpe para no pasar con el semaforo en rojo es colisionado por la parte trasera con la parte delantera del vh aseg sin desplazamientos y sin lesiones;vehiculo asegurado circulando calle miralla mataderos llegar avenida mataderos tercero frena golpe para no pasar semaforo rojo es colisionado parte trasera parte delantera vehiculo asegurado sin desplazamientos sin lesiones;comprometida;tercera persona;1
aa    ;el asegurado iba circulando por la av cuando el vehiculo de adelante frena repentinamente y el asegurado lo colisiona en parte trasera con la parte delantera intervino policia tomando datos el conductor del otro vehiculo sufrio latigazo cervical lo mismo que un acompanante;asegurado iba circulando avenida vehiculo delante frena repentinamente asegurado colisiona parte trasera parte delantera intervino policia tomando datos conductor otro vehiculo sufrio latigazo cervical mismo acompanante;comprometida;primera persona;1
aa    ;aseg por saladillo y tercero que aparece por el costado izquierdo por ibanez aseg le colisiona  en la puerta trasera derecha con la trompa del vh aseg tercero  lesionado que iba en la parte de atras del vh tercero interviene policiatel de aseg ;asegurado saladillo tercero aparece costado izquierdo ibanez asegurado le colisiona puerta trasera derecha trompa vehiculo asegurado tercero colisionado iba parte atras vehiculo tercero interviene policiatel asegurado;concurrente;tercera persona;1
aa    ;venia circulando por la calle espinosa en el cruce de esta con la calle arengreen viniendo yo por la mano derecha impacto contra un vehculo contra su puerta delantera derecha y parte de su guardabarros delantero derecho luego del impacto el otro auto se subi a la vereda impactando contra la pared luego del choque el vehiculo se subi a la vereda y termina impactando contraa pared de la vivienda en la esquina la hija del tercero tuvo un golpe en el parietal derecho de su cabeza hubo intervencion del same pero el tercero no quizo que se trasladara a su hija a un hospital no hubo lesionados ni otros ros involucrados en el stro mas alla de lo declarado datos del tercero ana jolly volkswagen voyage jyd  boston;venia circulando calle espinosa cruce esta calle arengreen viniendo yo mano derecha impacto contra vehiculo contra su puerta delantera derecha parte su guardabarros delantero derecho luego impacto otro auto subi vereda impactado contra pared luego choque vehiculo subi vereda termina impactado contraa pared vivienda esquina hija tercero tuvo golpe parietal derecho su cabeza hubo intencion same pero tercero no quizo trasladara su hija hospital no hubo lesionados ni otros ros involucrados siniestro mas alla declarado datos tercero ana jolly volkswagen voyage jyd boston;concurrente;primera persona;1
aa    ;aseg circulaba por bogota cuando esta comenzando a cruzar por carrasco  es impactado en su parte delantera derecha por tercero que circulaba por esta con la parte frontal del tercero sin lesionesel asegurado amplio por escrito y el original fue dejado en una oficina de v cia hemos anticipado la copia de la ampliacion;asegurado circulaba bogota esta comenzando cruzar carrasco es impactado su parte delantera derecha tercero circulaba esta parte frontal tercero sin lesionesel asegurado amplio escrito original fue dejado una oficina v cia hemos anticipado copia ampliacion;comprometida;tercera persona;1
aa    ;aseg circulaba sobre calle  cuando embiste con la parte delantera en la parte trasera de un tercero renault clio gris que se detuvo delante este producto del impacto se desplaza embistiendo a otro vh  renault clio azul detenido delante el conductor del vehculo renault clio gris result lesionado;asegurado circulaba calle embiste parte delantera parte trasera tercero renault clio gris detuvo delante este producto impacto desplaza embestido otro vehiculo renault clio azul detenido delante conductor vehiculo renault clio gris result colisionado;comprometida;tercera persona;1
aa    ;vehiculo asegurado circulando por gral paz cuando cort losbulones de una rueda la rueda salio desplazada e impact a und vehiculo;vehiculo asegurado circulando general paz cort losbulones una rueda rueda salio desplazada e impacto und vehiculo;;tercera persona;1
aa    ;vh aseg saliendo en reversa de gge impacta con su parte trasera en el lateral izquierdo de un tercero que estaba detenido con el conductor arriba sin desplazamientosel conductor del vh tercero inform que se rasp la mano;vehiculo asegurado saliendo reversa garage impactado su parte trasera lateral izquierdo tercero estaba detenido conductor arriba sin desplazamientosel conductor vehiculo tercero inform rasp mano;comprometida;tercera persona;1
aa    ;circulando por calle casn juan al llegar a la interseccion con calle intenente alvear se produce la colision con mi parte delantera  y la parte lateral izquierda del tercero sin desplazamientos en el vh del tercero sufre lesiones una personano interviene policia ni ambulancia;circulando calle casn juan llegar interseccion calle intenente alvear produce colision mi parte delantera parte lateral izquierda tercero sin desplazamientos vehiculo tercero sufre lesiones una personano interviene policia ni ambulancia;comprometida;primera persona;1
aa    ;vh aseg estaba detenido en el semaforo sobre av dorrego cuando es impactado en la parte trasera por la parte delantera del vh del tercero que circulaba detras sin desplazamientos ni lesionados el conductor del vh aseg sufrio un latigazo amigo y novia del conductor se hacen atender por en el hospital por un latigazo tambien no hubo intervinientes ;vehiculo asegurado estaba detenido semaforo avenida dorrego es impactado parte trasera parte delantera vehiculo tercero circulaba detras sin desplazamientos ni lesionados conductor vehiculo asegurado sufrio latigazo amigo novia conductor hacen atender hospital latigazo tambien no hubo intervinientes;discutida;tercera persona;1
aa    ;vh aseg maniobra para cambiar de carril sobre av centenario colisiona con su lateral trasero derecho con el lateral trasero izquierdo de un tercero detenido sobre la misma por semaforo sin lesinoados ni desplazamientos;vehiculo asegurado maniobra para cambiar carril avenida centenario colisiona su lateral trasero derecho lateral trasero izquierdo tercero detenido misma semaforo sin lesinoados ni desplazamientos;comprometida;tercera persona;1
aa    ;redgreenlue el asegurado circulaba por aguero de sur a norte cuando el tercero que circulaba por aguero a contramano a alta velocidad invade el carril del asegurado y por mas que el asegurado intenta esquivarlo no puede evitar que el tercero lo choque en el lateral derecho con el frente por el choque resulto con lesiones el terceroel asegurado formalizo en quilmes la calle tiene mano y contramano manifiesta  que el tercero iba por su mano y que de golpe  se le vena de frente el asegurado maniobra hacia la izquierda para no chocar de frente con el tercero concurri  policia y ambulancia lo traslado la ambulancia al tercero iba solo el asegurado no fue trasladado  a la comisaria no le hicieron alcoholemia  tercero  tena seguro en federacion patronal tendria fotos y datos de la causa penal insiste en que el tercero venia de contramano no sabe si hara reclamo porque quizas tenga destruccion total ;asegurado circulaba aguero sur norte tercero circulaba aguero contramano alta velocidad invade carril asegurado mas asegurado intenta esquivarlo no puede evitar tercero choque lateral derecho frente choque resulto lesiones tercero asegurado formalizo quilmes calle tiene mano contramano manifiesta tercero iba su mano golpe le vena frente asegurado maniobra hacia izquierda para no chocar frente tercero concurri policia ambulancia traslado ambulancia tercero iba solo asegurado no fue trasladado comisaria no le hicieron alcoholemia tercero tena asegurado federacion patronal tendria fotos datos causa penal insiste tercero venia contramano no sabe si hara reclamo porque quizas tenga destruccion total;discutida;tercera persona;1
aa    ;haba trafico en la rotonda aseg se abre hacia la derecha paraintentar pasar cuando otro vh ingresando en la rotonda roza consu lateral a vh aseg en parte frontal lado derecho solrballesterd gmailcom;haba trafico rotonda asegurado abre hacia derecha paraintentar pasar otro vehiculo ingresando rotonda roza consu lateral vehiculo asegurado parte frontal lado derecho solrballesterd gmailcom;;tercera persona;1
aa    ;vhl aseg circulando por de la penavhl de tercero circulanbdo por camino gral belgrano el asegurado indica que asoma para cruzarno hay semaforo y el tercero lo colisiona con su lateral derecho en el lateral izquierdo del vhl asegurado  lesiones conductor del vh del b  luis gonzalo agustin ;vehiculo asegurado circulando penavhl tercero circulando camino general belgrano asegurado indica asoma para cruzarno hay semaforo tercero colisiona su lateral derecho lateral izquierdo vehiculo asegurado lesiones conductor vehiculo b luis gonzalo agustin;comprometida;tercera persona;1
aa    ;aseg estacionado y al comenzar la marcha un  que venia circulando lo coliciona en el frente delantero derecho  danando tambien la puerta delantera derecha;asegurado estacionado comenzar marcha venia circulando colisiona frente delantero derecho danando tambien puerta delantera derecha;comprometida;primera persona;0
aa    ;circulando por gandara al llegar a burela la senora mira para el otro lado y choca al asegurado en parte delantera con parte delantera sin desplazamientos ni lesiones;circulando gandara llegar burela senora mira para otro lado choca asegurado parte delantera parte delantera sin desplazamientos ni lesiones;comprometida;primera persona;0
aa    ;vh asegurado circulando por calle monroe colisiona con su parte frontal a la parte trasera de un tercero detendo por transito sin desplazamientos conductor del vh tercero con lesionesel asegurado  formalizo en casa centraltema leve choque de atrcs no llega a frenar y embiste al tercero que estaba frenado por el trcnsito no participo policia ni ambulancia el tercero supuestamente iba con una chicapero no le tomo datos ni la llego a ver bien porque no bajo del auto  ;vehiculo asegurado circulando calle monroe colisiona su parte frontal parte trasera tercero detendo transito sin desplazamientos conductor vehiculo tercero lesionesel asegurado formalizo casa centraltema leve choque atrcs no llega frenar embiste tercero estaba frenado trcnsito no participo policia ni ambulancia tercero supuestamente iba una chicapero no le tomo datos ni llego ver bien porque no bajo auto;comprometida;tercera persona;1
aa    ; asegurado circulando por ruta  mano derecha al perder el control del auto se cruza de carril poniendose de manera  perpendicular es colisionado en el lateral izquierdo por el frente de un camion que lo arrastra unos metros luego se desplaza produce el impacto del asegurado con otro vehiculo vw amarok que circulaba sobre mano contraria de la misma un ocupante del vhlo vw amarok sufre un golpe en la cabeza interviene personal policial y de ambulancia los cuales trasladan al lesionado hasta el hospital de gral pacheco;asegurado circulando ruta mano derecha perder control auto cruza carril poniendose manera perpendicular es colisionado lateral izquierdo frente camion arrastra unos metros luego desplaza produce impacto asegurado otro vehiculo vehiculo amarok circulaba mano contraria misma ocupante vehiculo vehiculo amarok sufre golpe cabeza interviene personal policial ambulancia los cuales trasladan colisionado hasta hospital general pacheco;comprometida;tercera persona;1
aa    ;asegurado circulaba por pampa se me cruza un gato y pegue un volantazoy pegue con mi paragolpes delantero en un auto que estacionado intervino ambulancia same llamo un vecino no hubo examen alcoholemia saltaron los airbag cabe destacar que en el vehiculo asegurado iba la novia del conductor la cual sufre golpes varios;asegurado circulaba pampa me cruza gato pegue volantazoy pegue mi paragolpes delantero auto estacionado intervino ambulancia same llamo vecino no hubo examen alcoholemia saltaron los airbag cabe destacar vehiculo asegurado iba novia conductor cual sufre golpes varios;comprometida;primera persona;1
aa    ;asegurado circulando por  embiste con parte delantera a un tercero el cual frena de golpe por transito tercero conductor presenta dolor de cuello se retira sin asistencia  sin desplazamientos;asegurado circulando embiste parte delantera tercero cual frena golpe transito tercero conductor presenta dolor cuello retira sin asistencia sin desplazamientos;comprometida;tercera persona;1
aa    ;conductora asegurada no llega a frenar y toca la parte trasera del auto de adelante la tercero conductora acusa latigazo cervical sin desplazamiento;conductora asegurado no llega frenar toca parte trasera auto delante tercero conductora acusa latigazo cervical sin desplazamiento;comprometida;tercera persona;1
aa    ;asegurado detenido por semaforo sobre calle gral hornos ante senalizacion del mismo para comenzar a circular retoma la marcha y colisiona levemente con un tercero que tenia delante impactando con su parte delantera sobre la parte trasera del tercero este manifestia dolores en el cuello sin desplazamientos;asegurado detenido semaforo calle general hornos ante senalizacion mismo para comenzar circula retoma marcha colisiona levemente tercero tenia delante impactado su parte delantera parte trasera tercero este manifestia dolores cuello sin desplazamientos;comprometida;tercera persona;1
aa    ;vh aseg doblaba desde calle hacia av constituyentes cuando es colisionada a su angulo delantero izquierdo al lateral derecho de un peugeot patente aaxp que circulaba sobre sobre la ultima el caul realiza una mala maniobra sobrepasando a un colectivo detenido sin semaforos sin lesiones ni desplazamientos;vehiculo asegurado doblaba desde calle hacia avenida constituyentes es colisionada su angulo delantero izquierdo lateral derecho peugeot patente aaxp circulaba ultima caul realiza una mala maniobra sobrepasando colectivo detenido sin semaforos sin lesiones ni desplazamientos;comprometida;tercera persona;1
