cod_accidente;descripcion_del_hecho - Final;responsabilidad
am    ;asegurado circulando rep guatemala altura interseccion virrey cisneros san justo bs as tercero circulaba ultima moto ocupante asegurado embisti frente derecho lateral izquierdo tercero cae pavimiento pierde conocimiento reincorpora propios medios desplazamientos interviene intervino;comprometida
am    ;circulando peron moto circulaba derecha cierra repentinamente colisiona lateral derecho persoana moto cae piso llevaba levanta intervino camaras seguridad filamron accidente persona moto trasladada;comprometida
am    ;asegurado detenido pedro suarez ingresar izquierda lubricentro guino colisionado parte trasera delantera tercero moto ocupante sabe cayo cieculaba detras tercero raspon luego medios moto;comprometida
am    ;circulando directorio aparentemente moto muerde vias lateral derecho moto cae intervencion same policial trasladado hospital pineyro terceros involucrados datos tercero castelar leonardo andres honda eev libra asegurado formalizo acael hecho ocurrio directorio emilio mitre ratifica mecanica dice tercero personal policial principio estaria funcion tena uniforme puesto mordi va tranva altura directorio cay sufri lesiones leves momento concurri personal policial tercero reconoci habia pasado detuvieron asegurado trasladaron hicieron alcoholemia tom tercero saco fotos carnet conducir vencido comprobante seguro sabe va reclamar tercero castelar leonardo andres dni;discutida
am    ;redgreenlueuc vehiculo asegurado mansilla doblar martinto colisiona lateral derecho motocicleta circulaba misma moto ocupante cae piso intervino ambulanciael asegurado dobla derecha colisiona moto iba mismo derecha dano capot guardabarro derechod ampliamos asegurado hecho ocurri enero dijo asistio tercero ofrecio llevarlo hospital quiso luego amigo tercero retiraron lugar mes marzo llamo tercero aparentemente persona acompan motociclista tom patente as dieron tercero dijo luego accidente mcdico etc hacer entonces decidio hacer denuncia asegurado hizo denuncia raz llamado tercero d;comprometida
am    ;saliendo domicilio partcular marcha atras miro hacia ambos lados divisar ningdan vehiculo comienzo bajar vereda moto embiste parte trasera frente ocupante cae pavimento levanta propios medios intervine same art traslada inetrviene desplazamientos;comprometida
am    ;asegurado circulando cno gral belgrano esquivar pozo habia misma colisiona tercero moto circulaba misma impactando lateral derecho lateral izquierdo asegurado iba solo ocupante moto llevaba cae levanta retira propios medios intervencion policial ambulancias desplazamientosd asegurado formaliz oficina quilmes ratific mecanica leve intervencion tercero;comprometida
peatã“n;aseg ciruculando roza girar hacia izquierda retomar oliden colisiona parte delantera tercero peaton encontraba cruzando ultima mencionada tercero cae suelo intervencion tercero queda lugar aguardando desplazamientos;comprometida
aa    ;congestionada frenar vehculo venia delante mio puede frenar tiempo embest;comprometida
am    ;circulaba cabildo llegar echeverria moto intenta sobrepasarme derecha embiste parte lateral derecha cae reincorporandose inmediato propios medios intervino ambulanciael motociclista rengueaba acuso lesiones datos tercero fandino marcelo alejandro yamaha ybr kru atmd;comprometida
am    ;aseg encontraba circulando aguero poner luz giro girar hacia bramante iniciar maniobra aseg roza parte delantera tanque nafta moto solo ocupante cae suelo producto intervencion dolencias dedo raspon cadera intervencion muncipal bonaerense ampliaciond venia circulando agfcero san miguel interseccion bramante comence maniobra doblar derecha puse luz giro gire segui agfcero moto venia bramante lado derecho entiendo habra confiado luz giro prioridad paso paso roce termino impactando cordon esquina quede vinieron same municipal bonaerense atendieron alego bien moto abollo tanque combustible rompio pata apoye luz giro derecha delantera debido dejamos casa padres vigil san miguel vuelta esquina hecho acompane domicilio luego paso retirar flete sabado siguiente choque miercoles retiro sabado d;comprometida
aci   ;formalizo moreno ratifica mecanica dice bicicleta iba par junto cordon abrio poquito asegurado embistio cayo piso tercero iba amigo asegurado ofrecio llevarlo hospital tenia hinchada tercero tercero paso datos persona iba junto tercero bicicleta tercero quedo persona dejo hospital merclo eva peron luego buscar familiares sabe lesiones tercero luego hecho llam reclamandole cosas dado qu eno tenia obra social etc asegurado paso datos dijo llame cia participo ambulanciad asegurado formalizo moreno ratifica mecanica dice bicicleta iba par junto cordon abrio poquito asegurado embistio cayo piso tercero iba amigo asegurado ofrecio llevarlo hospital tenia hinchada tercero tercero paso datos persona iba junto tercero bicicleta tercero quedo persona dejo hospital merlo eva peron luego buscar familiares sabe lesiones tercero luego hecho llam reclamandole cosas dado tenia obra social etc asegurado paso datos dijo llame cia participo ambulanciad;comprometida
am    ;aseg maniobraba salir gge parte delantera derecha ro moto circulaba alli moto intervencin levanta retira medios desplazamientos lesionados confirmamos asegurado cuanto meccnica tema leve sali garage hacia adelante punto poste vio tercero retiro propios medios participacin tomo tercero volvi llamar luego hecho;comprometida
am    ;venia circulando dispongo doblar derecha armenia moto venia derecha impacta lateral trasero derecho sel moto cae interviene trasladado trasladaron manifestaba dolor izquierda terceros involucrados mas lesionados datos tercero luis manuel honda titan atm;comprometida
am    ;asegurado ingresaba domicilio moto transitaba mas atras impact eel lateral trasero derecho vehuclo asegurado motociclista cay suelo tena puesto levant intercambiaron datos retir;comprometida
am    ;circulaba emilio mitre cruzar peron motociclista pasa impacta derecha momento presento solicito presencia same evaluo necesario traslado motociclista hospital;concurrente
am    ;circulaba marzo casi terminando cruzar ate brown embestida lat izq parte moto solo ocupante cae pavimento incorpora medios obseva lesiones motociclista int;discutida
am    ;encontraba aguardo cruzar arranco marcha cruzando veo viene moto izquierda freno pongo marcha atras igualmente colisiona parte izquierdael motociclista cae moto baja caminando llevaba intervencion policial tercero asistido lugar trasladado tercero va lugar caminando moto luego busque ir comisaria cuarta hurlingham datos tercero fernando emmanuel val zanella rx hgc prof seguroampliacin aseguradoel encontraba circulando williams llega interseccion pedro diaz ro moto circulaba izquierda colisiona guardabarro delantero izquierdo ro llevaba callo moto solo ocupante moto intervinieron siniestro realizo test alcoholemia asegurado comisaria interviene ta hurlingham vehiculo vue secuestrado asegurado realizara reclamo compania roteniendo cuenta realizo test alcoholemia evitar tome caso letrado contactamos ro intenciones reclamar mismo manifesto siguiente;comprometida
am    ;redgreenlueasegurada circulando roca gira izquierda tomar oabrien habilitada semaforo produce colision parte delantera moto circulaba roca contrario cruzando semaforo iba sobrepasando derecha encontraban detenidos semaforo asegurada puede confirmar iban personas moton caen asfalto interviene actuaciones asegurada confirma hiciero nalcoholemia video probarcca motocicleta cruzo sercca municipalidad obtuvo personas motocicleta;discutida
am    ;asegurado circulaba jose marmol girar derecha moto quiere pasar izquierda embiste espejo retrovisor izquierdo moto iba sola persona tenia golpea auto estacionado cae suelo levanta llama same dolia traslada same cel cond aseg diaz dario ampliacion asegurado asegurado dijo giro izquierda realidad formalizo san martin tercero lesiones trasladado llevo comisaria solo tomo datos hicieron alcoholemia mostro papeles dejaron ir rodado asegurado amigo mismo haba ido auto cargar nafta ayudar familia asegurado tena ir medico persona iba llevar;comprometida
am    ;vehiculo asegurado circulaba yrigoyen colisionado lateral trasero derecho tercero moto persona circulaba misma raiz persona cayo asfalto luego intercambiar datos retiro cuenta desplazamientosd asegurado formalizo lomas zamora iba mismo motocicleta tercera iba detrcs colectivo asegurado pasa colectivoella abre toca parte lateral trasera derecha auto dice auto llego danar hecho va hacer reclamo tercera raspon participo;comprometida
am    ;detenida semaforo illia desliza freno auto desplaza toco frente moto delante mio moto cae suelo llevaba levanta medio lesiones aparentes interviene serv emergencia;comprometida
am    ;circulando llavallol cruce cervantes motocicleta venia ultima mencionada alta velocidad frena colisiona lateral derecho medio auto puertas luego desplazo subo vereda ninguna colision adicional mas eros involucrados moto iba sola persona pega auto cae suelo asisto sufrio golpes dolores generales visible conciente pocos minutos acude trasladan hospital desconozco vehiculo queda comisaria cale buffano mas involucrados cel ampliacionampliamos asegurado asegurado encontraba circulando lavallol llega cruce cervantes impactado motocicleta lateral derecho producto choque asegurado desplaza sube vereda mas involucrados siniestro ro llevaba puesto cree violencia golpe factible alguna fractura perdio conocimiento nunca intervinieron realizaron test alcoholemia resultados unicamente dijo orden resultado gcm dia hoy vehiculo asegurado encuentra secuestrado comisaria comunal nb buffano situacion creemos conveniente suspender plazos poder obtener copias cp tratativas obtenerla asegurado tenia datos ro aportar dni datos moto etc;comprometida
am    ;asegurado circulando tercero acompanante circulando asegurado girar hacia izquierda luz giro puesta entrar estacionamiento tercero embiste parte asegurado desconoce parte lateral delantero izquierdo asegurado tercero acompanante lesionados intervino intervino desplazamientos ratifica mecanicaformalizaron oficina quilmes asegurada gira moto iba mismo embiste terceros retiran lugar despues pasar datos chicos llevo tio auto intervino va pasar terceros;comprometida
aa    ;aseg circulando panamericana queda medio stro cadena subre corte varias costillas fracturadas femininos posibles lesionadas ampliacin aseguradome informa recuerda siniestro perdio conocimiento sufrio golpes fracturas costillas retiraron ultimo recuerda circulando panamericana choque delante vehiculos antecedian frenaron abruptamente tambien cree auto venia detras choca llovia auto desplaza hacia adelante colisionando vehiculo antecedia encontraban femeninas nn denunciadas mas datos siniestro vehiculo antecesor colisiona atras femeninas denunciadas;comprometida
am    ;asegurado circulando mariano castex cambiar carril colisionado lateral derecho moto circulaba detras desplazamientos personas circulaban moto cayeron piso intervino;comprometida
am    ;vehiculo asegurado circulaba gaspar campos ingresar garage hacia izquierda luz giro puesta moto intenta sobrepasarlo lado colisiona lateral izquierdo vehiculo asegurado motociclista llevaba cae piso tenia golpe interviene marido asegurada medico revisa lugar notando tenia gravedad luego motociclista retira motovuestro asegurado formalizo san miguel llamaron tercero nego manifesto requerir asistencia tercero revis momento marido aegurada medico cruzaron datos lugar;comprometida
am    ;asegurado maniobraba cnel juan terrada doblar derecha hacia adolfo pedro carranza colisiona parte lateral derecha moto circulaba cnel juan terrada moto tenia ocupantes ambos tenian cayeron piso presentaban lesiones visibles retiraron propios medios intervencion medica policial aun formalizo moto iba par derecha asegurado gira derecha tomar perpendicular produce cruzaron datos propios medios participo d;comprometida
am    ;encontraba circulando saenz pena hacia plata llegar interseccion tucuman darme cuenta venia moto alta velocidad chocarla clavo freno toco apenas lateral frontal hizo caigan piso ambos paso datos voy ampliamos asegurado motocicleta derecha embiste parte delantera derecha rodado motocicleta vio previamente participo d llego lesiones visibles cruzo datos retiraron lugar;comprometida
am    ;manejaba carriego interseccion claudio alas frena moto chica personas logro frenar tiempo choco atras;comprometida
am    ;aseg circulando aut ricchieri llegar interseccion ohiggins coloca luz giro maniobra doblar aparece moto circulaba autopista izquierda embiste lateral delantero izquierdo moto motociclista cae piso lastimandose costado torax brazo interviene asiste nadie aseg ofrece llevarlo htal motociclista acepta luego intercambio datos cada retira propios medios desplazamientos;comprometida
am    ;don bosco balizas colocadas teniamos rueda pinchada moto embiste parte delantera izquierda cambiamos carril habia detenido cae piso intervencion policial medica levanta solo va caminando asegurado formalizo moreno circulaba rueda pinchada iba buscando gomeria iba don bosco balizas colocadasse semaforo tira izquierda justo momento moto impacta sector delantero izquierdoel asegurado queria poner carril maniobra encierro tercero acredito tener seguro solo mostro registro tenia intervencion policial medica levanta solo va caminando;comprometida
am    ;circulaba llegar giro izquierda momento girar di cuenta tenia moto lado giro toco guardabarro;comprometida
aa    ;circulaba balbin intencin colisiono tercero parte trasera parte delantera dicho dicho tercero impacta do tercero parte trasera parte delantera do tercero vw suran patente petpaz claudia natalia dni federacion patronal poliza parte trasera terceros involucrados lesionados datos tercero pablo arturo gru ford focus pfk qbe seguros;comprometida
aa    ;colectora panamericana casi thames cambio semaforo frenada intempestiva ampliamos asegurado relacion mecanica hecho manifesto circulaba colectora panamericana casi thames cree cambio semaforo rodado precedia freno intempestivamente pudo evitar impactar tercero parte trasera participo cruzaron datos lugar vio auto viajaban tomo datosd;comprometida
peatã“n;asegurado circulando h yrigoyen girar caputo hacia derecha embiste u lateral derecho peaton cae pavimento levanta propios medios asiste amnbulancia desplazamientos;comprometida
am    ;aseg circulaba formosa maniobrar congreso parte lateral ro moto circulaba formosa desplazamientos lesionados intervencion medica retiran;comprometida
am    ;asegurado circulando alem doblar espana derecha colisionado guardabarro delantero derecho llanta moto circulaba derecha gran velocidad moto cae piso retiro propios medios intervino transito;comprometida
aa    ;aseg circulaba cabred curva esquivar desplaza cayendo dentro zanja vehiculo dano parte delantera lateral izquierdo opticas capot etc acompanante amiga sufre golpes raiz atendida clinica guemes lujan mas desplazamientos;comprometida
am    ;vehiculo asegurado circulando gral paz cambiar carril colisiona lateral derecho motocicleta circulaba carril derecha moto ocupante cae piso intervino desplazamientos;comprometida
am    ;maniobraba balizas puesta estacionar auto paralelo cordon derecha manera imprevista moto intenta meterse espacio habia auto cordon colisiona ptd pdd motociclista cae suelo tampoco sufre lesiones desvanecimiento terceros involucradosno terceros involucrados lesionados datos tercero alegre martin benelli tn aswy atm;comprometida
am    ;aseg saliendo marcha atras garage golpea moto circulaba irala sola persona cae asfalto brazo raspado incorporo medios retiro moto presento lugar;comprometida
am    ;detenido detras colectivo lafuente avanzaba puse guino sobrepasarlo asome lateral avance metros moto venia detras interpreta maniobra impacta lateral delantero derecho unidad unico ocupante moto llevaba cayo piso sufrio lesiones leves dedo menique izq asistido lugar trasladado hospital retirandose propios medios andando moto vhs involucrados lesionados formaliza flores datos tercero mora horacio cristian bajaj rowser cc akcc atm asegurado formalizo caballito asistio tercero trasladado acerco lugar tercero quiso denunciar lesiones asegurado trasladadono hicieron alcoholemia d;comprometida
am    ;asegurado circulaba necochea cruce rivadavia tercero circulaba ultima impacta lateral izquierdo desplazamientos moto solo ocupante cae piso presentaba golpe intervino intervino san justo actuaciones retira propios medios d formalizo moron asegurada circulaba soler realidad derecha salcca paso nivel moto circulaba rivadavia izquierda impacta altura puerta izquierda tercero lesiones leves cascoambulancia llegoel tercero retira medios caminando policcca acerco tomo datos tercero atm presento reclamo cia dijeron responderccan dias d;discutida
am    ;asegurado circulaba indart girar izquierda ingresar garage embestido lateral delantero derecho lateral izquierdo tercero moto venia contraria misma ocupante moto cay asfalto desplazamientos intervino;comprometida
am    ;aseg circulaba vcoll inter matheu colisionado lateral delantero derecho moto circulaba matheu moto iba solo ocupante llevaba cae piso presentaba lesiones inter policial ambulancias retiro lugar propios medios brindar datos;concurrente
am    ;venia circulando coletta llego bocacalle moto circulaba moreno impacta vehiculo trompa vehiculod;comprometida
aa    ;circulando david magdalena lllegar interseccion belgrano produce colision parte delantera parte trasera derecha camioneta circulaba belgrano raiz camioneta desplaza embiste estacionadosin lesiones;concurrente
am    ;circulando msma giro hacia derecha girar siento golpe lateral trasero derecho bajo verifico haba colisionado moto cazco persona manifest bien presentaba lesiones quizo;comprometida
am    ;circulaba ruta llego esquina doblo derecha ahi visualizo motounico ocupante vena derecha realizo mala maniobra doblo abruptamente terminamos impactando parte delantera parte trasera derechano intervino intervino moto present lesiones retiro propios medios terceros involucrados lesionados datos tercero ledda juan carlos zanella due axvj atm seguros;comprometida
am    ;circulando rivadavia carril rapido cuanao repente unacamin sale estacionado volanteo toco cubiertad elantera derecha moto pasando toco tobillo cae paramos metros mas adelante intercambiamos datos retira intervencion asegurado formalizo casa central ratifica mecanicacolision leveel motociclsta habrci caido motointercambiaron datos retiran lugarsin pasara mayores datos tercero;comprometida
am    ;asegurado circulando uruguay interseccion aparcero colisiona frente derecho moto circulando ultima caen piso intervino derivados htal moto retirada flia ro s;comprometida
am    ;aseg circulando davilaal llegar intersecciongira hacia derechacolisiona paragolpe delantero izquierdo parte delantera terceroque circulaba jose marti ocupantescon cascose caen pisono interviene policiase retiraron propios mediossin despl;comprometida
am    ;vhl asegurado encontraba circulando girando hacia derecha salia garage embestido tercero moto circulaba misma embiste lateral parte delantera moto llevaba cae pavimento vereda contraria levanta propios medios golpes rodillapierna interviene policiano interviene telfono tercero ampliacionnoneformalizo moron asgeurado salia garage maniobra giro derecha tercero venia izquierda rodado asegurado danos parte delantera tercero intercambio datos lugar acerco tomo datos aseg trasladadono hicieron alcoholemiano participo ambulanciad;comprometida
am    ;circulaba hip yrigoyen falucho entrar estacion servicio moto quiera pasar embiste parte trasera izquierda sola persona moto cae piso levanta solo retirado;comprometida
am    ;asegurado circulaba laprida llegar inteseccion alvear colisiona parte delantera moto ocupantes antecedia detuvo semaforo moto cae piso ocupantes presentaban lesiones visibles retiraron propios medios tras intercambiar datos intervino desplazamientos;comprometida
am    ;circulando lamadrid doblar hacia izquierda tomar encuentro moto circulaba lamadrid contrario colisiona parte delantera izquierda farol tercero cae piso manifesto lesiones graviedad solo hospital wilde posibles lesiones dedo intervino retira propios medios moto;comprometida
am    ;asegurado iba circulando serrano doblando hacia asamblea izquierda colisionado moto venia serrano contraria lateral trasero derecho moto motociclistas cayeron piso llevaban intervino trasladados htal melendezformalizo lomas zamora concurrio tercreo lesion chica sabbe tencca lesiones simple vista hicieron alcoholemia quedo pasar mcs datos contacto fotos momento hecho;comprometida
am    ;aseg circulaba olavarria doblar tomar patricios embiste lateral izquierdo moto realizaba misma accin motociclista utilizaba caeysobre pavimento presentaba lesiones visibles contaba dolor piernas retir lugar propios medios intervinieron policias ambulancias;comprometida
aa    ;circulaba consejal jose dans rey doblo derqui tercero freno embisto parte trasera parte delantera tercero lesionados intervencion policial medica;comprometida
am    ;circulando colectora panamericana moto circulaba vehiculo intentar pasarme carril izquierda veo moto continuo maniobra lna moto termina impactando lateral izquierdo paragolpes trasero espejo retrovisor intervencion moto circulaba sola persona cae piso utilizaba interviene interviene luego moto retira propios medios cabe destacar motociclista luego impactar vehiculo asegurado desplaza colisionando automovil audi;comprometida
cicl  ;asegurado estacionado abrir puerta trasera izquierda bajar colisionada ciclista circulaba misma ciclista cae suelo lesiones visibles intervino retiro datos;comprometida
am    ;circulaba rawson llegar esquina jose ingenieros llego frenar choco atras moto venia delante;comprometida
am    ;aseg saliendo garage domicilio chacabuco detiene colisionado terceromoto circulaba parte trasera manubrio misma tenia solo ocupante puesto cayo piso manifesto dolencia alguna retiro lugar propios medios moto desplazamientossin intervencion movil policial;comprometida
cicl  ;encontraba estacionado acompanante abre puerta delantera derecha ahi ciclista impacta puerta derecha vhyo bajo asistir bel levanta cuenta indica bienle ofrezco arreglar rueda bicicletaindica necesario retira propios medios cabe aclarar deje telefono b luego llamo diciendo trabajo llamaron trasladarlo htalunas horas desopues siniestrodebido empezo sentirse malno mas terceros involucrados mas lesionados datos tercero landriel pablo nicolas;comprometida
am    ;aseg circulando maria guerrero girar hacia eva peron colisionado parte delantera lateral izquierda frente tercero moto circulaba ultima mencionada solo ocupante bordo colocado cayo aseg presento lesiones levanto retiro propios medios intervencion policial desplazamientos;comprometida
otros ;vehiculo asegurado circulando au panamericana perder control unidad colisiona guardrail asegurado circulaba acompanante cae piso utilizaba cascointerviene au brinda asistencia lugar luego acompanante retira lugar familiar;comprometida
aa    ;asegurado circulando zabala colisiona parte frontal parte tercero frena golpe personas tercero retira propios medios;comprometida
am    ;aseg encontraba circulando pitagoras poner luz giro girar hacia sarmiento gira ruido grito habia moto tirada suelo junto usaba tenia pequeno raspon izquierda intervencion retiro propios medios asegurado presenta ningun dano;comprometida
peaton;circulando juan manuel rosas llegando almirante brown semaforo m intento pasar dicha interseccin embargo persona rapidamente colisiono lado derecho impactando persona parabrisas intervencin polica;concurrente
