cod_accidente,descripcion,fuzzy,no_hapaxes,responsabilidad
am    ,lunes aproximadamente hs circulando calle bartolome mitre ramos meja queriendo doblar izquierda esquina calle almirante brown impacto costado izquierdo m auto moto circulaba bartolome mitre ocupada dos personas cuales caen piso intercambiamos datos personales seguro parte ma ocupantes,lunes aproximadamente hs circulando calle bartolome mitre ambos meja queriendo doblar izquierda esquina calle almirante brown impacto costado izquierdo m auto moto circulaba bartolome mitre ocupada dos personas cuales caen piso intercambiamos datos personas asegurado parte ma ocupantes,lunes aproximadamente hs circulando calle bartolome mitre ambos doblar izquierda esquina calle almirante brown impacto costado izquierdo m auto moto circulaba bartolome mitre dos personas cuales caen piso intercambiamos datos personas asegurado parte ocupantes,comprometida
aa    ,denuncia tercerome encontraba detenido av libertador esperando cambio semaforo rojo verde embestido tercero parte trasera ocasionando danos detallados,denuncia tercerome encontraba detenido av libertador esperando cambio semaforo rojo verde embestido tercero parte trasera ocasionando datos detallados,denuncia encontraba detenido av libertador esperando cambio semaforo rojo verde embestido tercero parte trasera ocasionando datos detallados,comprometida
am    ,aseg circulando av gaona embiste parte delantera tercero detiene forma abrupta semaforo ocuptantes caen pavimento ,aseg circulando av gaona embiste parte delantera tercero detiene forma abrupta semaforo ocupantes caen pavimento,aseg circulando av gaona embiste parte delantera tercero detiene forma abrupta semaforo ocupantes caen pavimento,comprometida
am    ,circulaba c villegas llego interseccion av larrazabal doblo derecha colisiono moto venia detras cuyo conductor advierte maniobra colisiona lateral delantero derecho unidad conductor moto acompanante llevaban casco cayeron piso sufrieron lesionalguna llamamos ambulancia retiraron propi medios andando moto acompanante moto fabcundo lopez dni datos tercero sergio barrionuevo yamaha ybr jpc posee,circulaba c villegas llego interseccion av larrazabal dolor derecha colisiono moto venia detras cuyo conductor advierte maniobra colisiona lateral delantero derecha unidad conductor moto acompanante llevaba casco cayeron piso sufrieron lesionalguna llamamos ambulancia retiro propios medios andando moto acompanante moto fabcundo lopez dni datos tercero sergio barrionuevo yamaha ybr jpc posee,circulaba c villegas llego interseccion av larrazabal dolor derecha colisiono moto venia detras conductor advierte maniobra colisiona lateral delantero derecha unidad conductor moto acompanante llevaba casco cayeron piso sufrieron llamamos ambulancia retiro propios medios andando moto acompanante moto lopez dni datos tercero yamaha ybr posee,comprometida
aci   ,vh aseg circulando calle monroe llegar interseccion calle videla vh da paso avanzar colisiona parte delantera derecha rueda trasera tercero circulaba bici ocupante casco colocado caeno manifesto lesiones retiro propios medios ,vh aseg circulando calle monroe llegar interseccion calle videla vh da paso avanzar colisiona parte delantera derecha rueda trasera tercero circulaba bici ocupante casco colocado caen manifesto lesiones retiro propios medios,vh aseg circulando calle monroe llegar interseccion calle vh da paso avanzar colisiona parte delantera derecha rueda trasera tercero circulaba bici ocupante casco colocado caen manifesto lesiones retiro propios medios,concurrente
am    ,vehiculo asegurado giraba derecha tomar lascanosiendo embestido motoa puerta trasera derecha motociclista caeno recuerda si llevaba cascono ,vehiculo asegurado giraba derecha tomar lascanosiendo embestido motoa puerta trasera derecha motociclista caen recuerda si llevaba cascono,vehiculo asegurado giraba derecha tomar embestido puerta trasera derecha motociclista caen recuerda si llevaba cascono,comprometida
peatã“n,asegurado ingresando estacionamiento hospital municipal moron verifica puede ingresar realizar marcha atras pisa pie empleado vigilancia lugar rueda delantera izquierda peaton cayo asfalto atendido hospital ,asegurado ingresando estacionamiento hospital municipal moron verifica puede ingresar realizar marcha atras pisa pie empleado vigilancia lugar rueda delantera izquierda peaton cayo asfalto atendido hospital,asegurado ingresando estacionamiento hospital municipal moron verifica puede ingresar realizar marcha atras pisa pie empleado lugar rueda delantera izquierda peaton cayo asfalto atendido hospital,comprometida
am    ,asegurado circulando av san martin onda verde cruzaba galicia cambia semaforo amarillo tercero moto circulaba ultima cruza embiste lateral izquierdoun ocupante casco cae piso ,asegurado circulando av san martin onda verde cruzaba galicia cambia semaforo amarillo tercero moto circulaba ultima cruza embiste lateral izquierdo ocupante casco cae piso,asegurado circulando av san martin onda verde cruzaba galicia cambia semaforo amarillo tercero moto circulaba ultima cruza embiste lateral izquierdo ocupante casco cae piso,comprometida
am    ,vh aseg circulando calle rucci colisionado lateral trasero derecho rueda delantera tercero moto cruzo rojo tres ocupantes cascos colocado caen moto conductor moto lesiones rodilla izquierda acompanante lesion pie menor lesiones brazo izquierdo,vh aseg circulando calle rucci colisionado lateral trasero derecha rueda delantera tercero moto cruzo rojo tres ocupantes cascos colocado caen moto conductor moto lesiones rodilla izquierda acompanante lesiones pie menor lesiones brazo izquierdo,vh aseg circulando calle rucci colisionado lateral trasero derecha rueda delantera tercero moto cruzo rojo tres ocupantes cascos colocado caen moto conductor moto lesiones rodilla izquierda acompanante lesiones pie menor lesiones brazo izquierdo,discutida
am    ,encontraba circulando avda chiclana moto impacta lateral trasero izquierdo vh cayendo unico tripulante suelo trasladado same hospital penna lesionados ros involucrados stro mas alla declarado formalizo floresel asegurado hombre mayor auto retenido comisara estacionado av chiclana puso marcha auto vio moto lejos metros tena semaforo rojo sali cordn avanz sinti golpe moto iba mismo avanzando quedarse esperando abriera semaforo hicieron examen alcoholemia dio cero venia comprar repuestos colocar aire acondicionado tercero trasladao ambulancia automovil asegurado quedo retenido tena casco consciente vio sangre asfalto d,encontraba circulando avda chiclana moto impacta lateral trasero izquierdo vh cayendo unico tripulante suelo trasladado same hospital penna lesionados ros involucrados stro mas alla declarado formalizo floresel asegurado hombre mayor auto retenido comisara estacionado av chiclana puesto marcha auto vio moto lejos metros tenia semaforo rojo sali cordn avanz sinti golpe moto iba mismo avanzando quedarse esperando abriera semaforo hicieron examen alcoholemia dio cero venia comprar puesto colocar aire acondicionado tercero trasladado ambulancia automovil asegurado quedo retenido tenia casco consciente vio sangre asfalto d,encontraba circulando avda chiclana moto impacta lateral trasero izquierdo vh cayendo unico tripulante suelo trasladado same hospital lesionados involucrados stro mas formalizo asegurado hombre mayor auto retenido estacionado av chiclana puesto marcha auto vio moto metros tenia semaforo rojo sali cordn golpe moto iba mismo avanzando quedarse esperando semaforo hicieron alcoholemia dio venia puesto colocar tercero trasladado ambulancia automovil asegurado quedo retenido tenia casco consciente vio sangre asfalto d,comprometida
aci   ,asegurado iba circulando potosi llegar domicilio maniobra atras colisiona bicicleta menor anos ciclista cayo piso asegurado llevo centro atencion upa lanus seguridad recomendaron llevar evita sacar placa ,asegurado iba circulando potosi llegar domicilio maniobra atras colisiona bicicleta menor anos ciclista cayo piso asegurado llevo centro atencion upa lanus seguridad recomendaron llegar evita sacar placa,asegurado iba circulando potosi llegar domicilio maniobra atras colisiona bicicleta menor anos ciclista cayo piso asegurado llevo centro atencion upa lanus llegar evita,comprometida
am    ,detenido semanforo avda castanares reinicio marcha mientras avanzo tercero moto circulaba misma contrario dobla u pasandose hacia mano contraria yop circulaba salio imprevisto detras colectivo llegue ver impacta lateral izquierdo iban dos ocupantes casco caen piso ,detenido semanforo avda castanares reinicio marcha mientras avanzo tercero moto circulaba mismo contrario dobla u pasandose habia mano contraria yop circulaba salio imprevisto detras colectivo llegue ver impacta lateral izquierdo iba dos ocupantes casco caen piso,detenido avda marcha mientras avanzo tercero moto circulaba mismo contrario dobla u habia mano contraria circulaba salio imprevisto detras colectivo llegue ver impacta lateral izquierdo iba dos ocupantes casco caen piso,discutida
am    ,vehiculo asegurado circulando colon momento detiene giro fines poder doblar izquierda moto circulaba detras colisiona parte trasera moto circulaba sola cae piso utilizaba casco ,vehiculo asegurado circulando colon momento detiene giro fines poder doblar izquierda moto circulaba detras colisiona parte trasera moto circulaba sola cae piso utilizaba casco,vehiculo asegurado circulando colon momento detiene giro poder doblar izquierda moto circulaba detras colisiona parte trasera moto circulaba sola cae piso utilizaba casco,discutida
peatã“n,redgreenlue asegurado circulando calle boulevard buenos aires asegurado dobla hacia derecha semaforo verde tomar calle rodriguez asegurado doblar tercero menor edad cruza calle rodriguez asegurado embiste parte delantera lesion visible ,redgreenlue asegurado circulando calle boulevard buenos aires asegurado dobla habia derecha semaforo verde tomar calle rodriguez asegurado doblar tercero menor edad cruza calle rodriguez asegurado embiste parte delantera lesiones visible,redgreenlue asegurado circulando calle boulevard buenos aires asegurado dobla habia derecha semaforo verde tomar calle rodriguez asegurado doblar tercero menor edad cruza calle rodriguez asegurado embiste parte delantera lesiones visible,concurrente
am    ,asegurado circulando calle rep guatemala altura interseccion calle virrey cisneros san justo bs as tercero circulaba ultima moto ocupante casco asegurado embisti frente derecho lateral izquierdo tercero cae pavimiento pierde conocimiento reincorpora propios medios desplazamientos ,asegurado circulando calle rep guatemala altura interseccion calle virrey cisneros san justo bs as tercero circulaba ultima moto ocupante casco asegurado embistio frente derecha lateral izquierdo tercero cae pavimento pierde conocimiento reincorpora propios medios desplazamientos,asegurado circulando calle rep altura interseccion calle virrey cisneros san justo bs as tercero circulaba ultima moto ocupante casco asegurado embistio frente derecha lateral izquierdo tercero cae pavimento pierde conocimiento reincorpora propios medios desplazamientos,comprometida
am    ,circulando peron moto circulaba derecha cierra repentinamente colisiona lateral derecho persoana moto cae piso llevaba casco levanta ,circulando persona moto circulaba derecha cierra repentinamente colisiona lateral derecha persona moto cae piso llevaba casco levanta,circulando persona moto circulaba derecha cierra repentinamente colisiona lateral derecha persona moto cae piso llevaba casco levanta,comprometida
am    ,vh asegurado detenido av pedro suarez ingresar izquierda lubricentro guino colisionado parte trasera delantera tercero moto ocupante casco sabe si cayo cieculaba detras tercero raspon rodilla luego medios moto,vh asegurado detenido av pedro suarez ingresar izquierda lubricentro guino colisionado parte trasera delantera tercero moto ocupante casco sabe si cayo circulaba detras tercero raspon rodilla luego medios moto,vh asegurado detenido av pedro suarez ingresar izquierda guino colisionado parte trasera delantera tercero moto ocupante casco sabe si cayo circulaba detras tercero raspon rodilla luego medios moto,comprometida
am    ,circulando calle directorio aparentemente moto muerde vias vh lateral derecho conductor moto cae ,circulando calle directorio aparentemente moto muerde vias vh lateral derecha conductor moto cae,circulando calle directorio aparentemente moto vias vh lateral derecha conductor moto cae,discutida
am    ,redgreenlueuc vehiculo asegurado mansilla doblar martinto colisiona lateral derecho motocicleta circulaba misma moto ocupante casco cae piso ,redgreenlueuc vehiculo asegurado mansilla doblar martinto colisiona lateral derecha motocicleta circulaba mismo moto ocupante casco cae piso,redgreenlueuc vehiculo asegurado mansilla doblar martinto colisiona lateral derecha motocicleta circulaba mismo moto ocupante casco cae piso,comprometida
am    ,saliendo domicilio partcular marcha atras miro hacia ambos lados divisar ningdan vehiculo comienzo bajar vereda calle moto embiste parte trasera frente ocupante casco cae pavimento levanta propios medios ,saliendo domicilio partcular marcha atras miro habia ambos lado divisar ningdan vehiculo comienzo bajar vereda calle moto embiste parte trasera frente ocupante casco cae pavimento levanta propios medios,saliendo domicilio marcha atras miro habia ambos lado vehiculo comienzo bajar vereda calle moto embiste parte trasera frente ocupante casco cae pavimento levanta propios medios,comprometida
am    ,asegurado circulando calle cno gral belgrano esquivar pozo habia misma colisiona tercero moto circulaba misma impactando lateral derecho lateral izquierdo asegurado iba solo ocupante moto hombre llevaba casco cae calle levanta retira propios medios ,asegurado circulando calle cno gral belgrano esquivar pozo habia mismo colisiona tercero moto circulaba mismo impactado lateral derecha lateral izquierdo asegurado iba solo ocupante moto hombre llevaba casco cae calle levanta retira propios medios,asegurado circulando calle cno gral belgrano esquivar pozo habia mismo colisiona tercero moto circulaba mismo impactado lateral derecha lateral izquierdo asegurado iba solo ocupante moto hombre llevaba casco cae calle levanta retira propios medios,comprometida
peatã“n,vh aseg ciruculando roza girar hacia calle izquierda retomar oliden colisiona parte delantera tercero peaton encontraba cruzando ultima calle mencionada tercero cae suelo ,vh aseg ciruculando roza girar habia calle izquierda tomar oliden colisiona parte delantera tercero peaton encontraba cruzando ultima calle mencionada tercero cae suelo,vh aseg roza girar habia calle izquierda tomar oliden colisiona parte delantera tercero peaton encontraba cruzando ultima calle mencionada tercero cae suelo,comprometida
aa    ,avenida congestionada frenar vehculo venia delante mio puede frenar tiempo embest,venia congestionada frena vehiculo venia delante mio puede frena tiempo embestido,venia congestionada frena vehiculo venia delante mio puede frena tiempo embestido,comprometida
am    ,circulaba cabildo llegar echeverria moto intenta sobrepasarme derecha embiste parte lateral derecha cae reincorporandose inmediato propios medios ,circulaba cabildo llegar echeverria moto intenta sobrepasarme derecha embiste parte lateral derecha cae reincorporandose inmediato propios medios,circulaba cabildo llegar moto intenta sobrepasarme derecha embiste parte lateral derecha cae propios medios,comprometida
am    ,vh aseg encontraba circulando aguero poner luz giro girar hacia bramante iniciar maniobra aseg roza parte delantera tanque nafta moto solo ocupante casco cae suelo producto impacto ,vh aseg encontraba circulando aguero poner luz giro girar habia bramante iniciar maniobra aseg roza parte delantera tanque nafta moto solo ocupante casco cae suelo produce impacto,vh aseg encontraba circulando aguero poner luz giro girar habia iniciar maniobra aseg roza parte delantera nafta moto solo ocupante casco cae suelo produce impacto,comprometida
aci   ,formalizo moreno ratifica mecanica dice bicicleta iba par junto cordon abrio poquito asegurado embistio cayo piso tercero iba amigo asegurado ofrecio llevarlo hospital tenia rodilla hinchada tercero tercero paso datos persona iba junto tercero bicicleta tercero quedo persona dejo hospital merclo eva peron luego buscar familiares sabe lesiones tercero luego hecho llam reclamandole cosas dado qu eno tenia obra social etc asegurado paso datos dijo llame cia participo policia ambulanciad asegurado formalizo moreno ratifica mecanica dice bicicleta iba par junto cordon abrio poquito asegurado embistio cayo piso tercero iba amigo asegurado ofrecio llevarlo hospital tenia rodilla hinchada tercero tercero paso datos persona iba junto tercero bicicleta tercero quedo persona dejo hospital merlo eva peron luego buscar familiares sabe lesiones tercero luego hecho llam reclamandole cosas dado tenia obra social etc asegurado paso datos dijo llame cia participo policia ambulanciad,formalizo moreno ratifica mecanica dice bicicleta iba par junto cordon abrio poquito asegurado embistio cayo piso tercero iba amigo asegurado ofrecio llevarlo hospital tenia rodilla hinchada tercero tercero paso datos persona iba junto tercero bicicleta tercero quedo persona dejo hospital merclo eva persona luego buscar familiares sabe lesiones tercero luego hecho llam reclamandole cosas dado qu eno tenia obra social etc asegurado paso datos dijo llame cia participo policia ambulanciad asegurado formalizo moreno ratifica mecanica dice bicicleta iba par junto cordon abrio poquito asegurado embistio cayo piso tercero iba amigo asegurado ofrecio llevarlo hospital tenia rodilla hinchada tercero tercero paso datos persona iba junto tercero bicicleta tercero quedo persona dejo hospital merlo eva persona luego buscar familiares sabe lesiones tercero luego hecho llam reclamandole cosas dado tenia obra social etc asegurado paso datos dijo llame cia participo policia ambulanciad,formalizo moreno ratifica mecanica dice bicicleta iba par junto cordon abrio poquito asegurado embistio cayo piso tercero iba amigo asegurado ofrecio llevarlo hospital tenia rodilla hinchada tercero tercero paso datos persona iba junto tercero bicicleta tercero quedo persona dejo hospital eva persona luego buscar familiares sabe lesiones tercero luego hecho llam reclamandole cosas dado qu tenia obra social etc asegurado paso datos dijo llame cia participo policia ambulanciad asegurado formalizo moreno ratifica mecanica dice bicicleta iba par junto cordon abrio poquito asegurado embistio cayo piso tercero iba amigo asegurado ofrecio llevarlo hospital tenia rodilla hinchada tercero tercero paso datos persona iba junto tercero bicicleta tercero quedo persona dejo hospital merlo eva persona luego buscar familiares sabe lesiones tercero luego hecho llam reclamandole cosas dado tenia obra social etc asegurado paso datos dijo llame cia participo policia ambulanciad,comprometida
am    ,vh aseg maniobraba salir gge impacto parte delantera derecha ro moto circulaba alli moto ,vh aseg maniobra salir gge impacto parte delantera derecha ro moto circulaba alli moto,vh aseg maniobra salir gge impacto parte delantera derecha ro moto circulaba alli moto,comprometida
am    ,venia circulando dispongo doblar derecha armenia moto venia derecha impacta lateral trasero derecho sel conductor moto cae ,venia circulando dispongo doblar derecha armenia moto venia derecha impacta lateral trasero derecha sel conductor moto cae,venia circulando dispongo doblar derecha moto venia derecha impacta lateral trasero derecha conductor moto cae,comprometida
am    ,asegurado ingresaba domicilio moto transitaba mas atras impact eel lateral trasero derecho vehuclo asegurado motociclista cay suelo tena casco puesto levant intercambiaron datos retir,asegurado ingresar domicilio moto transitaba mas atras impacto eel lateral trasero derecha vehiculo asegurado motociclista cayo suelo tenia casco puesto levanta intercambiaron datos retiro,asegurado ingresar domicilio moto transitaba mas atras impacto lateral trasero derecha vehiculo asegurado motociclista cayo suelo tenia casco puesto levanta intercambiaron datos retiro,comprometida
am    ,circulaba emilio mitre cruzar peron motociclista pasa rojo impacta derecha momento presento policia solicito presencia same evaluo necesario traslado motociclista hospital,circulaba emilio mitre cruzar persona motociclista pasa rojo impacta derecha momento presento policia solicito presencia same evaluo necesario trasladado motociclista hospital,circulaba emilio mitre cruzar persona motociclista pasa rojo impacta derecha momento presento policia presencia same necesario trasladado motociclista hospital,concurrente
am    ,circulaba calle marzo casi terminando cruzar calle ate brown embestida lat izq parte moto solo ocupante casco cae pavimento incorpora medios obseva lesiones motociclista int policia ambulancia,circulaba calle marzo casi terminando cruzar calle ate brown embestido lat izq parte moto solo ocupante casco cae pavimento incorpora medios obseva lesiones motociclista int policia ambulancia,circulaba calle casi terminando cruzar calle brown embestido lat izq parte moto solo ocupante casco cae pavimento incorpora medios lesiones motociclista int policia ambulancia,discutida
am    ,encontraba aguardo cruzar av arranco marcha cruzando veo viene moto mano izquierda freno pongo marcha atras igualmente colisiona parte izquierdael motociclista cae moto baja caminando llevaba casco ,encontraba aguardo cruzar av arranco marcha cruzando veo viene moto mano izquierda frena pongo marcha atras igualmente colisiona parte izquierda motociclista cae moto baja caminando llevaba casco,encontraba cruzar av arranco marcha cruzando veo viene moto mano izquierda frena pongo marcha atras igualmente colisiona parte izquierda motociclista cae moto baja caminando llevaba casco,comprometida
am    ,redgreenlueasegurada circulando av roca gira izquierda tomar calle oabrien habilitada semaforo produce colision parte delantera moto circulaba av roca contrario cruzando semaforo rojo iba sobrepasando vh derecha encontraban detenidos semaforo asegurada puede confirmar si iban personas moton caen asfalto ,redgreenlueasegurada circulando av roca gira izquierda tomar calle oabrien habilitada semaforo produce colision parte delantera moto circulaba av roca contrario cruzando semaforo rojo iba sobrepasando vh derecha encontraban detenidos semaforo asegurado puede confirmar si iba personas moton caen asfalto,circulando av roca gira izquierda tomar calle habilitada semaforo produce colision parte delantera moto circulaba av roca contrario cruzando semaforo rojo iba sobrepasando vh derecha encontraban detenidos semaforo asegurado puede confirmar si iba personas caen asfalto,discutida
am    ,asegurado circulaba jose marmol girar derecha moto quiere pasar izquierda embiste espejo retrovisor izquierdo moto iba sola persona tenia casco golpea auto estacionado cae suelo levanta llama same policia dolia pierna traslada same cel cond aseg diaz dario ,asegurado circulaba jose marmol girar derecha moto quiere pasar izquierda embiste espejo retrovisor izquierdo moto iba sola persona tenia casco golpea auto estacionado cae suelo levanta llama same policia dolia pierna trasladado same cel cond aseg diaz dario,asegurado circulaba jose girar derecha moto quiere pasar izquierda embiste espejo retrovisor izquierdo moto iba sola persona tenia casco golpea auto estacionado cae suelo levanta llama same policia dolia pierna trasladado same cel cond aseg diaz dario,comprometida
am    ,vehiculo asegurado circulaba av yrigoyen colisionado lateral trasero derecho tercero moto persona casco circulaba misma raiz persona cayo asfalto luego intercambiar datos retiro cuenta desplazamientosd asegurado formalizo lomas zamora iba mismo motocicleta tercera iba detrcs colectivo asegurado pasa colectivoella abre toca parte lateral trasera derecha auto dice auto llego danar hecho va hacer reclamo tercera raspon espalda pierna rodilla participo policia ambulancia,vehiculo asegurado circulaba av yrigoyen colisionado lateral trasero derecha tercero moto persona casco circulaba mismo raiz persona cayo asfalto luego intercambiar datos retiro cuenta desplazamientos asegurado formalizo lomas zamora iba mismo motocicleta tercera iba detras colectivo asegurado pasa colectivoella abre toca parte lateral trasera derecha auto dice auto llego danar hecho va hacer reclamo tercera raspon espalda pierna rodilla participo policia ambulancia,vehiculo asegurado circulaba av yrigoyen colisionado lateral trasero derecha tercero moto persona casco circulaba mismo raiz persona cayo asfalto luego intercambiar datos retiro cuenta desplazamientos asegurado formalizo lomas zamora iba mismo motocicleta tercera iba detras colectivo asegurado pasa abre toca parte lateral trasera derecha auto dice auto llego hecho va hacer reclamo tercera raspon espalda pierna rodilla participo policia ambulancia,comprometida
am    ,detenida semaforo av illia pie desliza freno auto desplaza toco frente moto delante mio moto cae suelo llevaba casco levanta medio lesiones aparentes ,detenida semaforo av illia pie desliza frena auto desplaza toco frente moto delante mio moto cae suelo llevaba casco levanta medios lesiones aparentes,detenida semaforo av illia pie desliza frena auto desplaza toco frente moto delante mio moto cae suelo llevaba casco levanta medios lesiones aparentes,comprometida
am    ,circulando calle llavallol cruce cervantes motocicleta venia ultima calle mencionada alta velocidad frena colisiona lateral derecho medio auto puertas luego impacto desplazo subo vereda ninguna colision adicional mas eros involucrados moto iba sola persona casco pega auto cae suelo asisto sufrio golpes dolores generales visible conciente pocos minutos acude ambulancia policia trasladan hospital desconozco vehiculo queda comisaria cale buffano mas involucrados cel ,circulando calle llavallol cruce cervantes motocicleta venia ultima calle mencionada alta velocidad frena colisiona lateral derecha medios auto puerta luego impacto desplazo subo vereda ninguna colision adicional mas eros involucrados moto iba sola persona casco pega auto cae suelo asisto sufrio golpes dolor generales visible conciente pocos minutos acude ambulancia policia trasladado hospital desconozco vehiculo queda comisaria cae buffano mas involucrados cel,circulando calle llavallol cruce cervantes motocicleta venia ultima calle mencionada alta velocidad frena colisiona lateral derecha medios auto puerta luego impacto desplazo vereda ninguna colision mas eros involucrados moto iba sola persona casco pega auto cae suelo asisto sufrio golpes dolor visible conciente pocos minutos acude ambulancia policia trasladado hospital desconozco vehiculo queda comisaria cae mas involucrados cel,comprometida
